id,english,arabic,french,german,uri,description,image_uri_remote,vt,uatv
61618,holding time,مُدَّةُ شَغْلِ الْخَطّ,temps d'occupation de,Haltezeit,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61618,الوقت الذي يبقى فيه المستعمل موصولا عن بعد بخدمة على الخط، بالإنترنيت أو بحاسوب آخر,,False,True
61619,home directory,رَأْسُ الْمَصْنَفَة,racine d'une arborescence,Heimatverzeichnis,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61619,العنصر الرئيسي في شجرة المصنفة الذي تتفرع عنه كل الفروع الأخرى,,False,True
61620,home page,صَفْحَةُ الْبِدَايَة,page d'accueil,Startseite,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61620,أول صفحة في موقع على الإنترنيت,,False,True
61621,homogeneous computer network,شَبَكَةٌ حَاسُوبِيَّة مُتَجَانِسَة,réseau homogène d’ordinateurs,homogenes Computernetzwerk,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61621,شبكة ترتبط بواسطتها أنظمة متجانسة، مثل: حواسيب من نفس النوع، أو تشمل أنظمة تشغيل، أو بروتوكولات للإرسال متشابهة,,False,True
61622,horizontal scrollbar,شَرِيطُ تَمْرِير أفُقِي,barre de défilement horizontale,horizontale Bildlaufleiste,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61622,يوجد عادة في الجزء السفلي من النافذة، ويمكن من المرور إلى اليسار وإلى اليمين لترئية الأجزاء الغير معروضة,,False,True
61623,host,مُضِيف,hôte,Host,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61623,حاسوب مركزي تلتقي فيه عدة خطوط اتصال من شبكة. ويمكن استغلاله بواسطة مطاريف,,False,True
61624,host computer,حَاسُوبٌ مُضِيف,ordinateur hôte,Hostcomputer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61624,الحاسوب الرئيسي في الشبكة,,False,True
61625,hot line,خَطٌّ مُبَاشِرٌ,ligne directe,Hotline,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61625,نوع ربط مباشر ودائم بين حاسوب ومزود خدمات مركزي,,False,True
61626,hunting,تَصَيُّدٌ,recherche,Suche,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61626,في ميدان المعالجة الإلكترونية للمعطيات، يضم البحث جميع أنواع العمليات التي تمكّن من تحديد موقع المعطيات. ويتم ذلك مثلا داخل البريد على الشبكة أو داخل ملف قاعدة معطيات,,False,True
61627,hybrid,هَجِينٌ,hybride,,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61627,مكوّن من جزأين مصادرهما مختلفة. ويستعمل هذا المصطلح في عدة سياقات، مثال: حاسوب هجين، لغة هجينة,,False,True
61628,hybrid computer,حَاسُوبٌ هَجِين,ordinateur hybride,Hybridcomputer,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61628,حاسوب يستطيع التعامل مع المعطيات التناظرية والرقمية. ويؤول هذا النوع من الحواسيب إلى الاختفاء مع التطور السريع الذي تعرفه التقنيات الرقمية,,False,True
61629,hyperlink,رِبَاطُ التَّشَعُّب,hyperlien,Hyperlink,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61629,كلمة، أو جملة أو رسم، تمكن من الارتباط بوثيقة أخرى أو جزء من وثيقة أخرى,,False,True
61630,hypermedia,وَسَائِط مُتَشَعِّبَة,hypermédia,Hypermedia,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61630,عبارة عن نظام نصّ متشعّب يضم بالإضافة إلى النصوص، وثائق أخرى كورقة الحساب، قاعدة معطيات، رسم بياني، صور، أصوات أو فيديو،إلخ,,False,True
61631,hypertext,نَصٌّ مُتَشَعِّب,hypertexte,Hypertext,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61631,مجموعة نصوص ووثائق أخرى( ورقة، قاعدة معطيات، رسم بيانيّ، صور، أصوات،فيديو،إلخ) يمكن الاطلاع عليها بواسطة نظام متراتب للإحالات,,False,True
61632,hypertext link,رَبْطُ نَصٍّ مُتَشَعِّب,Lien hypertexte,Hypertext-Link,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61632,يمكن من الولوج مباشرة إلى نص فرعي، سواء كان في الصفحة نفسها والموقع نفسه، أو في صفحة أخرى وفي موقع آخر,,False,True
61633,hypertext markup language (HTML),لُغَةُ وَسْمِ النُّصوُص المتشَعّبَة,langage pour la création de liens hypertextes,Hypertext Markup Language (HTML),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61633,لغة تسمح بكتابة ملفات تستعمل في أنظمة النصوص المتشعبة,,False,True
61634,hypertext transfer protocol (HTTP),بُرُوتُوكُول نَقلِ النَّصِّ المتَشَعّب,protocole de transfert d'hypertexte,Hypertext Transfer-Protokoll (HTTP),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61634,هو البروتوكول المعتمد لنقل النصوص في شبكة ويب. ويحتوي على أوامر عالية المستوى، تستخدمها المتصفحات في التواصل مع مزودات ويب,,False,True
61635,icon,أَيْقُونَة,icône,Symbol,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61635,رسم صغير يرمز إلى برنامج، أو ملف معطيات، يسهل التعامل معه,,False,True
61636,illegal,غَيْرُ جَائِزَة,illégal,ungültig,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61636,تقال عن تعليمة أو وظيفة غير ممكنة التنفيذ منطقيا وتستدعي عادة إيقاف تشغيل البرنامج أو النظام,,False,True
61637,illegal character,مِحْرَف مَمْنوع,caractère interdit,ungültiges Zeichen,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61637,محرف لا يقبله نظام ما أو برمجية ما,,False,True
61638,illegible,لا يُقْرَأُ,illisible,unlesbar,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61638,تقال عن تسجيلة، أو نص أو ملف، لا يمكن قراءتها؛ أي التعرف على محتواها,,False,True
61639,image,صُورَة,image,Bild,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61639,إضافة إلى المعنى العام، تطلق أيضا على نسخة مطابقة للأصل من ملف مثلا,,False,True
61640,image processing,مُعَالَجَةُ الصُّورَة,traitement d'images,Bildverarbeitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61640,تستعمل حاليا في كثير من المجالات مثل التنبؤات الجوية والتنقيب عن المعادن، حيث يتم استغلال مكونات الصورة وألوانها مع ما يستلزم ذلك من تقطيع وتوليف وتكبير وتصغير وغير ذلك,,False,True
61641,immediate access,وُلُوجٌ فَوْرِيّ,accès immédiat,Sofortzugriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61641,الوصول إلى مواقع التخزين يستغرق دائما وقتا واحدا,,False,True
61642,immediate delivery,إيصَالٌ فَوْرِيّ,livraison immédiate,sofortige Übermittlung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61642,أحد خيارين توفرهما معظم برمجيات البريد الإلكتروني، ويتيح إمكانية إرسال الرسائل الإلكترونية فور الانتهاء من كتابتها. وإذا لم تكن على اتصال بالشبكة وقت الانتهاء من كتابة الرسالة، فسيقوم البرنامج تلقائياً بفتح الخط الهاتفي,,False,True
61643,immediate processing,مُعَالَجَةٌ فَوْرِيَّة,traitement immédiat,sofortige Verarbeitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61643,معالجة  تتم فورا بعد إدخال المعطيات أثناء حصة الاتصال مع الحاسوب,,False,True
61644,immediate processing,مُعَالَجَةٌ فَوْرِيَّة,traitement immédiat,sofortige Verarbeitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61644,معالجة  تتم فورا بعد إدخال المعطيات أثناء حصة الاتصال مع الحاسوب,,False,True
61645,import,اسْتِيرَاد,import,Import,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61645,عملية جلب معطيات (جدول، ملف، صورة مثلا) من نظام إلى آخر مثل عملية نقل صورة إلى نص,,False,True
61646,inactive,خَامِل,inactif,inaktiv,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61646,تقال عن برنامج في حالة عدم التنفيذ في مقابل البرنامج النشيط,,False,True
61647,inbuilt,مُدْمَج,intégré,integriert,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61647,تقال عن مكون يباع مع مكونات أخرى مثل بطاقة الشبكة التي يمكن أن تكون مدمجة في البطاقة الأم,,False,True
61648,incident,طَارِئٌ,incident,Vorfall,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61648,حدث صغير يأتي فجأة,,False,True
61649,incompatible,غَيْرُ مُتَلائِم,incompatible,inkompatibel,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61649,تقال عن عنصر معلومياتي( عتاد أو برمجية) لا يمكن استعماله مع عنصر معلومياتي آخر,,False,True
61650,inconsistency,عَدَمُ الاتِّسَاق,incohérence,Inkonsistenz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61650,حالة تنافر بين خاصيتين لا يمكن معها إرساء أو تشغيل نظام ما أو برمجية,,False,True
61651,increment,مُضَافٌ ثَابِت,incrément,Inkrement,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61651,قيمة ثابتة تُضاف إلى مُتَغَيِّرَة عدّاد أو سجلّ عند تنفيذ كلّ بِكْلَة,,False,True
61652,indent,إزَاحَةٌ,alinéa,Einzug,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61652,جزء نصّ يبدأ بإدخال وينتهي بسطر غير تامّ. الإدخال يتغير حسب الطقم المستعمل وكذلك حسب أهمية النصّ,,False,True
61653,indentation,عَمَلّية الإزَاحَة,indentation,Einzug,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61653,زيح كتلة نصّ بالنسبة للهوامش وبقية النصّ نحو اليمين أو نحو اليسار,,False,True
61654,index,ثَبْت,index,Index,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61654,في ميدان قاعدات المعطيات: نظام الترتيب الذي ينظم التسجيلات حسب معايير محددة للتمكن من الولوج إلى تلك التسجيلات بسرعة. في معالجة النصوص، قائمة الكلمات الأساس (المفاتيح) التي توجد في وثيقة ما والتي تظهر عادة في نهاية الوثيقةمَسْرَد (المرادف العربي),,False,True
61655,index,مَثْبَتَ,indexer,indizieren,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61655,عملية وضع المسارد سواء المتعلقة بالنصوص أو قاعدات المعطياتمَسْرَدَ (المرادف العربي),,False,True
61656,index table,جَدْوَلُ الأثْبَات,table des index,Indextabelle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61656,جدول يضم الإحالات أو المفاتيح في اتجاه العنوان الطبيعي الحقيقي لموضوع أو غيرهجَدْوَلُ الْمَسَارِد (المرادف العربي),,False,True
61657,indexing,مَثْبَتَةٌ,indexation,Indizierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61657,عملية إنشاء الثبت. الثبت يشير إلى موضع كلّ تسجيلة معطيات داخل قاعدة المعطيات انطلاقا من مقاييس نوعيّة,,False,True
61658,inference,اسْتِنْبَاطٌ,inférence,Inferenz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61658,في الذكاء الاصطناعي هو الحصول على نتائج انطلاقا من قواعد وثوابت,,False,True
61659,inference engine,مُحَرّك اسْتِنْبَاط,moteur d'inférence,Inferenzmaschine,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61659,في الذكاء الاصطناعي هي تلك الأداة التي تمكن من الحصول على نتائج انطلاقا من مجموعة معارف في شكل قواعد وثوابت في ميدان محدد,,False,True
61660,informatician,مَعْلُومِيَّاتِيّ,informaticien,Informatiker,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61660,شخص مهنته العمل على الحواسيب وأنظمة المعالجة الآلية للمعلومات,,False,True
61661,informatics,مَعْلُومِيَاتٌ,informatique,Informatik,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61661,علم المعالجة الآلية للمعلومات بواسطة الحاسوب,,False,True
61662,information,مَعْلُومَةٌ,information,Information,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61662,هي مجموعة من المعطيات في صيغة يمكن الاستفادة منهامَعْلُومَات (المرادف العربي),,False,True
61663,information gathering,تَجْمِيعُ الْمُعْطَيَات,collecte de données,Informationserfassung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61663,عملية البحث عن المعطيات من مختلف مصادرها وتخزينها في مكان واحد,,False,True
61664,information input,إدخَال ُ المَعْلُومَات,saisie d'informations,Informationseingabe,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61664,عملية إدخال المعلومات إلى الحاسوب,,False,True
61665,information processing,معالجة المعلومات,informatique,Informationsverarbeitung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61665,علم المعالجة الآلية للمعلومات بواسطة الحاسوب,,False,True
61666,information retrieval,اسْتِرْجَاع مَعْلُومَات,recherche documentaire,Informationsabruf,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61666,عملية البحث عن المعلومات في قاعدة معطيات أو مجموعة من قاعدات معطيات واستخراجها مرتبة في شكل قابل للاستغلال,,False,True
61667,information retrieval system (IRS),نِظَامُ اسْتِرْجَاع مَعْلُومَات,système de recherche documentaire,Informationsabrufsystem (IRS),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61667,نظام يمكن من البحث عن المعلومات في قاعدة معطيات أو مجموعة من قاعدات معطيات واستخراجها مرتبة في شكل قابل للاستغلال,,False,True
61668,information storage and retrieval,تَخْزِين مَعْلُومَات واسْتِرْجَاعُهَا,stockage et restitution de données,Informationsspeicherung und -abruf,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61668,مصطلح يستعمل خصوصا في أنظمة تدبير قاعدات المعطيات ويشير إلى عمليات إنشاء القاعدات واستغلالها,,False,True
61669,information superhighway,طَرِيقٌ سَيَّارٌ لِلْمَعْلُومَات,autoroute de l'information,Datenautobahn,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61669,كلمة مجازيّة تصف الرّبط المستقبليّ المساعَد من طرف الحاسوب لتبادل المعلومات عبر أنحاء العالم,,False,True
61670,information system,نِظَامُ الْمَعْلُومَات,système d'information,Informationssystem,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61670,مجموع مسارات المعلومات في مقاولة أو مؤسسة ما. ويمكن أن يضم قاعدة معطيات أو أكثر محَوسبة أو غير محَوسبة. وككل نظام معقد فإن نظام المعلومات يكون عادة منظما بكيفية تراتبية,,False,True
61671,information technology,تقَانَة الْمَعْلُومَات,technologie de l'information,Informationstechnik,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61671,مصطلح حديث نسبيا يشير إلى مجموع التقنيات الحديثة التي تستعمل في معالجة المعلومات في مختلف أشكالها ونقلها بمختلف الوسائل والسبل,,False,True
61672,initialization,اسْتِفْتَاحٌ,initialisation,Initialisierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61672,المسلسل الذي يمكِّن برنامجا أو محيطيا أو حاسوبا من أن يكون جاهزا للاستعمال,,False,True
61673,initiation,إِطْلاق,lancement,Initiierung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61673,عملية تنشيط برنامج لتنفيذه أو حاسوب للشروع في تشغيله,,False,True
61674,inkjet printer,طابِعَةٌ نَافِثَةُ حِبْر,imprimante à jet d'encre,Tintenstrahldrucker,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61674,طابعة تستخدم طريقة إسقاط الحبر على الورق، وهي طابعة نقطية تمثل الرسوم على شكل بيكسيلات,,False,True
61675,input data,مُدْخَلات,données d'entrée,Eingabedaten,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61675,المعطيات التي يتم إدخالها في الحاسوب للمعالجة. وتطلق أيضا على المعطيات التي يطلبها برنامج لمعالجتها والخروج بنتائج,,False,True
61676,input device,جِهاز إدخال,périphérique d'entrée,Eingabegerät,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61676,جهاز مخصص لإدخال المعطيات في الحاسوبمُحِيطِيُّ دَخْل (المرادف العربي),,False,True
61677,input port,بَوَّابَةُ الدَّخْل,port d'entrée,Eingabekanal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61677,العنصر الذي يتم عبره نقل المعطيات إلى الحاسوب,,False,True
61678,input scanner,مِفْرَاسٌ ذُو دَخْلَة,scanner avec entrée,Eingabelesegerät,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61678,مفراس يَدَوي يضم النموذج ويستطيع معالجة الصفحات المنفردة فقط,,False,True
61679,input work queue,صَفُّ انْتِظَارِ الإِدْخَال,file d'attente d'entrée,Eingabewarteschlange,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61679,طريقة تسجيل في ذاكرة توسطية حسب مبدإ  أول داخل، أول خارج,,False,True
61680,input/output (I/O),دَخْل/ خَرْج,entrée/sortie,Eingabe/Ausgabe (E/A),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61680,عمليات إدخال المعطيات في الحاسوب وإخراجها منه,,False,True
61681,input/output device,جِهاز إدخال/إخراج,dispositif d'entrée/sortie,Eingabe-/Ausgabegerät,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61681,جهاز مخصص لإدخال وإخراج المعطيات في الحاسوب ومنه (مثلا: ملمس، مفراس),,False,True
61682,input/output port,بَوَّابَةُ الدَّخْرَجَة,port d'entrée/sortie,Eingabe-/Ausgabeanschluss,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61682,عدد منها متيسر لكل محيطي نظام معلومياتي، يشمل سجلات خاصة للمحيطيات؛ يمكن إرسال المعطيات إليها  أو جمعها منها، وبالولوج إلى هذه السجلات، يمكن القيام بكل العمليات الضرورية للاتصال مع المكون المرغوببَوَّابَةُ دَخْل/خَرْج (المرادف العربي),,False,True
61683,inquiry,اسْتِفْسَار,interrogation,Abfrage,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61683,طلب أو استفسار أو أمر يعطى للحاسوب لتحديد واستدعاء المعطيات من مواقع تخزينهامُسَاءَلَة (المرادف العربي),,False,True
61684,inquiry station,مَحَطَّة استفسَار,station d'interrogation,Abfragestation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61684,حاسوب أو مطراف تتم بواسطته عملية الاستفسار أو المساءلةمَحَطَّة المُسَاءَلَة (المرادف العربي),,False,True
61685,insertion,إِدْرَاج,insertion,Einfügung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61685,قد تعني إدراج كلمة أو نص أو رسم في نص، أو تسجيلة في قاعدة معطيات، أو عمود أو سطر في لوحة,,False,True
61686,installation,إِرْسَاء,installation,Installation,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61686,مجموعة التحضيرات التي يجب القيام بها لكي يصبح الحاسوب قابلا للاستعمال: إرساء نظام التشغيل ومختلف البرمجيات التي تتحكم في مختلف مكونات الحاسوب، وكذا إرساء مختلف البرمجيات التطبيقية المراد استعمالهاتَرْكِيب (المرادف العربي),,False,True
61687,instruction,تَعْلِيمَة,instruction,Befehl,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61687,سلسلة محارف تمكن من إنجاز وظيفة معينة انطلاقا من نظام التشغيل أو برمجية تطبيقية. ويمكن أن يتم تنفيذ التعليمة بالنقر على الأيقونة المناسبة أو النقر على اسمها في قائمة اختيارات,,False,True
61688,integer,عَدَد صَحِيح,entier,Ganzzahl,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61688,تقال عن عدد دون أجزاء عشرية أو مئوية أو غيرها، أو كسور,,False,True
61689,integrated circuit,دارَة مُتَكَاملة,circuit intégré,integrierte Schaltung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61689,تصف واصلا أدمج في داخله عدد كبير من المكونات الإلكترونية والتي تجعل منه وحدة وظيفية مستقلة,,False,True
61690,integrated service digital network (ISDN),شَبَكَةُ خِدْمَة رَقْمِيَّة مُدْمَجَة,réseau numérique à intégration de services (RNIS),Integrated Services Digital Network (ISDN),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61690,شبكة رقمية تشتغل فوق حبال هاتفية وتقدم خدمات للهاتف، للنسخ عن بعد، ولنقل المعطياتشَبَكَة رَقْمِيَّة مُدْمَجَةُ الْخَدَمَات (المرادف العربي),,False,True
61691,integration,إِدْمَاج,intégration,Integration,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61691,لفظ عام يطلق على عملية جعل عنصر أو مكون نظام أو حاسوب جزءا لا يتجزأ منه,,False,True
61692,integrity,كُمُول,intégrité,Integrität,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61692,يعني هذا المصطلح أن كل مكونات النظام المادية والبرمجية تشتغل بكيفية جيدة، وأن المعطيات صحيحة وكاملة غير منقوصة وتبقى كذلك أثناء المعالجة وبعدها,,False,True
61693,intelligence,ذَكَاء,intelligence,Intelligenz,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61693,لفظ عام يشير أيضا إلى خاصية مطراف يمكن أن يقوم ببعض الوظائف مؤقتاً,,False,True
61694,intelligent terminal,مِطْرَافٌ ذَكِيٌّ,terminal intelligent,intelligentes Terminal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61694,مطراف لا يقوم فقط بعمليات الإدخال والإخراج بل ببعض عمليات المعالجة والتخزين المؤقت,,False,True
61695,interactive,تَفَاعُلِيّ,interactif,interaktiv,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61695,تصف النظام الذي يتفاعل مباشرة مع المستعمل. كل الوجائه الرسومية تشتغل بطريقة تفاعلية، أي تقيم حوارا مع المستعمل وتتعامل مباشرة مع المعلومات التي يدخلها والانتقاءات التي يجريها,,False,True
61696,interactive access,وُلوج تَفَاعلِيّ,accès interactif,interaktiver Zugriff,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61696,ولوج يتم بواسطة تبادل معلومات بين المستعمل والنظام في شكل أسئلة يلقيها هذا الأخير ويجيب عنها الأول,,False,True
61697,interactive mode,مِنْوَالٌ تَفَاعُلِيّ,mode interactif,interaktiver Modus,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61697,في هذا المنوال يأخذ النظام بعين الاعتبار الأحداث و/أو المعلومات التي يتلقاها من المستعمل التي قد تكون إجابات عن أسئلة يطرحها النظام,,False,True
61698,interactive system,نِظَام تَفَاعُلِيّ,système interactif,interaktives System,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61698,نظام يمكن المستعمل من التدخل في سيرورة برمجية أو لعبة، وبعبارة بسيطة يمكن من التواصل الفعلي مع الحاسوب,,False,True
61699,interchange,تَبَادُل,échange,Austausch,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61699,نقل أحادي الجانب أو متعدد الجوانب لمعطيات حاسوب، برنامج أو محيطي لواحد أو لكثيرين آخرين. عندما يتم التبادل من مكان لآخر، نتكلم عن إرسال المعطيات,,False,True
61700,interconnection,وَصْل بَيْن,interconnexion,Vernetzung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61700,خلق علاقة بين عدة محيطيات مختلفة (طابعة، قلم ضوئي، إلخ.) بحيث يصبح التشغيل مترابطا,,False,True
61701,interface,وَجِيهَة,interface,Schnittstelle,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61701,تقال عادة عن مكون مادي أو برمجي يمكن من ربط الاتصال بين نظامين مختلفين ويحتوي على معلومات مفهومة من طرف النظامين,,False,True
61702,interfacing,وَصْل,connexion,Kopplung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61702,في بداية دورة عمل عبر الإنترنيت، يجب على المستعمل أن يعرف بنفسه وذلك بإدخال اسمه وكلمة السر التي تناسبه. افتتاح الدورة يعني وصلا بالنظام,,False,True
61703,interference,تَدَاخُل,interférence,Störung,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61703,ظاهرة تنتج عن تراكب اهتزازين لهما طول الموجة نفسه ، عندما تكونان في طور أو عند تقابل الطور,,False,True
61704,interfering signal,إِشَارَةٌ مُشَوِّشَةٌ,signal parasite,Störsignal,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61704,الإشارة التي تعرقل الإرسال وتغير المعطيات بكيفية غير مرغوب فيها,,False,True
61705,interlinear spacing,فُسْحَة بَين السُّطُور,interligne,Zeilenabstand,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61705,في أنظمة معالجة النصوص هي الفسحة التي تفصل سطرين في الفقرة نفسها,,False,True
61706,interlock,إِزْلاج,verrouillage,Sperre,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61706,يتعلق الأمر بمنع مستعمل أو أكثر من الولوج إلى تسجيلة أو ملف أو قاعدة معطيات أو خدمة على الشبكة,,False,True
61707,internal label,عَلامَة التَّعَرّف الدَّاخلية,label d'identification,interner Bezeichner,http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61707,في ميدان البرمجة، مكان محدد لشفرة المصدر الذي يمكن لأي برنامج تعرفه,,False,True
61708,international standard book number (ISBN),رَقْم اِلْكِتَاب الْمِعْيَارِيّ الدُّوَليّ,numéro standard international du livre,Internationale Standardbuchnummer (ISBN),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61708,رقم ضروري لكل مؤلف موزع. يشمل عشرة أرقام مقسمة إلى أربعة شدف,,False,True
61709,international standard organization (ISO),الْمُنَظَّمَة الدُّوَلِيَّة لِلْمُوَاصَفَات,organisation internationale de normalisation,Internationale Organisation für Normung (ISO),http://www.arabterm.org/index.php?id=40&L=1&tx_3m5techdict_pi1[id]=61709,منظمة تكونت بعد الحرب العالمية الثانية لأجل تشجيع وضع المواصفات على الصعيد الدولي,,False,True
