term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,zh
614-03-57,"switching impulse protective level, <of a surge protective device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-57,"مستوى الحماية من موجات الفصل والتوصيل, <لمانعة الجهود الزائدة>","Schaltstoßspannungs-Schutzpegel, <einer Überspannungsschutzeinrichtung> m","switching impulse protective level, <of a surge protective device>",nivel de protección contra sobretensiones de maniobra,kytkentäsyöksyjännitteen suojaustaso,"niveau de protection aux surtensions de manoeuvre, <d’un dispositif de protection> m",livello di protezione contro le sovratensioni di manovra,"開閉インパルス保護レベル, <サージ保護装置の>","개폐 충격 보호 수준, <서지 보호 장치>","łączeniowy poziom ochrony, <urządzenia zabezpieczającego> m","nível de protecção às sobretensões de manobra, <de um dispositivo de protecção de sobrecarga>","заштитни ниво расклопног пренапона, <пренапонског заштитног уређаја> м јд","操作冲击保护水平, <保护装置的>"
614-03-58,protection ratio against lightning impulses,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-58,نسبة الحماية ضد موجات الصواعق,"Blitzstoßspannungs-Schutzfaktor, m",protection ratio against lightning impulses,relación de protección contra impulsos tipo rayo,salamasyöksyjännitteen suojaussuhde,"rapport de protection aux chocs de foudre, m",rapporto di protezione contro le sovratensioni a impulso,雷インパルス保護比,뇌충격 보호비,"piorunowy współczynnik ochrony, m",relação de protecção às sobretensões atmosféricas,"заштитни однос према атмосферским пренапонима, м јд",雷电冲击保护比
614-03-59,protection ratio against switching impulses,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-59,نسبة الحماية ضد موجات الفصل والتوصيل,"Schaltstoßspannungs-Schutzfaktor, m",protection ratio against switching impulses,relación de protección contra impulsos tipo rayorelación de protección contra ondas de choque,kytkentäsyöksyjännitteen suojaussuhde,"rapport de protection aux chocs de manoeuvre, m",rapporto di protezione contro le sovratensioni di manovra,開閉インパルス保護比,개폐 충격 보호비,"łączeniowy współczynnik ochrony, m",relação de protecção às sobretensões de comutação,"заштитни однос према склопним пренапонима, м јд",操作冲击保护比
614-03-60,lightning protection system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-03-60,نظام الحماية ضد موجات الصواعق,"Blitzschutzsystem, mLPS",lightning protection systemLPS,instalaciones de protección contra el rayo,salamasuojausjärjestelmä,"installation de protection contre la foudre, fIPF, f",sistema di protezione contro le sovratensioniLPS,雷保護装置,피뢰 설비,"instalacja odgromowa, fLPS",sistema de protecção contra descargas atmosféricas,"систем заштите од атмосферског пражњења, м јдLPS",雷电保护系统
614-04-01,capacitive coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-01,تقارن سعوى,"kapazitive Kopplung, f",capacitive coupling,acoplamiento capacitivo,kapasitiivinen kytkeytyminen,"couplage capacitif, m",accoppiamento capacitivo,静電結合,용량성 결합용량 결합,"sprzężenie pojemnościowe, n",acoplamento capacitivo,"капацитивна спрега, ж јд",电容性耦合
614-04-02,conductive coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-02,تقارن موصل,"leitungsgeführte Kopplung, fgalvanische Kopplung, f",conductive coupling,acoplamiento conductivo,johtuva kytkeytyminen,"couplage conductif, m",accoppiamento conduttivo,伝導性結合,도전 결합,"sprzężenie galwaniczne, nupływ do ziemi, m",acoplamento condutor,"кондуктивна спрега, ж јд",电导性耦合
614-04-03,inductive coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-03,تقارن حثى,"induktive Kopplung, f",inductive coupling,acoplamiento inductivo,induktiivinen kytkeytyminen,"couplage inductif, m",accoppiamento induttivo,誘導結合,유도 결합,"sprzężenie indukcyjne, n",acoplamento indutivo,"индуктивна спрега, ж јд",电感性耦合
614-04-04,"exposure, <of a metallic structure to a power line>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-04,"تعرض, <لهيكل معدنى خاص بخط نقل الطاقة>","Näherung, <einer Metallstruktur an eine Elektrizitätsleitung> f","exposure, <of a metallic structure to a power line>","exposición, <entre una estructura metálica y una línea eléctrica>",…,"rapprochement, <entre une structure métallique et une ligne électrique> m",vicinanza,"曝露, <電源線に対する金属構造の>","피폭, <전력선의 금속 구조>노출, <전력선의 금속 구조>","zbliżenie, <między linią energetyczną i strukturą metalową> n","exposição, <de uma estrutura metálica a uma linha elétrica>","изложеност, <металних структура електроенергетском воду> с јд","裸露, <金属电源线的>"
614-04-05,reduction factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-05,معامل خفض,"Reduktionsfaktor, m",reduction factor,factor de reducción,suojausvaimennus,"facteur de réduction, m",fattore di riduzione,低減係数,감소율,"współczynnik redukcji, mwspółczynnik skrócenia fali, m",fator de redução,"редукциони фактор, м јд",换算系数
614-04-06,psophometrically weighted voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-06,جهد لقياس الضوضاء,"psophometrisch gewichtete Spannung, f",psophometrically weighted voltage,tensión psofométrica,psofometrisesti painotettu jännite,"tension psophométrique, f",tensione psofrometrica,評価雑音電圧,평가 소음 가중 전압,"napięcie psofometryczne ważone, n",tensão ponderada psofométrica,"псофометријски мерен напон, м јд",噪声计加权电压
614-04-07,stray current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-07,تيار شارد,"Streustrom, m",stray current,corriente parásita,hajavirta,"courant vagabond, m",corrente di dispersione,迷走電流,표유 전류,"prądy błądzące, m pl",corrente vagabunda,"лутајућа струја, ж јд",杂散电流
614-04-08,cathodic protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=614-04-08,حماية كاثودية,"kathodischer Schutz, m",cathodic protection,protección catódica,katodinen suojaus,"protection cathodique, f",protezione catodica,電気防食,음극 방식,"ochrona katodowa, f",proteção catódica,"катодна заштита, ж јд",阴极保护
