term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
113-04-16,Celsius temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-16,درجة الحرارة المئوية,Celsiova teplota,"Celsius-Temperatur, f",Celsius temperature,temperatura Celsius,celsiuslämpötila,"température Celsius, f",temperatura Celsius,セ氏温度,섭씨 온도,temperatura Celsjusza,temperatura Celsius,celsiustemperatur,摄氏温度
113-04-17,degree Celsius,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-17,درجة مئوية,stupeň Celsia,"Grad Celsius, n",degree Celsiuscentigrade degree (deprecated),grado Celsiusgrado centigrado (desaconsejado),celsiusaste,"degré Celsius, mdegré centigrade, m (déconseillé)",grado Celsius,"セ氏温度百分度温度, （非推奨）",섭씨 온도,stopień Celsjusza,grau Celsius,grad Celsius,摄氏度
113-04-18,International Temperature Scale of 1990,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-18,مقياس الحرارة الدولى المعتمد لسنة 1990,Mezinárodní teplotní stupnice 1990ITS-90,"Internationale Temperaturskala von 1990, fITS-90, Abkürzung",International Temperature Scale of 1990ITS-90 (abbreviation),escala internacional de temperatura de 1990EIT-90 (abreviatura),kansainvälinen lämpötila-asteikko vuodelta 1990,"échelle internationale de température de 1990, fEIT-90 (abréviation) f",Scala Internazionale di Temperatura del 1990ITS-90,"1990年国際温度目盛ITS-90, （略語）",1990 국제 온도 눈금ITS-90,Międzynarodowa Skala Temperatury 1990 r.ITS-90 (akronim),escala internacional de temperatura de 1990EIT-90 (abreviatura),den internationella temperaturskalan 1990ITS-90 (beteckning),1990国际温标ITS-90
113-04-19,Celsius temperature scale,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-19,مقياس الحرارة المئوية,Celsiova teplotní stupnice,"Celsius-Temperaturskala, f",Celsius temperature scale,escala de temperatura Celsius,celsiusasteikko,"échelle de température Celsius, f",scala di temperatura Celsius,セ氏温度目盛,섭씨 온도 눈금,skala temperatury Celsjusza,escala de temperatura Celsius,celsiustemperaturskala,摄氏温标
113-04-20,internal energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-20,الطاقة الداخليةالطاقة الحرارية الديناميكية,vnitřní energietermodynamická energie,"innere Energie, f",internal energythermodynamic energy,energía internaenergía termodinámica,sisäenergiatermodynaaminen energia,"énergie interne, fénergie thermodynamique, f",energia internaenergia termodinamica,内部エネルギー熱力学的エネルギー,내부 에너지열역학 에너지,energia wewnętrznaenergia termodynamiczna,energia internaenergia termodinâmica,inre energitermodynamisk energi,内能
113-04-21,enthalpy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-21,المحتوى الحرارى,entalpie,"Enthalpie, f",enthalpy,entalpía,entalpia,"enthalpie, f",entalpia,エンタルピー,엔탈피,entalpia,entalpia,entalpi,焓
113-04-22,entropy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-22,القصور الحرارى,entropie,"Entropie, f",entropy,entropía,entropia,"entropie, f",entropia,エントロピー,엔트로피,entropia,entropia,entropi,熵
113-04-23,Gibbs free energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-23,الطاقة الحرارية ليجيبسطاقة جيبسدالة جيبس,Gibbsova energieGibbsova funkcevolná entalpie,"freie Enthalpie, fGibbs-Energie, f",Gibbs free energyGibbs energyGibbs function,entalpía libreenergía libre de Gibbsfunción de Gibbs,Gibbsin vapaa energiaGibbsin energiaGibbsin funktio,"enthalpie libre, f",energia libera di Gibbsenergia di Gibbsfunzione di Gibbs,ギブス自由エネルギーギブスエネルギーギブス関数ギブス,깁스 자유 에너지깁스 에너지깁스 함수,entalpia swobodna,entalpia livre,Gibbs fria energiGibbs energiGibbs funktion,吉布斯函数吉布斯自由能
113-04-24,Helmholtz free energy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-24,الطاقة الحرة لهلمونزطاقة هلمونزطاقة حرةدالة هلمونز,volná energieHelmholtzova energieHelmholtzova funkce,"freie Energie, fHelmholtz-Energie, f",Helmholtz free energyHelmholtz energyfree energyHelmholtz function,energía libreenergía libre de Helmholtzfunción de Helmholtz,Helmholtzin vapaa energiaHelmholtzin energiavapaaenergiaHelmholtzin funktio,"énergie libre, f",energia libera di Helmholtzenergia di Helmholtzenergia liberafunzione di Helmholtz,ヘルムホルツ自由エネルギーヘルムホルツエネルギーヘルムホルツ関数,헬름홀츠 자유 에너지헬름홀츠 에너지자유 에너지헬름홀츠 함수,energia swobodna,entropia livre,fri energiHelmholtz fria energiHelmholtz energiHelmholtz funktion,亥姆霍兹自由能自由能亥姆霍兹函数
113-04-25,Planck function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-25,دالة بلانك,Planckova funkce,"Planck-Funktion, f",Planck function,función de Planck,Planckin funktio,"fonction de Planck, f",funzione di Planck,プランク関数,플랑크 함수,funkcja Plancka,função de Planck,Plancks funktion,普朗克函数
113-04-26,Massieu function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-26,دالة ماسيو,Massieuova funkcefunkce Massieu,"Massieu-Funktion, f",Massieu function,función de Massieu,Massieun funktio,"fonction de Massieu, f",funzione di Massieu,マシュー関数,마슈 함수,funkcja Massieu,função de Massieu,Massieus funktion,马休函数
113-04-27,coefficient of linear expansion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-27,معامل التمدد الطولى,teplotní součinitel délkové roztažnosti,"Längenausdehnungskoeffizient, m",coefficient of linear expansionlinear expansion coefficient,coeficiente de dilatación lineal,pituuden lämpölaajenemiskerroin,"coefficient de dilatation linéique, m",coefficiente di dilatazione lineica,線膨張係数,선팽창 계수,współczynnik wydłużalności liniowej,coeficiente de dilatação linear,längdutvidgningskoefficient,线胀系数
113-04-28,cubic expansion coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-28,معامل التمدد الحجمى,teplotní součinitel objemové roztažnosti,"Volumenausdehnungskoeffizient, m",cubic expansion coefficientcoefficient of cubic expansion,coeficiente de dilatación cúbica,tilavuuden lämpölaajenemiskerroin,"coefficient de dilatation volumique, m",coefficiente di dilatazione volumica,体膨張係数,입체 팽창 계수,współczynnik rozszerzalności objętościowej,coeficiente de dilatação volúmica,volymutvidgningskoefficient,体胀系数
113-04-29,pressure coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-29,معامل الضغط,rozpínavost,"Druckkoeffizient, m",pressure coefficient,coeficiente de presión,painekerroin,"coefficient de pression, m",coefficiente di pressione,応力係数圧力係数,압력 계수,współczynnik temperaturowy ciśnienia,coeficiente de pressão,tryckkoefficient,压强系数
113-04-30,relative pressure coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-30,معامل الضغط النسبى,teplotní součinitel rozpínavosti,"relativer Druckkoeffizient, m",relative pressure coefficient,coeficiente relativo de presión,suhteellinen painekerroin,"coefficient relatif de pression, m",coefficiente relativo di pressione,相対応力係数,상대 압력 계수,współczynnik temperaturowy ciśnienia względny,coeficiente relativo de pressão,relativ tryckkoefficient,相对压强系数
113-04-31,isothermal compressibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-31,معامل الانضغاط عند ثبوت درجة الحرارة,izotermická stlačitelnost,"isothermische Kompressibilität, f",isothermal compressibility,compresibilidad isotérmica,isoterminen puristuvuus,"compressibilité isotherme, f",compressibilità isotermica,等温圧縮率,일정 온도 압축률,ściśliwość izotermiczna,compressibilidade isotérmica,isoterm tryckkoefficient,等温压缩率
113-04-32,isentropic compressibility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-32,الانضغاطية عند ثبوت درجة الحرارة,izentropická stlačitelnost,"isentropische Kompressibilität, f",isentropic compressibility,compresibilidad isoentrópica,isentrooppinen puristuvuus,"compressibilité isentropique, f",compressibilità isoentropica,等エントロピー圧縮率,일정 엔트로피 압축률,ściśliwość izoentropiczna,compressibilidade isentrópica,isentropisk kompressibilititet,等熵压缩率
113-04-33,thermal conduction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-33,التوصيل الحرارى,vedení teplakondukce,"Wärmeleitung, f",thermal conduction,conduccion térmica,lämmönjohtuminen,"conduction thermique, f",conducibilità  termica,熱伝導,열전도,przewodnictwo cieplne,condução térmica,termisk ledning,热传导
113-04-34,convection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-34,الحمل الحرارى,prouděníkonvekce,"Konvektion, f",convection,convección,konvektio,"convection, f",convezione,対流,대류,konwekcjaunoszenie,convecção,konvektion,对流
113-04-35,thermal radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-35,الإشعاع الحرارى,tepelné zářenísálání,"Wärmestrahlung, fthermische Strahlung, f",thermal radiation,radiación térmica,lämpösäteily,"rayonnement thermique, m",radiazione termica,熱放射,열복사,promieniowanie cieplne,radiação térmica,värmestrålning,热辐射
113-04-36,heat flow rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-36,معدل التدفق الحرارى,tepelný tok,"Wärmestrom, m",heat flow rate,flujo térmico,lämpövirta,"flux thermique, m",tasso di flusso di calore,熱流率熱流量,열 흐름률,strumień cieplny,fluxo térmico,värmeflöde,热流率
113-04-37,density of heat flow rate,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-37,كثافة معدل التدفق الحرارىمعدل تدفق الحرارة السطحية,plošná hustota tepelného tokuhustota tepelného toku,"Wärmestromdichte, f",density of heat flow rateareic heat flow rate,flujo térmico superficialdensidad de flujo térmico,lämpövirran tiheys,"flux thermique surfacique, mdensité de flux thermique, f",densità di tasso di flusso di caloretasso di flusso di calore areico,熱流質密度,열 흐름률 밀도면적 열 흐름률,gęstość strumienia cieplnego,fluxo térmico superficial,värmeflöde per areaareart värmeflöde,热流率密度
113-04-38,thermal conductivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-38,الموصلية الحرارية,součinitel tepelné vodivosti,"Wärmeleitfähigkeit, fthermische Leitfähigkeit, f",thermal conductivity,conductividad térmica,lämmönjohtokyky,"conductivité thermique, f",conducibilità termica,熱伝導率,열 전도율,przewodność cieplna właściwa,condutividade térmica,termisk konduktivitet,热导率
113-04-39,coefficient of heat transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-39,معامل الانتقال الحرارى,součinitel prostupu tepla,"Wärmedurchgangskoeffizient, mWärmedämmwert (im Bauwesen), mWärmedurchgangszahl, f, (abgelehnt)",coefficient of heat transferthermal transmittance,coeficiente de transmisión de calortransmitancia térmica,lämmönsiirtymiskerroin,"coefficient de transmission thermique, mtransmittance thermique, f",coefficiente di trasmissione termica,熱伝達係数熱伝達,열 전달 계수열 전달율,współczynnik przewodnictwa cieplnego,coeficiente de transmissão térmicatransmitância térmica,värmeöverföringskoefficient,传热系数热传递系数
113-04-40,surface coefficient of heat transfer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-40,المعامل السطحى للإنتقال الحرارى,součinitel přestupu tepla,"Oberflächen-Wärmedurchgangskoeffizient, m",surface coefficient of heat transfer,coeficiente de transmisión superficial de calor,pinnan lämmönsiirtymiskerroin,"coefficient de transmission thermique de surface, m",coefficiente di trasmissione termica di superficie,表面熱伝達係数,표면 열 전달 계수,współczynnik powierzchniowego przewodnictwa cieplnego,coeficiente de transmissão térmica de superfície,värmeövergångskoefficient,表面传热系数
113-04-41,thermal insulance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-41,مقاومة العزل الحرارى,součinitel izolačního odporutepelný odpor (v tomto významu nevhodný termín),"Wärmedämmungskoeffizient, mWärmewiderstand, m, (abgelehnt)",thermal insulancecoefficient of thermal insulancethermal resistance (deprecated in this sense),coeficiente de aislamiento térmico,lämmöneristävyys,"coefficient d'isolation thermique, mrésistance thermique, f (déconseillé dans ce sens)",isolamento termicocoefficiente di isolamento termico,熱絶縁性熱絶縁係数,열 절연성열 절연성 계수,współczynnik izolacji cieplnejoporność cieplna (termin niezalecany w tym sensie),coeficiente de isolação térmica,värmeövergångsisolansvärmeisolans,热绝缘系数
113-04-42,Grashof number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-42,عدد جراشوف,Grashofovo číslo,"Grashof-Zahl, f",Grashof number,número de Grashof,Grashofin luku,"nombre de Grashof, m",numero di Grashof,グラスホフ数,그라스호프 수,liczba Grashofa,número de Grashof,grashoftal,格拉斯霍夫数
113-04-43,Nusselt number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-43,عدد نيصليتعدد بيوت,Nusseltovo čísloBiotovo číslo,"Nusselt-Zahl, fBiot-Zahl, f",Nusselt numberBiot number,número de Nusseltnúmero de Biot,Nusseltin lukuBiotin luku,"nombre de Nusselt, mnombre de Biot, m",numero di Nusseltnumero di Biot,ヌッセルト数ビオ数,누셀트 수비오 수,liczba Nusselta,número de Nusselt,biottalnusselttal,努塞特数毕奥数
113-04-44,Stanton number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-44,عدد ستانتونعدد مارجوليس,Stantonovo čísloMargoulisovo číslo,"Stanton-Zahl, fMargoulis-Zahl, f",Stanton numberMargoulis number,número de Stantonnúmero de Margoulis,Stantonin lukuMargoulisin luku,"nombre de Stanton, mnombre de Margoulis, m",numero di Stantonnumero di Margoulis,スタントン数マーゴリス数,스탠톤 수마고리스 수,liczba Stantona,número de Stanton,stantontalmargoulistal,斯坦顿数
113-04-45,thermal resistance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-45,مقاومة حرارية,tepelný odpor,"thermischer Widerstand, mWärmewiderstand, m",thermal resistance,resistencia térmica,lämmönvastus,"résistance thermique, f",resistenza termica,熱抵抗,열 저항,opór cieplny,resistência térmica,värmeresistans,热阻
113-04-46,thermal conductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-46,موصلية حرارية,tepelná vodivost,"Wärmeleitwert, m",thermal conductance,conductancia térmica,lämmönjohtokyky,"conductance thermique, f",conduttanza termica,熱伝導,열 전도율,przewodność cieplna,condutância térmica,värmekonduktans,热导
113-04-47,heat capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-47,سعة حرارية,tepelná kapacita,"Wärmekapazität, f",heat capacity,capacidad térmica,lämpökapasiteetti,"capacité thermique, f",capacità termica,熱容量,열 용량,pojemność cieplna,capacidade térmica,värmekapacitet,热容量热容
113-04-48,specific heat capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-48,سعة حرارية نوعية,měrná tepelná kapacita,"spezifische Wärmekapazität, f",specific heat capacity,capacidad térmica específica,ominaislämpökapasiteetti,"capacité thermique massique, f",capacità termica specifica,比熱容量,비열 용량,pojemność cieplna właściwa,capacidade térmica mássica,specifik värmekapacitet,比热容比热
113-04-49,specific heat capacity at constant pressure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-49,سعة حرارية نوعية عند ضغط ثابت,měrná tepelná kapacita za stálého tlaku,"spezifische Wärmekapazität bei konstantem Druck, f",specific heat capacity at constant pressure,capacidad térmica específica a presión constante,ominaislämpökapasiteetti vakiopaineessa,"capacité thermique massique à pression constante, f",capacità termica specifica a pressione costante,定圧比熱容量,정압 비열 용량,pojemność cieplna właściwa przy stałym ciśnieniu,capacidade térmica mássica a pressão constante,vid konstant tryck,定压比热容定压比热
113-04-50,specific heat capacity at constant volume,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-50,سعة حرارية نوعية عند حجم ثابت,měrná tepelná kapacita za stálého objemu,"spezifische Wärmekapazität bei konstantem Volumen, f",specific heat capacity at constant volume,capacidad térmica específica a volumen constante,ominaislämpökapasiteetti vakiotilavuudessa,"capacité thermique massique à volume constant, f",capacità termica specifica a volume costante,定積比熱容量,정적 비열 용량,pojemność cieplna właściwa przy stałej objętości,capacidade térmica mássica a volume constante,vid konstant volym,定体积比热容定体比热
113-04-51,ratio of the specific heat capacities,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-51,نسبة السعة الحرارية النوعية,poměr měrných tepelných kapacit,"Verhältnis der spezifischen Wärmekapazitäten, n",ratio of the specific heat capacities,razón de capacidades térmicas específicas,adiabaattivakio,"rapport des capacités thermiques massiques, m",rapporto delle capacità termiche specifiche,比熱容量比,비열 용량비,stosunek pojemności cieplnych właściwych,razão das capacidades térmicas mássicas,värmekapacitetskvot,比热容比比热比
113-04-52,isentropic exponent,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-52,أس القصور الحرارى,izentropický exponent,"isentropischer Exponent, m",isentropic exponent,exponente isoentrópico,isentrooppieksponentti,"exposant isentropique, m",esponente isoentropico,等エントロピー指数,일정 엔트로피 지수,wykładnik potęgowy procesu izentropowego,expoente isentrópico,isotropexponent,等熵指数
113-04-53,thermal diffusivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-53,الانتشار الحرارى,součinitel teplotní vodivosti,"thermische Diffusionsfähigkeit, f",thermal diffusivity,difusividad térmica,lämpötilan tasoittumiskerroin,"diffusivité thermique, f",diffusività termica,熱拡散率,열 확산도,dyfuzyjność cieplna,difusividade térmica,termisk diffusivitet,热扩散率
113-04-54,Prandtl number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-54,عدد براندتل,Prandtlovo číslo,"Prandtl-Zahl, f",Prandtl number,número de Prandtl,Prandtlin luku,"nombre de Prandtl, m",numero di Prandtl,プラントル数,프란틀 수,liczba Prandtla,número de Prandtl,prandtltal,普朗特数
113-04-55,heat transfer factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-55,معامل الانتقال الحرارى,činitel přenosu tepla,"Wärmeübertragungsfaktor, m",heat transfer factor,factor de transferencia de calor,lämmönsiirtotekijä,"facteur de transfert de chaleur, m",fattore di trasferimento del calore,熱伝達係数,열 전달 인수,współczynnik przewodzenia ciepła,factor de transferência de calor,värmeöverföringsfaktor,传热因数
113-04-56,Fourier number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-56,عدد فورير,Fourierovo číslo,"Fourier-Zahl, f",Fourier number,número de Fourier,Fourierin luku,"nombre de Fourier, m",numero di Fourier,フーリエ数,퓨리에 수,liczba Fouriera,número de Fourier,fouriertal,傅里叶数
113-04-57,Péclet number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-57,عدد بيكلت,Pécletovo číslo,"Péclet-Zahl, f",Péclet number,número de Péclet,Pécletin luku,"nombre de Péclet, m",numero di Péclet,ペクレ数,페클렛 수,liczba Pécleta,número de Péclet,péclettal,佩克莱数
113-04-58,Rayleigh number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-58,عدد رايليه,Rayleighovo číslo,"Rayleigh-Zahl, f",Rayleigh number,número de Rayleigh,Rayleighin luku,"nombre de Rayleigh, m",numero di Rayleigh,レイリー数,레일리 수,liczba Rayleigha,número de Rayleigh,rayleightal,瑞利数
113-04-59,mass concentration of water,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-59,كتلة تركيز الماء,hmotnostní koncentrace vody,"Dichte des Wassers, f",mass concentration of water,concentración en masa de agua,veden massakonsentraatio,"concentration en masse d’humidité, f",concentrazione in massa d’acqua,水の質量濃度,물 질량 농도,gęstość pozorna wody,concentração em massa de humidade,masskoncentration av vatten,水质量浓度
113-04-60,mass concentration of water vapour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-60,كتلة تركيز بخار الماء,hmotnostní koncentrace vodní páry,"Wasserdampfkonzentration, f",mass concentration of water vapour,concentración en masa de vapor de agua,vesihöyryn massakonsentraatio,"concentration en masse de vapeur d’eau, f",concentrazione in massa di vapore acqueo,水蒸気の質量濃度,수증기 질량 농도,wilgotność bezwzględna,concentração em massa de vapor de água,masskoncentration av vattenånga,水蒸气质量浓度
113-04-61,mass ratio of water to dry matter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-61,النسبة الحجمية بين الماء والمادة الجافة,poměr hmotnosti vody a suché látky,"Wassergehalt in einem Feststoff, m",mass ratio of water to dry matter,razón de masa de agua a masa de materia seca,veden ja kuiva-aineen massasuhde,"rapport de la masse d’humidité à la masse de matière sèche, m",rapporto della massa d’acqua rispetto alla massa della materia seccarapporto di massa tra acqua e materia secca,水対乾燥物質量比,건조 물질에 대한 물 질량비,wilgotność właściwa,razão entre a massa de humidade e a massa de matéria seca,masskvot av vatten och torr materia,水对干物质质量比
113-04-62,"mixing ratio, <of water vapour>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-62,"نسبة الخلط, <من الماء و البخار>","směšovací poměr, <vodní páry>NEVHODNÝ TERMÍN: hmotnostní poměr vodní páry k suchému plynu","Mischungsverhältnis, <von Wasserdampf> n","mixing ratio, <of water vapour>DEPRECATED: mass ratio of water vapour to dry gas",razón de mezclarazón de masa de vapor de agua a masa de vapor seco,vesihöyryn ja kuivan kaasun massasuhde,"rapport de mélange, <de la vapeur d'eau> mDÉCONSEILLÉ: rapport de la masse de vapeur d’eau à la masse de gaz sec, m",rapporto di miscelazionerapporto di massa tra vapor acqueo e gas secco,混合比,"혼합비, <수증기>","stosunek zmieszania, <pary wodnej> m","razão de mistura, <do vapor de água>relação de mistura",blandningsförhållandemasskvot av vatten och torr materia,"混合比, <水蒸汽的>"
113-04-63,mass fraction of water,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-63,جزء كتلة الماء,hmotnostní zlomek vody,"Massenanteil des Wassers, m",mass fraction of water,fracción másica de agua,veden massaosuus,"fraction massique d’humidité, f",frazione massica di acqua,水の質量分率,물 질량 분율,ułamek masowy wody,fracção mássica de humidade,masshalt av vatten,水质量分数
113-04-64,mass fraction of dry matter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-64,جزء كتلة المادة الجافة,hmotnostní zlomek suché látky,"Massenanteil der Trockenmasse, m",mass fraction of dry matter,fracción másica de materia seca,kuiva-aineen massaosuus,"fraction massique de matière sèche, f",frazione massica di materia secca,乾燥質量分率,건조 물질 질량 분율,ułamek masowy materii suchej,fracção mássica de matéria seca,masshalt av torr materia,干物质质量分数
113-04-65,relative humidity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-65,رطوبة نسبية,"relativní vlhkostrelativní parciální tlak, <vodní páry>RH","relative Luftfeuchte, f","relative humidityrelative partial pressure, <of water vapour>RH",humedad relativaHR (abreviatura),suhteellinen kosteus,"humidité relative, fdegré hygrométrique, mtaux d’humidité, m",umidità relativaURpressione relativa parziale,相対湿度,상대 습도상대 부분 압력RH약어,"wilgotność względna, fRH",humidade relativaHR,relativ fuktighetrelativt partialtryck,"相对湿度相对分压, <水蒸气的>RH"
113-04-66,relative mass concentration of water vapour,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-66,التركيز النسبى لكتلة بخار الماء,relativní hmotnostní zlomek vodní páry,"relative Wasserdampfkonzentration, f",relative mass concentration of water vapour,concentración relativa en masa de vapor de agua,vesihöyryn suhteellinen massakonsentraatio,"concentration relative en masse de vapeur d’eau, f",concentrazione relativa in massa di vapore acqueo,水蒸気の相対質量濃度,수증기의 상대 질량 농도,wilgotność względna (2),concentração relativa da massa de vapor de água,relativ masskoncentration av vattenånga,水蒸气相对质量浓度
113-04-67,dew point temperature,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-04-67,درجة حرارة تكون الندى,teplota rosného bodu,"Taupunkt, m",dew point temperature,temperatura de punto de rocío,kastepistelämpötila,"température de point de rosée, ftempérature de rosée, f",temperatura del punto di rugiada,露点温度,이슬점 온도,temperatura punktu rosypunkt rosy,temperatura do ponto de orvalho,daggpunkttemperatur,露点温度
113-05-01,particle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-01,جسيم,částice,"Teilchen, n",particle,partícula,hiukkanen,"particule, f",particella,粒子,입자,cząstka,partícula,partikel,粒子
113-05-02,elementary particle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-02,جسيم أولى,elementární částice,"Elementarteilchen, n",elementary particle,partícula elemental,alkeishiukkanen,"particule élémentaire, f",particella elementare,素粒子,소립자,cząstka elementarna,partícula elementar,elementarpartikel,基本粒子
113-05-03,antiparticle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-03,جسيم أولى مضاد,antičástice,"Antiteilchen, n",antiparticle,antipartícula,antihiukkanen,"antiparticule, f",antiparticella,反粒子,반입자,antycząstka,antipartícula,antipartikel,反粒子
113-05-04,corpuscle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-04,خلية,korpuskule,"Korpuskel, n",corpuscle,corpúsculo,…..,"corpuscule, m",corpuscolo,小体,미립자,korpuskuła,corpúsculo,korpuskel,微粒
113-05-05,matter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-05,مادة,hmota,"Materie, f",matter,materia,ainemateria,"matière, f",materia,物質,물질,materia,matéria,materia,物质
113-05-06,quantum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-06,وحدة الطاقة,kvantum,"Quant, n",quantum,cuanto,kvantti,"quantum, m",quanto,量子,양자,kwant,quantum,kvantum,量子
113-05-07,Planck constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-07,ثابت بلانك,Planckova konstanta,"Planck-Konstante, f",Planck constant,constante de Planck,Planckin vakio,"constante de Planck, f",costante di Planck,プランク定数,플랑크 상수,stała Plancka,constante de Planck,Plancks konstant,普朗克常量
113-05-08,reduced Planck constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-08,ثابت بلانك المخفض,redukovaná Planckova konstanta,"reduzierte Planck-Konstante, f",reduced Planck constant,constante de Planck reducida,redusoitu Planckin vakio,"constante de Planck réduite, f",costante di Planck ridotta,換算プランク定数,약화 플랑크 상수,stała Plancka zredukowana,constante de Planck reduzida,Plancks reducerade konstant,约化普朗克常量
113-05-09,spin,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-09,كمية التحرك الزاوى للجزئ,spin (1),"Spin, m",spin,spin (1),spin,"spin, m",spin,スピン (1),스핀,spin (1),spin (1)S (símbolo),spinn (1),"自旋, <相关条目：113-05-11>"
113-05-10,spin magnetic quantum number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-10,الرقم الكمى المغناطيسى لكمية التحرك الزاوى للجزئ,spinové magnetické kvantové číslo,"Magnetquantenzahl des Spins, f",spin magnetic quantum number,número cuántico magnético de spin,magneettinen spinkvanttiluku,"nombre quantique magnétique de spin, m",numero quantico magnetico di spin,スピン磁気量子数,스핀 자기 양자수,liczba spinowa kwantowa magnetyczna,número quântico magnético de spin,magnetiskt spinnkvanttal,自旋磁量子数
113-05-11,spin quantum number,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-11,الرقم الكمى لكمية التحرك الزاوى للجزئ,spinové kvantové číslospin (2),"Spinquantenzahl, f","spin quantum numberspin, <number>",número cuántico de spinspin (2),spinkvanttiluku,"nombre quantique de spin, mspin, <nombre>",numero quantico di spin,スピン量子数スピン (2),"스핀 양자수스핀수, <수>",liczba spinowa kwantowaspin (2),número quântico de spinspin (2),spinnkvanttalspinn (2),"自旋量子数自旋, <相关条目：113-05-09>"
113-05-12,fermion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=113-05-12,فرميون,fermion,"Fermion, n",fermion,fermión,fermioni,"fermion, m",fermione,フェルミ粒子フェルミオン,페르미온,fermion,fermião,fermion,费米子
