term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,no,pl,pt,sl,sr,sv,zh
161-04-21,quasi-peak detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-21,كاشف شبه الذروة,"Quasispitzenwert-Detektor, mQuasispitzenwert-Bewertungskreis, m",quasi-peak detector,detector de cuasicresta,näennäishuippuilmaisin,"détecteur de quasi-crête, m",rivelatore di quasi-picco,準せん（尖）頭値検波器,준첨두 검파기,kvasispissdetektor,detektor quasi-szczytowy,detector de quase-pico,navidezno temenski detektor,"квазивршни детектор, м јд",kvasitoppdetektor,准峰值检波器
161-04-22,quasi-peak voltmeter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-22,جهاز قياس الجهد لشبه الذروة,"Quasispitzenwert-Spannungsmessgerät, n",quasi-peak voltmeter,voltímetro de cuasicresta,näennäishuippuvolttimittari,"voltmètre de quasi-crête, m",voltometro di quasi-picco,準せん（尖）頭値電圧計,준첨두 전압계,kvasispissvoltmeter,woltomierz quasi-szczytowy,voltímetro de quase-pico,navidezno temenski voltmeter,"квазивршни волтметар, м јд",kvasitoppvoltmeter,准峰值电压表
161-04-23,pulse response characteristic (of a quasi-peak voltmeter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-23,خصائص الاستجابة للنبضة (جهاز قياس الجهد لشبه الذروة),"Pulsbewertungscharakteristik, <eines Quasispitzenwert-Spannungsmessgeräts> f",pulse response characteristic (of a quasi-peak voltmeter),característica de respuesta a las pulsaciones,pulssitaajuusvastenäennäishuippuvolttimittarin pulssitaajuusvaste,caractéristique de réponse aux impulsions (d'un voltmètre de quasi-crête) f,"caratteristica di risposta agli impulsi (di un voltmetro
di quasi-picco)","パルス応答特性, <準せん（尖）頭値電圧計の>","펄스 응답 특성, <준첨두 전압계>",pulsresponskarakteristikk,charakterystyka odpowiedzi na impulsy (woltomierza szczytowego),característica de resposta a impulsos (de um voltímetro de quase-pico),karakteristika odziva na impulze,"карактеристика импулсног одзива, <квазивршног волтметра> ж јд",pulssvarskurva,"脉冲响应特性, <准峰值电压表的>"
161-04-24,peak detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-24,كاشف الذروة,"Spitzenwert-Detektor, mSpitzenwert-Bewertungskreis, m",peak detector,detector de cresta,huippuilmaisin,"détecteur de crête, m",rivelatore di picco,せん頭値検波器ピーク値検波器,첨두 검파기,spissdetektor,detektor wartości szczytowej,detector de pico,detektor temenske vrednostitemenski detektor,"детектор вршне вредности, м јд",toppvärdesdetektor,峰值检波器
161-04-25,root-mean-square detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-25,كاشف متوسط جذر المربعات (كاشف القيمة الفعّالة),"Effektivwert-Detektor, mEffektivwert-Bewertungskreis, m",root-mean-square detector,detector de valor eficaz,tehollisarvoilmaisin,"détecteur de valeur efficace, m",rivelatore di valore efficace,実効値検波器,실효 검파기,rms-detektor,detektor wartości skutecznej,detector de valor eficaz,detektor efektivne vrednosti,"детектор ефективне вредности, м јд",effektivvärdesdetektor,均方根值检波器
161-04-26,average detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-26,كاشف قيمة متوسطة,"Mittelwert-Detektor, mMittelwert-Bewertungskreis, m",average detector,detector de valor medio,keskiarvoilmaisin,"détecteur de valeur moyenne, m",rivelatore di valore medio,平均値検波器,평균 검파기,middelverdidetektor,detektor wartości średniej,detector de valor médio,detektor srednje vrednosti,"детектор средње вредности, м јд",medelvärdesdetektor,平均值检波器
161-04-27,artificial hand,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-27,يد اصطناعية,"Handnachbildung, f",artificial hand,mano artificial,keinokäsi,"main fictive, f",mano fittizia,擬似手,인공 손,kunstig hand,operator sztuczny,mão artificial,umetna roka,"еквивалентна рука, ж јд",handekvivalent,模拟手
161-04-28,(radiation) test site,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-28,موقع اختبار ( الإشعاع),"Feldstärke-Messgelände, nMessgelände, n",(radiation) test site,emplazamiento de ensayos (de radiación),mittapaikkasäteilymittapaikka,"emplacement d'essai (de rayonnement), m",stato di prova (di radiazione),テストサイト放射テストサイト,복사 시험장,måleplass for feltstyrke,stanowisko pomiarowe promieniowania stanowisko pomiarowe,local de ensaio (de radiação),preskušališče (za sevanje),"место за испитивање, <зрачења> с јд",mätplats,辐射测试场地
161-04-29,stop (quarter-wave) filter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-29,مرشح إيقاف (ربع موجه),"Viertelwellen-Sperrfilter, m",stop (quarter-wave) filter,filtro de parada (en cuarto de onda),estosuodatinneljännesaallon estosuodatin,"filtre d'arrêt (en quart d'onde), m",filtro di blocco (a un quarto d'onda),1/4波長帯域阻止フィルタ帯域阻止フィルタ,저지 1/4 파장 필터,kvartbølgjesperrefilter,filtr zaporowy ćwierćfalowyfiltr zaporowy,filtro de bloqueio (de quarto de onda),(četrtvalni) zaporni filter,"непропусни филтар, м јднепропусни четвртталасни филтар, м јд",stoppfilter,四分之一波长阻塞滤波器
161-04-30,absorbing clamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-30,ماسك (ملزمة) امتصاص,"Absorberzange, f",absorbing clamp,pinza de absorción,suurtaajuusvirtapihti,"pince absorbante, f",pinza assorbente,吸収クランプ,흡수 클램프,"absorberande tang, straumtang",cęgi absorpcyjne,pinça absorvente,absorbirne klešče,"апсорпциона клешта, с мн",absorberande tång,吸收钳
161-04-31,stripline,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-31,خط معري (شريطى),"Streifenleitung, f",stripline,,liuskajohto,"ligne TEM à plaques, f",linea TEM a piastre parallele,ストリップライン,스트립 선로,stripelinje,linia paskowa,linha TEM de placas,ploščati valovodTEM-valovod,"тракасти вод, м јд",parallellplansledning,带状线
161-04-32,TEM cell,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-32,خلية TEM,"TEM-Wellenleiter, m",TEM cell,célula TEM,TEM-kammio,"cellule TEM, f",cella TEM,TEMセル,TEM 셀,TEM-celle,komora o fali TEM (elektromagnetycznej poprzecznej),célula TEM,celica s prečnim elektromagnetnim poljemTEM-celica,"ТЕМ комора, ж јд",TEM-cell,横电磁波室
161-04-33,dummy lamp,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-33,مصباح  وهمى,"Lampennachbildung, f",dummy lamp,lámpara ficticia,keinolamppu,"lampe fictive, f",lampada fittizia,ダミーランプ,더미 램프,lampeekvivalent,lampa sztuczna,lâmpada fictícia,nadomestna sijalka,"еквивалентна сијалица, ж јд",lampekvivalent,模拟灯
161-04-34,balun,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-34,بالونمحول الجهد من اللاتوازن إلى توازن وبالعكس,"Symmetrierglied, nBalun, n",balun,balunsimetrizador,symmetrointimuuntaja,"symétriseur, mDÉCONSEILLÉ: transformateur symétrique-dissymétrique, m",trasformatore bilanciato/sbilanciato,バラン,발룬,balun,"symetryzator, mukład równoważący, m",simetrizador,simetrirniksimetrirni člen,"елемент за симетрирање, м јдсиметрично-асиметрични трансформатор, м јд",balun,平衡不平衡转换器
161-04-35,current probe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-35,مجس (مسبار) تيار,"Strom-Messzange, f",current probe,sonda de corriente,virtamittauspää,"sonde de courant, f",sonda di corrente,電流プローブ,전류 프로브,straumtang,sonda prądowa,sonda de corrente,tokovne klešče,"струјна сонда, ж јд",strömsond,电流探头
161-04-36,reference-ground plane,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-36,مستوى أرضي (مرجعي),"Äquipotentialbezugsebene, f",reference-ground planeRGPreference-earth plane,plano de tierra de referencia,,"plan de masse de référence, m",piano di massa di riferimento,共通接地面基準接地面,기준 접지 면RGP,jordrefereranseplan,płaszczyzna ziemi odniesieniapłaszczyzna ziemi,plano de terra de referência,plošča (referenčnega) potencialareferenčna plošča,"референтна подлога, ж јд",jordplan,参考接地平面
161-04-37,shielded enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-37,وعاء محجب (قفص فاراداي),"geschirmter Raum, m",shielded enclosurescreened room,jaula de Faraday,suojahuone,"cage de Faraday, f",gabbia di Faradaycabina schermata,シールドルーム,접지실스크린실,skjerma rom,pomieszczenie ekranowane kabina ekranowana,gaiola de Faraday,zaslonjeni prostorFaradayeva kletka,"екранизована просторија, ж јдФарадејев кавез, м јд",skärmat rum,屏蔽壳体
161-04-38,differential mode current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-38,تيار نمطى تفاضلى,"symmetrischer Strom, mGegentaktstromstärke, fGegentaktstrom, m",differential mode current,corriente en modo diferencial,eromuotoinen virtadifferentiaalinen virta,"courant en mode différentiel, m",corrente di modo differenziale,ディファレンシャルモード電流,차동 모드 전류,symmetrisk straum,prąd różnicowy zaburzeńprąd symetryczny zaburzeń,corrente em modo diferencial,diferenčna komponenta toka,"симетрична струја, ж јд",symmetrisk ström,差模电流
161-04-39,common mode current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-39,تيار نمطى مشترك,"asymmetrischer Strom, mGleichtaktstromstärke, fGleichtaktstrom, m",common mode current,corriente en modo común,yhteismuotoinen virta,"courant en mode commun, m",corrente di modo comune,コモンモード電流,공통 모드 전류,asymmetrisk straum,prąd wspólny zaburzeńprąd asymetryczny zaburzeń,corrente em modo comum,residualni tok,"асиметрична струја, ж јд",asymmetrisk ström,共模电流
161-04-40,common mode impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-40,معاوقة نمطية مشتركة,"asymmetrische Impedanz, fGleichtaktimpedanz, f",common mode impedance,impedancia de modo común,yhteismuodon impedanssi,"impédance de mode commun, f",impedenza di modo comune,コモンモードインピーダンス,공통 모드 임피던스,asymmetrisk impedans,impedancja wspólnaimpedancja asymetryczna,impedância de modo comum,residualna impedanca,"асиметрична импеданса, ж јд",asymmetrisk impedans,共模阻抗
161-04-41,immunity test level,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-04-41,مستوى إختبارِ المناعةِ (الحصانة),"Störfestigkeits-Prüfpegel, mSchärfegrad, m, (abgelehnt)",immunity test levelseverity level  (deprecated),nivel de ensayo de inmunidadnivel de severidad (término desaconsejado),sietotestaustaso,"niveau d'essai d'immunité, mniveau de sévérité  (terme déconseillé) m",livello di prova di immunità,イミュニティ試験レベル,내성 시험 레벨,nivå for immunitetsprøving,poziom próbny odporności,nível de ensaio de imunidadenível de severidade (desaconselhado),odpornostna ravenpreskusna ravenraven za preskušanje odpornosti,"испитни ниво имуности, м јдНАПУШТЕН: ниво строгости, м јд",nivå för tålighetsprovning,抗扰度试验电平
161-05-01,ISM (qualifier),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-05-01,مؤهل ISM,"ISM, <Gruppeneinteilung>",ISM (qualifier),"ISM (instalaciones industriales, científicas y médicas)",ISM-ryhmittely,ISM (abréviation) adj,ISM (qualificativo),"ISM, （修飾語）","ISM, <수식어>",ISM,"PMN (akronim, oznacza: przemysłowe, medyczne, naukowe)",ISM,ISM,"ISM, <квалификатор>",ISM,"工科医, <经认可的设备>"
161-05-02,radio-frequency heating apparatus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-05-02,جهاز تسخين بتردد لاسلكي,"Funkfrequenz-Erwärmungsanlage, f",radio-frequency heating apparatus,instalación de calefacción radioeléctrica,radiotaajuuskuumennin,"installation de chauffage radioélectrique, f",apparecchi di riscaldamento a radiofrequenza,高周波加熱装置,무선 주파수 가열 장치,høgfrekvensvarmeapparat,urządzenie grzejne radioelektryczne,instalação de aquecimento radioeléctricoaparelho de aquecimento radioeléctrico,radiofrekvenčni grelnik,"опрема за радиофреквенцијско загревање, ж јд",radiofrekvensvärmare,无线电频率加热装置
161-05-03,ISM frequency band,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-05-03,نطاق تردد ISM,"ISM-Frequenzband, n",ISM frequency band,banda de frecuencias ISM,ISM-taajuuskaista,"bande de fréquences ISM, f",banda di frequenza ISM,ISM周波数帯,ISM 주파수 대역,ISM-frekvensband,zakres częstotliwości PMN,banda de frequências ISMbaixa de frequências ISM,frekvenčni pas ISM,"ISM фреквенцијски опсег, м јд",ISM-frekvensband,工科医频段
161-05-04,information technology equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-05-04,معدة تكنولوجيا المعلومات (جهاز معالجة المعلومات),"Einrichtungen der Informationstechnik, fITE, Abkürzung",information technology equipmentITE (abbreviation),aparato de tratamiento de la informaciónATI (abreviatura),tietotekniikan laite,"appareil de traitement de l'information, mATI (abréviation) m",apparato per il trattamento dell'informazioneATI (abbreviazione),"情報技術装置ITE, （略語）",정보 기술 기기ITE,IT-utstyr,urządzenie informatyczne,equipamento informático,oprema za informacijsko tehnikoITE,"опрема информационе технологије, ж јдITE",utrustning för informationsbehandling,信息技术设备
161-05-05,professional equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-05-05,معدة مهنية,"professionelles Betriebsmittel, n",professional equipment,equipo profesional,ammattikäyttöön tarkoitettu laite,"matériel professionnel, m",apparecchio professionale,プロフェッショナル装置,전문가용 장비,profesjonelt utstyr,sprzęt profesjonalny,equipamento profissional,profesionalna oprema,"професионална опрема, ж јд",professionell utrustning,专用设备
161-06-01,spurious emission (of a transmitting station),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-01,انبعات عرضي (لمحطة إرسال),"Nebenaussendung, <einer Sendestelle> f",spurious emission (of a transmitting station),emisión no esencialemisión no esencial (de una estación transmisora),harhalähetelähettimen harhalähete,rayonnement non essentiel (d'une station d'émission radioélectrique) m,emissione spuria (di una stazione trasmittente),"スプリアス発射, <送信局の>","스퓨리어스 방출, <송신국>",uønskt utstråling,emisja niepożądana (stacji nadawczej),radiação não essencial (de uma estação de emissão radioeléctrica) emissão espúria (de uma estação de emissão radioeléctrica),bočno oddajanje oddajne postaje,"нежељена емисија, <предајника> ж јдспоредна емисија, <предајника> ж јд",oavsedd utstrålning,"杂散发射, <发射台的>"
161-06-02,out-of-band emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-02,بث خارج النطاق,"Außerband-Aussendung, f",out-of-band emission,emisión fuera de la banda,kaistan ulkopuolinen lähete,"émission hors bande, f",emissione fuori banda,帯域外発射,대역 외 방출,utstråling utanfor band,emisja pozapasmowa,emissão fora de bandaemissão fora de faixa,zunajpasovno oddajanje,"емисија изван опсега, ж јд",utombandsstrålning,带外发射
161-06-03,signal-to-disturbance ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-03,نسبة الإشارة إلى الاضطراب,"Nutzsignal-Störsignal-Verhältnis, n",signal-to-disturbance ratio,relación  señal/perturbaciónrelación entre señal y perturbación,signaalihäiriösuhde,"rapport signal sur perturbation, mrapport signal/perturbation, m",rapporto segnale/disturbo,信号対妨害比,신호 대 방해비,signal-forstyrring-høve,stosunek sygnału do zaburzenia,relação sinal/perturbação,razmerje signal-motnja,"однос сигнал–сметња, м јд",signal-störningsförhållande,信骚比
161-06-04,signal-to-noise ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-04,نسبة الإشارة إلى الضوضاء,"Signal-Geräusch-Verhältnis, nSignal-Rausch-Verhältnis, n",signal-to-noise ratio,relación señal ruidorelación señal/ruido,signaalikohinasuhde,"rapport signal sur bruit, mrapport signal/bruit, m",rapporto segnale/rumore,SN比信号対雑音比,신호 대 노이즈비,signal-støy-høve,stosunek sygnału do szumu,relação sinal/ruído,razmerje signal-šum,"однос сигнал–шум, м јд",signal-brusförhållande,信噪比
161-06-05,protection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-05,نسبة الحماية,"Schutzabstand, m",protection ratio,relación de protección,suojaussuhde,"rapport de protection, m",rapporto di protezione,保護比,보호비,påkrevd vernehøve,współczynnik ochronny,relação de protecção,zaščitno razmerje,"заштитни однос, м јд",erforderligt signal-störningsförhållande,保护率
161-06-06,spurious frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-06,تردد استجابة عرضي (تردد طفيلي),"Nebenempfangsfrequenz, f",spurious frequency,frecuencia espúrea,harhatoistotaajuus,"fréquence parasite, f",frequenza di risposta spuria,スプリアス周波数,거짓 주파수,uønskt frekvensrespons,"częstotliwość pasożytnicza, f",frequência parasita,vzročno frekvenčni nehoteni odzivparazitna frekvenca,"фреквенција споредног одзива, ж јдфреквенција нежељеног одзива, ж јд",falskfrekvens,乱真频率杂散频率
161-06-07,spurious response rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-07,نسبة الرفض للإستجابة العرضية (إضعاف على التردد الطفيلي),"Nebenempfangs-Unterdrückungsverhältnis, n",spurious response rejection ratio,decaimiento en la frecuencia parásita,harhatoistovaimennus,"affaiblissement sur la fréquence parasite, m",rapporto di reiezione,スプリアスレポンス除去比,거짓 응답 제거비,dempingsfaktor for uønskt frekvensrespons,tłumienie częstotliwości pasożytniczej,atenuação da frequência parasita,slabljenje parazitne frekvence,"коефицијент потискивања споредних одзива, м јдкоефицијент потискивања нежељених одзива, м јд",falskfrekvensdämpning,杂散响应抑制比
161-06-08,parasitic oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-08,تذبذب طفيلي,"parasitäre Schwingung, fparasitäre Oszillation, f",parasitic oscillation,oscilación parásita,loisvärähtely,"oscillation parasite, f",oscillazione spuria o parassita,寄生発振,기생 발진기생 진동,"parasittsvinging, parasittoscillasjon","drganie pasożytnicze, n",oscilação parasitaoscilação espúria,parazitno nihanje,"паразитна осцилација, ж јд",parasitsvängning,寄生振荡
161-06-09,"bandwidth, <of a transmission channel>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-09,عرض النطاق ( لجهاز ),"Bandbreite, <einer Einrichtung> f","bandwidth, <of a transmission channel>",anchura de banda (de un dispositivo),kaistanleveyslaitteen kaistanleveys,"largeur de bande, <d'une voie de transmission> f",larghezza di banda (di un dispositivo),"帯域幅, <機器の>","대역폭, <장치>",bandbreidd for utstyr,"szerokość pasma, <urządzenia> f","largura de banda de frequências, <dum dispositivo>largura de banda",pasovna širina naprave,"пропусни опсег, <уређаја> м јд",bandbredd,"带宽, <传输信道的>"
161-06-10,bandwidth (of an emission or signal),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-10,عرض النطاق (لبث أو إشارة),"Bandbreite, <einer Aussendung oder eines Signals> f",bandwidth (of an emission or signal),anchura de banda (de una emisión o señal),kaistanleveyssignaalin tai lähetteen kaistanleveys,largeur de bande (d'une émission ou d'un signal) f,larghezza di banda (di un'emissione o di un segnale),"帯域幅, <発射又は信号の>","대역폭, <방출 또는 신호>",bandbreidd for signal,szerokość pasma (emisji lub sygnału),largura de banda (de uma emissão ou de um sinal)largura de faixa (de uma emissão ou de um sinal),pasovna širina oddajanja ali signala,"ширина опсега, <емисије и сигнала> м јд",bandbredd,"带宽, <发射或信号的>"
161-06-11,broadband disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-11,اضطراب واسع النطاق,"Breitbandstörgröße, f",broadband disturbance,perturbación de banda ancha,laajakaistainen lähete,"perturbation à large bande, f",disturbo a larga banda,広帯域妨害,광대역 방해,breibandsforstyrring,zaburzenie szerokopasmowe,perturbação de banda larga,širokopasovna motnja,"широкопојасна емисија, ж јд",bredbandig störning,宽带骚扰
161-06-12,broadband device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-12,جهاز واسع النطاق,"Breitbandgerät, n",broadband device,dispositivo de banda ancha,laajakaistainen laite,"dispositif à large bande, m",dispositivo a larga banda,広帯域機器,광대역 장치,breibandsutstyr,urządzenie szerokopasmowe,dispositivo de banda largadispositivo de faixa larga,širokopasovna naprava,"широкопојасни уређај, м јд",bredbandsutrustning,宽带设备
161-06-13,narrowband disturbance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-13,اضطراب ضيق النطاق,"Schmalbandstörgröße, f",narrowband disturbance,perturbación de banda estrecha,kapeakaistainen lähete,"perturbation à bande étroite, f",disturbo a banda stretta,狭帯域妨害,협대역 방해,smalbandsforstyrring,zaburzenie wąskopasmowe,perturbação de banda estreita,ozkopasovna motnja,"ускопојасна емисија, ж јд",smalbandig störning,窄带骚扰
161-06-14,narrowband device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-14,جهاز ضيق النطاق,"Schmalbandgerät, n",narrowband device,dispositivo de banda estrecha,kapeakaistainen laite,"dispositif à bande étroite, m",dispositivo a banda stretta,狭帯域機器,협대역 장치,utstyr for smalbandsemisjon,urządzenie wąskopasmowe,dispositivo de banda estreitadispositivo de faixa estreita,ozkopasovna naprava,"ускопојасни уређај, м јд",smalbandsutrustning,窄带设备
161-06-15,selectivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-15,إنتقائية,"Trennschärfe, f",selectivity,selectividad,selektiivisyys,"sélectivité, f",selettività,選択度,선택도,selektivitet,selektywność,selectividade,razločljivostselektivnost,"селективност, ж јд",selektivitet,选择性
161-06-16,effective selectivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-16,إنتقائية فعّالة,"effektive Trennschärfe, f",effective selectivity,selectividad efectiva,tehollinen selektiivisyys,"sélectivité effective, f",selettività effettiva,実効選択度,유효 선택도,effektiv selektivitet,selektywność skuteczna,selectividade efectiva,dejanska razločljivostdejanska selektivnost,"ефективна селективност, ж јд",effektiv selektivitet,有效选择性
161-06-17,adjacent channel selectivity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-17,إنتقائية القناةِ المجاورةِ,"Nachbarkanaltrennschärfe, f",adjacent channel selectivity,selectividad en la cadena (señal) adyacenteselectividad por canal adyacente,naapurikanavien vaimennus,"sélectivité pour le canal adjacent, f",selettività per il canale adiacente,隣接チャネル選択度,인접 채널 선택도,nabokanalselektivitet,selektywność sąsiedniokanałowa,selectividade para o canal adjacente,razločljivost med sosednjima kanalomaselektivnost med sosednjima kanaloma,"селективност у односу на суседни канал, ж јд",grannkanalselektivitet,邻频道选择性
161-06-18,desensitization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-18,إزالة الحساسية,"Desensibilisierung, f",desensitization,desensibilización,herkkyyden heikentyminen,"désensibilisation, f",desensibilizzazione,感度抑圧,감도 저하,"reduksjon av følsemd, desensibilisering",znieczulenie,dessensibilização,zmanjšanje občutljivostidesenzibilizacija,"смањење осетљивости, с јд",känslighetsnedsättning,灵敏度降低
161-06-19,cross-modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-19,تضمين متخالط,"Kreuzmodulation, f",cross-modulation,transmodulación,ristimodulaatio,"transmodulation, f",modulazione incrociata,混変調,혼변조,kryssmodulasjon,"modulacja skrośna, f",transmodulação,križna modulacija,"укрштена модулација, ж јд",korsmodulation,交调
161-06-20,intermodulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-20,تضمين بيني,"Intermodulation, f",intermodulation,intermodulación,keskinäismodulaatio,"intermodulation, f",intermodulazione,相互変調,상호 변조,intermodulasjon,"intermodulacja, f",intermodulação,mešanjeintermodulacija,"интермодулација, ж јд",intermodulation,互调
161-06-21,intermediate frequency rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-21,نسبة رفض تردد متوسطإضعاف على التردد المتوسط,"Zwischenfrequenz-Unterdrückungsverhältnis, n",intermediate frequency rejection ratio,decaimiento en la frecuencia intermedia,välitaajuusvaimennus,"affaiblissement sur la fréquence intermédiaire, mrapport de réjection sur la fréquence intermédiaire, m",rapporto di reiezione alla frequenza intermedia,中間周波抑圧比,중간 주파수 억제비,dempingshøve for mellomfrekvens,"stosunek osłabienia sygnałów o częstotliwości pośredniej, m",atenuação na frequência intermédia,slabljenje vmesne frekvence,"коефицијент потискивања међуфреквенције, м јд",mellanfrekvensdämpning,中频抑制比
161-06-22,image rejection ratio,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-22,نسبة رفض صورة الإشارةإضعاف على التردد المترافق,"Spiegelfrequenz-Unterdrückungsverhältnis, n",image rejection ratio,decaimiento en la frecuencia conjugada,peilitaajuusvaimennus,"affaiblissement sur la fréquence conjuguée, mrapport de réjection sur la fréquence conjuguée, m",rapporto di reiezione alla frequenza immagine,イメージ周波数抑圧比,영상 억제비,dempingshøve for spegelfrekvens,"stosunek osłabienia sygnału lustrzanego, m",atenuação na frequência imagematenuação na frequência conjugada,slabljenje zrcalne frekvence,"коефицијент потискивања симетричног сигнала, м јд",spegelfrekvensdämpning,镜频抑制比
161-06-23,single-signal method,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-23,طريقة الإشارة الواحدة,"Einzelsignalverfahren, n",single-signal method,método de señal única,yksisignaalimenetelmä,"méthode à signal unique, f",metodo a segnale unico,１信号法,단일 신호법,enkeltsignalmetode,metoda jednosygnałowa,método de sinal único,enosignalni postopek,"метода једног сигнала, ж јд",ensignalmetod,单信号法
161-06-24,two-signal method,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-06-24,طريقة الإشارتِينِ,"Doppelsignalverfahren, n",two-signal method,método de dos señales,kaksisignaalimenetelmä,"méthode à deux signaux, f",metodo a due segnali,２信号法,2 신호법,dobbeltsignalmetode,metoda dwusygnałowa,método de dois sinais,dvosignalni postopek,"метода два сигнала, ж јд",tvåsignalmetod,双信号法
161-07-01,input power control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-01,تحكم في قدرة الدخل,"Eingangsleistungssteuerung, f",input power control,control de potencia de entrada,tulotehon ohjaus,"commande de puissance d'entrée, f",regolazione della potenza di ingresso,入力電力制御,입력 전력 제어,regulering av inneffekt,regulacja mocy wejściowej,controlo de potência de entrada,krmiljenje vhodne močikrmiljenje moči na vhodu,"управљање улазном снагом, с јд",styrning av ineffekt,输入功率控制
161-07-02,output power control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-02,تحكم في قدرة الخرج,"Ausgangsleistungssteuerung, f",output power control,control de potencia de salida,lähtötehon ohjaus,"commande de la puissance de sortie, f",regolazione della potenza di uscita,出力電力制御,출력 전력 제어,regulering av uteffekt,regulacja mocy wyjściowej,controlo de potência de saída,krmiljenje izhodne močikrmiljenje moči na izhodu,"управљање излазном снагом, с јд",styrning av uteffekt,输出功率控制
161-07-03,cyclic on/off switching control,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-03,تحكم دورى فى الفصل والوصل,"periodische Ein-Aus-Steuerung, f",cyclic on/off switching control,control (cíclico) de encendido o apagado,jaksollinen ON/EI ohjaus,"commande (cyclique) par tout ou rien, f",controllo (ciclico) acceso/spento,サイクルオン・オフ制御サイクル制御,주기적 개폐 제어,periodisk på/av-regulering,sterowanie cyklicznego załączania i wyłączania,controlo (cíclico) por tudo ou nada,periodično krmiljenje preklopov,"управљање цикличним укључивањем/искључивањем, с јд",periodisk till-frånstyrning,周期性通/断开关控制
161-07-04,program (of a control system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=161-07-04,برنامج (لنظام تحكم),"Programm, <eines Steuerungssystems> n",program (of a control system),programa (de un sistema de control),ohjelmasäätöjärjestelmän ohjelma,"programme (d'un système de commande), m",programma (di un sistema di controllo),制御システムのプログラムプログラム,제어시스템의 프로그램,styreprogram,program systemu sterowania program,programa (de um sistema de controlo),program (krmilnega sistema),"програм, м јдпрограм система управљања, м јд",styrprogram,"程序, <控制系统的>"
