term_id,term,term_url,ar,cs,de,en,es,fi,fr,ja,ko,pl,pt,sr,sv,zh
732-08-01,World Wide Web,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-01,النسيج العالمى للمعلوماتإختصار (W3)إختصار (WWW)صفحة الإنترنت,World Wide WebwebWWW,"World Wide Web, nWeb, nWWW, Abkürzung, n",World Wide WebWebWWW (abbreviation),"red mundial multimedia, Web, WWW (abreviatura), W3 (abreviatura)",WWWwww,"Toile, ftoile mondiale, f","ワールドワイドウェブウェブWWW, （略語）W3, （略語）",월드 와이드 웹웹디블유더블유더블유,sieć WWWsieć ogólnoświatowaWWW (akronim),teia mundialWebWWW (abreviatura),"светска рачунарска мрежа, ж јдвеб, м јдWWWW3",W3 (förkortning)webbWorld Wide WebWWW (förkortning),万维网WWWW3
732-08-02,Web site,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-02,موقع على الشبكة العالمية العنكبوتيةالموقع على الإنترنت,umístění webu,"Web-Auftritt, mWeb-Präsenz, f",Web siteWWW site,"sitio web, sitio WWW",verkkosivustoWWW-sivusto,"site sur la Toile, msite Web, m",ウェブサイトWWWサイト,웹 사이트,miejsce w sieci WWWwitryna sieci WWW,sítio na teia mundialsítio Websítio WWW,"веб-сајт, м јдWWW сајт, м јд",webbplatsWWW-plats,万维网站
732-08-03,Web server,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-03,خادم إنترنت,webový server,"Web-Server, m",Web server,servidor web,WWW-palvelin,"serveur de la Toile, mserveur Web, m",ウェブサーバ,웹 서버,serwer sieci WWW,servidor na teia mundialsítio Web,"веб-сервер, м јд",webbserver,万维网服务器
732-08-04,Web page,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-04,صفحة على الإنترنت,webová stránka,"Web-Seite, f",Web page,página web,verkkosivuWWW-sivu,"page sur la Toile, fpage Web, f",ウェブページ,웹 페이지,strona sieci WWW,página na teia mundialpágina Web,"веб-страница, ж јд",webbsida,网页
732-08-05,Webmaster,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-05,مشرف مواقع الإنترنت,správce webu,"Web-Meister, m",Webmaster,administrador web,verkkosivustovastaavaWWW-vastaava,"webmestre, madministrateur de serveur, madministrateur de site, m",ウェブマスタ,웹마스터,administrator sieci WWW,webmestreadministrador de servidoradministrador de sítio,"администратор веб-локације, м јд","webbmaster, admin",网站管理员
732-08-06,portal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-06,بوابة,portál,"Portal, n",portal,portal,portaalipalveluportti,"portail, m",ポータル,포털길라잡이문,portal (w sieci WWW),portal,"портал, м јд",portal,门户
732-08-07,e-mail service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-07,خدمة البريد الإلكترونى,e-mailová službae-mail (1)elektronická pošta (1),"E-Mail-Dienst, me-Post (1), felektronische Post (1), f",e-mail servicee-mail (1)electronic mail (1),"servicio de correo electrónico, e-correo (1), correo electrónico (1)",sähköpostipalvelu,"service courriel, mcourriel (1), mcourrier électronique (1), m",EメールサービスEメール (1)電子メール (1),이메일 서비스이메일전자메일,poczta elektronicznae‑mail,serviço de correio electrónicoserviço e-mail,"сервис е-поште, м јде-пошта, ж јделектронска пошта, ж јд",elektronisk posttjänste-posttjänst,"电子邮件服务电子邮件, <相关条目：732-08-08>"
732-08-08,e-mail message,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-08,رسالة بالبريد الإلكترونى,e-mailová zprávae-mail (2)elektronická pošta (2),"E-Mail-Nachricht, fe-Post (2), felektronische Post (2), f",e-mail messagee-mail (2)electronic mail (2),"mensaje de correo electrónico, e-correo (2), correo electrónico (2)",sähköpostiviesti,"courriel (2), mcourrier électronique (2), mmessage électronique, m",EメールメッセージEメール (2)電子メール (2),이메일 메시지이메일전자메일,wiadomość przesłana elektroniczniewiadomość e‑mail,correio electrónicoe-mail,"порука е-поште, ж јде-пошта, ж јделектронска пошта, ж јд",elektronisk poste-poste-postmeddelande,"电子邮件消息电子邮件, <相关条目：732-08-07>"
732-08-09,Usenet news service,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-09,خدمة شبكة الإخباريات,služba zpráv Usenet,"Netz-Nachrichten-Dienst, mUsenet-News, f, pl",Usenet news service,servicio de noticias Usenet,uutisryhmäpalvelu,"service de nouvelles Usenet, f pl",Usenetニュースサービス,유즈넷 뉴스 서비스,usługa konferencyjna w Internecieserwis USENET,serviço de notícias usenet,"сервис Usenet, м јд",datorkonferenstjänst,Usenet新闻服务
732-08-10,Internet relay chat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-10,إختصار (IRC)الدردشة عبر الإنترنت,chatování po internetuIRC,"Internet-Plauschdienst, mIRC, Abkürzung, m",Internet relay chatIRC (abbreviation),"servicio conversación en línea , IRC (abreviatura)",IRC-palvelu,"service de dialogue en ligne sur l’Internet, mservice de clavardage Internet CA, m","インターネットリレーチャットIRC, （略語）",인터넷 대화아이아르시,usługa rozmów na żywo (w Internecie)usługa chatIRC (akronim),serviço de diálogo em linha na internet,"интерактивни разговор на интернету, м јдIRC",chat-tjänstIRC (förkortning,国际互联网中继聊天互联网中继聊天IRC
732-08-11,instant messaging,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-11,مراسلة فورية,okamžité předávání zpráv,"Sofortnachrichtendienst, m",instant messaging,mensajería instantánea,pikaviestintä,"messagerie instantanée, f",インスタントメッセージング,인스턴트 메시징즉석 메시지 주고받기,przesyłanie natychmiastowe komunikatów,mensageria instantânea,"тренутно размењивање порука, с јд",direktkontakt för meddelande,即时通信
732-08-12,viewer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-12,المشاهد,prohlížeč,"Betrachtungsprogramm, nBetrachter, m",viewer,visualizador,katseluohjelma,"visionneur, mvisionneuse, fvisuali CA, m",ビューア,뷰어,program przeglądania plików (tylko do odczytu),visionador,"приказивач, м јд","läsare, visningsprogram",阅览器
732-08-13,applet,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-13,برنامج محدود الوظيفة,applet,"Applet, n",applet,miniaplicación,sovelma,"appliquette, fapplet, m",アプレット,애플릿,apletdodatek,applet,"аплет, м јд",litet program,小应用程序
732-08-14,plug in,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-14,برنامج مساعدالدخول إلى,zásuvný modulpomocná aplikaceplug in,"Einschubprogramm, n",plug inhelper application,aplicación de ayuda,ohjelmalisäke,"module d’extension, m",プラグインヘルパーアプリケーション,플러그 인도움 응용,wstawkawtyczka (termin niezalecany),módulo de extensão,"додатни програм, м јдпомоћна апликација, ж јд",hjälpapplikation,插件助手应用程序
732-08-15,bookmark (in the Internet),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-15,المرجعية (فى الإنترنت),"záložka, <v internetu>","Lesezeichen (im Internet), n",bookmark (in the Internet),marcador (en Internet),kirjanmerkki,"signet, mfavori, mmarque-page, m","ブックマーク, <インターネットの>","북마크, <인터넷>책갈피",zakładka (w Internecie)znacznik (w Internecie),marca-página (na internet),"обележивач, <на интернету> м јд",bokmärke (i internet),"书签, <在国际互联网中>"
732-08-16,cookie,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-08-16,التسجيلات,cookie,"Cookie, n",cookie,chivato,eväste,"témoin de connexion, mtémoin (dans les réseaux d’ordinateurs), m",クッキー,쿠키,ciasteczko (termin żargonowy)cookie (termin żargonowy),testemunho de conexãocookie,"колачић, м јд",cookie,·····
732-09-01,network etiquette,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-01,قواعد لإستخدام الشبكةآداب إستخدام الشبكة,etiketa sítěpravidla chování v síti,"Netzknigge, mNettikette, f",network etiquettenetiquette,etiqueta de red,verkkoetikettinetiketti,"étiquette de réseau, fnétiquette, f",ネットワークエチケットネチケット,망 예절네티켓네트워크 예절,etykieta Internetuetykieta,etiqueta de redenetiqueta,"правила понашања на мрежи, с мнмрежна етика, ж јд",nätettikett,网络礼仪
732-09-02,"flame, noun",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-02,لهبرسالة مزعجة,útočná polemikaflameflaming,"hitzige Erwiderung, fFlamme, f","flame, nounflaming",mensaje incendiario,ärsytysviesti,"message incendiaire, mcoup de feu CA, m","フレーム, 名詞フレーミング",악성 댓글플레임플레밍,paszkwiloszczerstwo,mensagem incendiáriainflamação,"провокација, ж јдпровоцирање, с јд","argt inlägg, flejm",·····
732-09-03,cyberspace,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-03,الفضاء الإلكترونى,kyberprostor,"Cyberwelt, f",cyberspace,ciberespacio,verkkoavaruuskyberavaruus,"cyberespace, m",サイバースペース,가상 공간사이버 공간,cyberprzestrzeń,ciberespaço,"сајбер простор, м јд",cyberrymd,网络空间
732-09-04,online community,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-04,الجالية الإلكترونيةالجالية الإفتراضيةالجالية على الإنترنت,online komunitavirtuální komunitae-komunita,"Online-Community, fCybergemeinschaft, f",online communityvirtual communitye-community,"comunidad electrónica, comunidad virtual, e-comunidad",verkkoyhteisövirtuaaliyhteisö,"communauté électronique, fcommunauté virtuelle, f",オンラインコミュニティバーチャルコミュニティeコミュニティ,온라인 공동체가상 공동체전자 공동체,społeczność internetowa,comunidade electrónicacomunidade virtual,"заједница на мрежи, ж јдвиртуелна заједница, ж јде-заједница, ж јд",…,网上社区虚拟社区电子社区
732-09-05,cybernaut,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-05,عضو الفضاء الإلكترونى,kybernaut,"Cybernaut, mMitglied einer Online-Gemeinschaft, n",cybernaut,internauta,kybernautti,"internaute, m/f",サイバーノート,사이버노트가상현실 체험자,cybernautainternauta,cibernauta,"сајбернаут, м јд",cybernaut,网客
732-09-06,virtual office,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-06,مكتب إفتراضى,virtuální kancelář,"virtuelles Büro, n",virtual office,oficina virtual,virtuaalitoimisto,"bureau virtuel, m",バーチャルオフィス,가상 사무공간,biuro wirtualne (w Internecie),escritório virtual,"виртуелна канцеларија, ж јд",virtuellt kontor,虚拟办公室
732-09-07,pull technology (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-07,تقنية السحب (فى الشبكات),"technologie pull, <v počítačových sítích>","Ziehtechnik (in Rechnernetzen), fPull-Technik, f",pull technology (in computer networks),distribución bajo demanda (en redes de ordenadores),pyyntötekniikkavetotekniikka,"technique du tirer (dans les réseaux d’ordinateurs), frecherche individuelle  (dans les réseaux d’ordinateurs), f","プルテクノロジー, <コンピュータネットワークの>","풀 기술, <컴퓨터 망>당김 기술, <컴퓨터 망>",wysyłanie informacji na żądanie (użytkownika),técnica de puxar (nas redes de computadores),"технологија потражње, <у рачунарским мрежама> ж јд","pullteknik, pull (i datornätverk)","拉取技术, <在计算机网络中>"
732-09-08,push technology (in computer networks),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-09-08,تقنية الدفع (فى الشبكات),"technologie push, <v počítačových sítích>","Auftragstechnik (in Rechnernetzen), fPush-Technik, f",push technology (in computer networks),distribución automática (en redes de ordenadores),tarjontatekniikkatyöntötekniikka,"technique du pousser (dans les réseaux d’ordinateurs), fdistribution sélective (dans les réseaux d’ordinateurs), f","プッシュテクノロジー, <コンピュータネットワークの>","푸시 기술, <컴퓨터 망>밀어내기 기술, <컴퓨터 망>",wysyłanie automatyczne informacji na zamówienie (użytkownika),técnica de empurrar (nas redes de computadores),"push технологија, <у рачунарским мрежама> ж јд","pushteknik, push (i datornätverk)","推送技术, <在计算机网络中>"
732-10-01,home network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-10-01,,domácí síť,"Heimnetzwerk, n",home network,red doméstica,,"réseau domestique, m",ホームネットワーク,가정망,"sieć domowa, f",rede doméstica,"кућна мрежа, ж јд",,家庭网络
732-10-02,home control system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-10-02,,domácí řídicí systém,"Hausleitsystem, n",home control system,sistema de control doméstico,,"système domestique de commande, m",ホームコントロールシステム,옥내 제어 시스템,"system domowy sterowania, m",,"кућни контролни систем, м јд",,
732-10-03,application language,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=732-10-03,,aplikační jazyk,"Anwendungssprache, f",application language,protocolo de aplicación,,"langage d'application, m",アプリケーションプロトコル,응용 언어,"protokół użytkowy, <domowy> m",linguagem de aplicação,"апликативни протокол, м јд",,应用语言
