term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,ru,sl,sr,sv,zh
461-09-07,thermocouple compensation cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-07,كابل تعويض مزدوجة حرارية,"thermisches Kompensationskabel, nThermoelementausgleichskabel, n",thermocouple compensation cable,cable de compensación del termopar,termoelementin kompensointikaapeli,"câble de compensation de couple thermoélectrique, m",cavo di compensazione per coppie termoelettriche,補償導線,열전 보상 케이블열전 보상 전선,термопарын тэгшитгэгч кабель,kompensasjonskabel for termoelement,"przewód kompensacyjny termoelementu, m",cabo de compensação de par termoeléctrico,термоэлектродный кабель,kompenzacijski kabel termočlena,"компензациони кабл термопара, м јд",kompensationskabel,热电偶补偿电缆
461-09-08,ignition cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-08,كابل إشعال كهربي,"Zündkabel, n",ignition cable,cable de ignicióncable para sistemas de arranque,sytytyskaapeli,"câble d'allumage, m",cavo di accensione,イグニションケーブル,점화 케이블점화 전선,асаалтын кабель,tenningskabel (i bilar),"przewód zapłonowy, m",cabo de ignição,кабель зажигания,vžigalni kabelvžigni kabel,"кабл за паљење, м јд",tändkabel,点火电缆
461-09-09,blasting cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-09,كابل لنسف المتفجرات,"Zündleitung, f",blasting cable,cable de pegacable de tirocable de activación,räjäytyslanka,"câble de tir, m",cavo di innesco (d’esplosione),発破用ケーブル,폭파 케이블폭파 전선,тэсэлгээний кабель,tenningskabel (for sprenging),"przewód strzałowy, m",cabo de detonador,кабель для взрывных работ,vžigna vrvica,"минерски кабл , м јд",tändkabel,爆破电缆
461-09-10,anti-twist cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-09-10,كابل غير قابل لليّ,"verdrehungsfreies Kabel, n",anti-twist cable,cable antigiratorio,kiertymätön kaapeli,"câble anti-giratoire, m",cavo antitorsione,耐捻回ケーブル,꼬임 방지 케이블꼬임 방지 전선,мушгирдаггүй кабель,tvinnefri kabel,"kabel przeciwskrętny, m",cabo antigiratório,нескручиваюшийся кабель,antitorzijski kabel protivzvojni kabel,"кабл који се не уврће, м јд",kryssarmerad kabel,防扭电缆
461-10-01,termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-01,نهاية,"Endenabschluss (eines Kabels), m",termination,terminación (de cable),pääte,extrémité (de câble) f,terminazione,ケーブル終端部終端接続部,종료종단,төгсгөвч,endeavslutning,"głowica kablowa, f",terminação (de cabo),концевая муфта,(kabelski) končnik,"завршница, ж јд",avslutning,终端
461-10-02,sealing end,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-02,نهاية محكمةرأس خزفي,"Endverschluss, m",sealing endpothead  (deprecated),terminación estanca,suljettu pääte,"extrémité étanche, f",terminale (a tenuta),ケーブル終端部終端接続部,종단 밀폐,төгсгөлийн жийргэвч,forsegla endeavslutning,"kapturek uszczelniający (1), m",terminação estanque,герметичная концевая муфта,hermetični končnik,"заптивна завршница , ж јд",trycktät avslutning,密封终端
461-10-03,terminal box,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-03,صندوق طرف,"Kabelabschlusskasten, mAbschlusskasten, m",terminal box,caja terminal,päätekotelo,"boîte d'extrémité, fcoffret d'extrémité, m",cassetta di terminazione,終端接続部収納箱端子箱,단자함,оруулгын самбар,koplingsboks,"osłona głowicy kablowej, f",caixa de terminaçãocaixa terminal,кабельный ввод,končniška omarica,"прикључна кутија, ж јд",kabelbox,终端盒
461-10-04,dividing box,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-04,صندوق تقسيمصندوق تجزئة,"Aufteilungskasten, m",dividing boxsplitter box,caja de separación,jakokotelo,"boîte de séparation, f",cassetta di separazione,分岐箱,분리 상자,нам хүчдэлийн холболтын хайрцагөндөр хүчдэлийн холболтын хайрцаг,avgreiningsboks,"rozdzielnica, fgłowica wielożyłowa, f",caixa de separação,разделительная муфтаразветвительная муфта,delilna omaricarazcepna omarica,"разделна кутија, ж јд",grenbox,分线芯盒分线盒
461-10-05,trifurcating box,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-05,مشعب ثلاثىصندوق تشعيب ثلاثى,"Dreier-Aufteilungskasten, m",trifurcating boxtrifurcator,trifurcación,kolmihaarakotelo,"trifurcation, f",cassetta di triforcazione,３心ケーブルの分岐箱,세갈래 분배함,салаалах самбар,avgreiningsboks,"głowica trójżyłowa, f",caixa de trifurcação,тройниковая муфтатройник,tripolna razcepna omarica,"трополна разделна кутија, ж јд",trefas grenbox,三芯分支盒
461-10-06,separable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-06,وصلة منفصلة,"trennbarer Kabelabschluss, m",separable connector,conector separable,pistokepääteirrotettava pääte,"connecteur séparable, m",connettore separabile,コネクタ,분리가능 연결기,саланги холбогч,pluggavslutning,"głowica konektorowa, f",conector separável,отдельный соединитель,vtični končnik,"раздвојиви конектор, м јд",isoleravslutning,可分离连接器
461-10-07,pot end,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-07,نهاية سدادةغطاء عازل,"Endmuffe, f",pot endstop endinsulating cap,capuchón de protección,eristetty umpipääte,"bout perdu, m",terminale isolante,絶縁栓絶縁キャップ,포트 끝정지 끝절연 캡,битүү тагтөгсгөлийн тагтусгаарлах таг,isolert avslutning,"kapturek izolacyjny, f",capacete terminal,защитный колпачокпредохранительный колпачок,slepi končnik,"изолациона завршна капа, ж јдзавршна капа, ж јдизолациона капа, ж јд",isolerad kabelavslutning,绝缘罩
461-10-08,slip-on termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-08,نهاية منزلقة,"aufschiebbarer Endenabschluss, m",slip-on termination,terminación deslizante,päälle vedettavä pääteslip-on pääte,"extrémité enfilable, f",terminale infilabile,差込式端末挿入式端末,슬립 온 종단,цутгамал төгсгөвч,kaldkrymp-endeavslutning,"głowica nasuwana, f",terminação enfiável,надвигаемая концевая муфта,natični končnik,"завршни прикључак који се навлачи, м јд",påskjutbar avslutning,装配式终端
461-10-09,shrinkable termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-09,نهاية قابلة للإنكماش,"schrumpfbarer Endenabschluss, m",shrinkable termination,terminación retráctil,kutistepääte,"extrémité rétractable, f",terminale retraibile,収縮式端末,수축 종단,агшмал төгсгөвч,krympbar endeavslutning,"głowica kurczliwa, f",terminação retráctil,усаживаемая концевая муфта,skrčljivi končnik,"скупљајућа завршница, ж јд",krympbar avslutning,收缩式终端
461-10-10,elastic termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-10,نهاية مرنة قابلة للتمدد ذاتيا,"elastischer Endenabschluss, mkaltschrumpfbarer Endenabschluss, m",elastic termination,terminación elástica,kylmäkutistepääteelastinen pääte,"extrémité élastique, f",terminale elastico,ゴムなど弾性体を使用した端末,탄성 종단,уян төгсгөвч,elastisk endeavslutning,"głowica elastyczna, f",terminação elástica,эластичная концевая муфта,elastični končnik,"еластична завршница, ж јд",elastisk avslutning,弹性体终端
461-10-11,taped termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-11,نهاية ذات شريط ملفوف,"gewickelter Endenabschluss, m",taped termination,terminación encintada,teippipääte,"extrémité rubanée, f",terminale nastrato,テープ巻式端末,테이프 종단,цахилгааны лентээр ороосон төгсгөвч,vikla endeavslutning,"głowica taśmowa, f",terminação enfitada,"концевая муфта, выполненная подмоткой",poviti končnik,"завршница урађена мотањем траке , ж јд",tejpad avslutning,绕包式终端
461-10-12,cast resin termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-12,نهاية راتنجية مصبوبة,"Gießharz-Endenabschluss, m",cast resin termination,terminación con resina colada,valumuovipääte,"extrémité (en résine) coulée, f",terminale in resina colata,レジン鋳造式端末,주물 레진 종단,цутгамал резинэн төгсгөвч,endeavslutning med innstøypt harpiks,"głowica żywiczna, f",terminação (em resina) moldada,литая концевая муфта,(s smolo) vliti končnik,"завршница изливена од смоле , ж јд",gjuthartsavslutning,树脂浇铸式终端
461-10-13,indoor termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-13,نهاية للاستخدام داخل المبنى,"Innenraum-Endenabschluss, m",indoor termination,terminal interior,sisäpääte,"extrémité d'intérieur , f",terminazione interna,屋内終端接続部,옥내 종단,дотор байх зориулалттай төгсгөвч,innandørs endeavslutning,"głowica wnętrzowa, f",terminação (de uso) interior,концевая муфта  внутренней установки,,"завршница за унутрашњу монтажу , ж јд",inomhusavslutning,户内终端
461-10-14,outdoor termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-14,نهاية للإستخدام خارج المبنى,"Freiluft-Endenabschluss, m",outdoor termination,terminal exterior,ulkopääte,"extrémité d'extérieur , f",terminazione esterna,屋外終端接続部,옥외 종단,гадна байх зориулалттай төгсгөвч,utandørs endeavslutning,"głowica zewnętrzna, f",terminação (de uso) exterior,концевая муфта  наружной установки,,"завршница за спољашњу монтажу , ж јд",utomhusavslutning,户外终端
461-10-15,screened separable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-15,رابط ذات ستارة قابل للفصل,"geschirmter trennbarer Kabelanschluss, m",screened separable connector,conector separable apantallado,kosketussuojattu pistokepääte,"connecteur séparable avec écran, m",connettore separabile schermato,遮へいありコネクタ,차폐 분리가능 연결기,экрантай саланги холбогч,skjerma pluggavslutning,"adapter ekranowany, m",conector separável blindado,экранированный отдельный соединитель,,"екранизовани раздвојиви конектор, м јд",skärmad isoleravslutning,屏蔽可分离连接器
461-10-16,unscreened separable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-16,وصلة,"ungeschirmter trennbarer Kabelanschluss, m",unscreened separable connector,conector separable sin apantallar,kosketussuojaamaton pistokepääte,"connecteur séparable sans écran, m",connettore separabile non schermato,遮へいなしコネクタ,비차폐 분리가능 연결기,экрангүй саланги холбогч,uskjerma pluggavslutning,"adapter nieekranowany, m",conector separável não blindado,неэкранированный отдельный соединитель,,"неекранизовани раздвојиви конектор , м јд",oskärmad isoleravslutning,非屏蔽可分离连接器
461-10-17,plug-in type separable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-17,رابط منفصل ذات أصبع وصل,"steckbarer trennbarer Kabelanschluss, m",plug-in type separable connector,conector separable enchufable,kosketinpistokepääte,"connecteur séparable embrochable, m",connettore separabile di tipo separabile,プラグインコネクタスリップオン型終端接続部,플라그인형 분리가능 연결기,сэрээтэй залгуур,pluggbar kopling,"adapter ślizgowy, m",conector separável de encaixe,штепсельный отдельный соединитель,,"раздвојиви конектор утичног типа , м јд",isoleravslutning av instickstyp,插入式可分离连接器
461-10-18,bolted-type separable connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-18,وصلة منفصلة مثبتة بصامولة,"schraubbarer trennbarer Kabelanschluss, m",bolted-type separable connector,conector separable atornillado,pulttipistokepääte,"connecteur séparable boulonné, m",connettore separabile di tipo bullonato,ボルト締め形コネクタ,볼트형 분리가능 연결기,боолтон залгуур,fastskrudd kopling,"adapter śrubowy, m",conector separável aparafusado,болтовой отдельный соединитель,,"раздвојиви конектор за монтажу на завртањ, м јд",isoleravslutning av skruvtyp,螺栓式可分离连接器
461-10-19,deadbreak connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-19,رابط منفصل للاستخدام بدون جهد,"nicht unter Spannung trennbarer Kabelanschluss, m",deadbreak connector,conector (separable) accionable sin carga,kuormittamattomana kytkettävä pääte,"connecteur (séparable) débrochable hors charge, m",connettore a vuoto,非活線着脱形コネクタ,데드브레이크 연결기,ачаалалгүй үеийн салгуур,,"konektor rozłączalny obwodów bez napięcia, m",conector (separável) extraível fora de serviço,соединитель для обесточенных цепей,,"конектор за раздвајање у безнапонском стању, м јд",isoleravslutning utan brytförmåga,不带电插拔连接器
461-10-20,loadbreak connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-20,رابط تحت الحمل,"unter Last trennbarer Kabelanschluss, m",loadbreak connector,conector (separable) accionable en carga,kuormitettuna kytkettävä pääte,"connecteur (séparable) débrochable en charge, m",connettore sotto carico,活線着脱形コネクタ,부하차단 연결기,ачаалалтай үеийн салгуур,,"konektor rozłączalny obwodów pod napięciem, m",conector (separável) extraível em tensão,"соединитель цепей, находящихся под напряжением",,"конектор за раздвајање под напоном, м јд",isoleravslutning med brytförmåga,带负荷插拔连接器
461-10-21,shrouded termination,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-10-21,نهاية معزولة مغطاة,"abgedeckter Endenabschluss, m",shrouded termination,terminación interior completamente aislada,lisäeristetty pääte,"extrémité d'intérieur entièrement isolée, f",terminazione avvolta,端子カバー付き終端接続部,덮은 종단,шүдэт төгсгөвч,,"głowica wnętrzowa z adapterem, f",terminação (de uso) interior totalmente isolada,концевая муфта с дополнительной изоляцией,,"прекривена завршница, ж јд",isolerkapslad avslutning,护罩式终端
461-11-01,straight-joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-01,وصلة مستقيمة,"Verbindungsmuffe, f",straight-joint,empalme,suora jatkos,"jonction (simple), f",giunzione (semplice),直線接続部,직접 접속 장치,шулуун муфт,normalskøyt,"mufa przelotowa, f",junção (simples),соединительная муфта,(navadna) spojka,"права спојница, ж јд",rakskarv,直通接头
461-11-02,trifurcating joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-02,وصلة تشعيب ثلاثية,"Dreier-Aufteilungsmuffe, f",trifurcating joint,empalme de trifurcación,kolmihaarajatkos,"jonction tri-mono, f",giunzione di triforcazione,三叉分岐接続部,세 갈래 접속 장치,гурван фазын муфт,avgreiningsskøyt,mufa przejściowa (trójżyłowa) f,junção tri-monofásica,тройниковая соединительная муфта,tripolna razcepna spojka,"трополна спојница, ж јд",skarv enledar- treledarkabel,三芯转换接头
461-11-03,stop joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-03,وصلة إيقاف,"Sperrmuffe, f",stop joint,empalme estanco,sulkujatkos,"jonction à joint d'arrêt, f",giunzione di arresto,ストップジョイント油止接続部,밀폐 접속,шингэн тусгаарлагчтай муфт,stoppskøyt,"mufa zaporowa, f",junção de barreira,стопорная муфта,zaporna spojka,"непропусна спојница, ж јд",stoppskarv,塞止接头
461-11-04,transition joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-04,وصلة أنتقالية,"Übergangsmuffe, f",transition joint,empalme mixto,siirtymisjatkossekajatkos,"jonction mixte, f",giunzione di transizione,異種ケーブル接続用ジョイント,이종 케이블 접속 부분,шилжүүлэгч муфт,overgangsskøyt,"mufa przejściowa, f",junção de transição,переходная муфта,prehodna spojka,"прелазна спојница, ж јд",övergångsskarv,过渡接头
461-11-05,sectionalising joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-05,وصلة تقسيم,"Isoliermuffe, f",sectionalising joint,empalme de seccionamiento,jaksotusjatkos,"jonction de sectionnement, f",giunzione di sezionamento,絶縁接続部,구역별 접속 장치,хэсэгчилсэн муфт,seksjoneringsskøyt,"mufa z separacją ekranu, f",junção de seccionamento,изолирующая муфта,ločilna spojka,"спојница за секционисање, ж јд",sektioneringsskarv,绝缘接头
461-11-06,tee joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-06,وصلة على شكلT,"T-Abzweigmuffe, fT-Muffe, f",tee jointT joint,derivación en T,T-jatkos,"dérivation en té, fdérivation en T, f",giunzione a T,Ｔ分岐接続部,티 이음,T хэлбэрийн муфт,T-skøyt,"mufa rozgałęźna prostokątna, f",derivação em têderivação em T,Т-образная ответвительная муфта,T-spojka,"одвојна Т-спојница, ж јдТ-спојница, ж јд",T-avgrening,T形接头
461-11-07,breeches-joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-07,وصلة على شكل Yوصلة مماسة,"Y-Abzweigmuffe, fY-Muffe, fGabelmuffe, f",breeches-jointY joint,derivación en Y,Y-jatkos,"dérivation tangente, fdérivation en Y, f",giunzione a Y,Ｙ分岐接続部,브리치 접속,Y хэлбэрийн муфт,Y-skøyt,"mufa rozgałęźna równoległa, f",derivação tangentederivação em Y,Y-образная ответвительная муфта,Y-spojka,"одвојна Y-спојница, ж јдY-спојница, ж јд",Y-avgrening,Y形接头
461-11-08,insulation piercing connector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-08,رابط أختراق العزل,"isolationsdurchdringender Verbinder, m",insulation piercing connector,conector de perforación de aislamiento,eristyksen Iäpäisevä liitin,"connecteur à perforation d'isolant, m",connettore a perforazione d’isolante,絶縁被覆貫通コネクタ,절연 관통 연결기,оруулгын холбогч,piggklemme,"złączka przebijająca, f",conector de perfuração de isolante,"соединитель, прокалывающий изоляцию",prebodna spojkaprebodni konektor,"конектор за спајање пробијањем изолације, м јд",förbindningselement,穿剌绝缘连接器
461-11-09,double branch-joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-09,وصلة فرعية مزدوجةوصلة تفريع مزدوجة,"Doppel-Abzweigmuffe, f",double branch-jointdouble tap off,doble derivación,kaksihaarajatkos,"double dérivation, f",derivazione doppia,二又分岐接続,이중 분기 접속,хос салбарлагч муфт,K-skøyt,"złączka odgałęźna podwójna, f",dupla derivação,двойная ответвительная муфта,dvoodcepna spojka,"двострука одвојна спојница, ж јддвоструки одвојак, м јд",K-skarv,双分支接头
461-11-10,joint casing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-10,صندوق وصلة,"Muffengehäuse, n",joint casingjoint box,caja de empalme o de derivación,jatkoskotelo,"corps de boîte, m",muffola,接続箱保護ケース,접속 밀폐접속 케이싱,муфтны гэрмуфтны хайрцаг,skøytekropp,"osłona mufy, f",caixa de junção,кожух (соединительной муфты),ohišje spojke,"кућиште спојнице, с јдкутија спојнице, ж јд",skarvhölje,接头盒
461-11-11,cast resin joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-11,وصلة راتنجية مصبوبة,"Gießharzmuffe, f",cast resin jointpotted joint,empalme de resina coladaderivación de resina colada,valumuovijatkos,"jonction (en résine) coulée, fdérivation (en résine) coulée, f",giunzione o derivazione in resina colata,レジン鋳造式接続部,주형 수지 접속,цутгамал резинэн муфтхалаах муфт,skøyt med støypt harpiks,"mufa żywiczna, f",junção (em resina) moldadaderivação (em resina) moldada,литая соединительная муфта,(s smolo) vlita spojka,"спојница са уливеном смолом, ж јд",gjuthartsskarv,树脂浇铸式接头
461-11-12,injection joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-12,وصلة حقن,"gespritzte Gießharzmuffe, f",injection joint,empalme por inyecciónderivación por inyección,injektiojatkos,"jonction injectée, fdérivation injectée, f",giunzione o derivazione a resina iniettata,レジン注入式接続部,주입 접속,шахмал муфт,skøyt med innsprøyta harpiks,"mufa zalewana żywicą, f",junção injectadaderivação injectada,прессованная соединительная муфта,vbrizgana spojka,"спојница са убризганом смолом, ж јд",insprutningsskarv,注射式接头
461-11-13,premoulded joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-13,وصلة سابقة التجهيز,"vorgeformte Muffe, f",premoulded joint,empalme prefabricadoderivación prefabricada,esivalmistettu jatkos,"jonction préfabriquée, fdérivation préfabriquée, f",giunzione o derivazione prefabbricata,プレモールド式接続部,조립식 접속,цутгамал муфт,prefabrikert skøyt,"mufa prefabrykowana, f",junção pré-fabricadaderivação pré-fabricada,предварительно отлитая соединительная муфта,predizdelana spojka,"префабрикована спојница, ж јд",prefabricerad skarv,预模制接头
461-11-14,elastic joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-14,وصلة مرنة قابلة للتمدد ذاتيا,"aufschiebbare Muffe, f",elastic joint,empalme elástico,kylmäkutistejatkoselastinen jatkos,"jonction élastique, f",giunzione elastica,ゴムなど弾性体を使用した接続部,탄성 접속,уян муфт,elastisk skøyt,"mufa elastyczna, f",junção elástica,эластичная соединительная муфта,elastična spojka,"еластична спојница, ж јд",elastisk skarv,弹性体接头
461-11-15,taped joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-15,وصلة ذات شريط ملفوف,"Wickelmuffe, f",taped joint,empalme por encintadoderivación por encintado,teippijatkos,"jonction rubanée, fdérivation rubanée, f",giunzione o derivazione nastrata,テープ巻き式接続部,테이프 접속,туузан муфт,vikla (teipa) skøyt,"mufa taśmowa, f",junção enfitadaderivação enfitada,"соединительная муфта, выполненная подмоткой",povita spojka,"намотана спојница, ж јд",tejpad skarv,绕包式接头
461-11-16,paper-roll type joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-16,وصلة من النوع الورقي الملفوف,"Wickelmuffe aus Papier, f",paper-roll type joint,empalme mediante rollo de papel,paperieristeinen jatkos,"jonction par fuseau de papier, f",giunzione a cannotto di carta,油浸絶縁紙巻式接続部,롤용지형 접속,цаасан муфт,papirisolert skøyt,"mufa taśmowa papierowa, f",junção tipo fuso de papel,соединительная муфта с бумажной изоляцией,s papirjem povita spojka,"папиром намотана спојница, ж јд",pappersisolerad skarv,纸卷绕包接头
461-11-17,branch-joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-17,وصلة فرعية,"Abzweigmuffe, f",branch-joint,derivación,haaroitusjatkos,"dérivation, f",giunzione di diramazione,分岐接続部,분기 접속,салбарлагч муфт,avgreiningsskøyt,"mufa odgałęźna, f",derivação,ответвительная муфта,,"одвојна спојница, ж јд",avgrening,分支接头
461-11-18,radial field joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-18,وصلة ذات مجال شعاعي,"Muffe mit radialem Feld, f",radial field joint,empalme de campo radialderivación de campo radial,yksittäin hohtosuojattu jatkos,"jonction à champ radial, fdérivation à champ radial, f",giunzione a campo radiale,各心遮へい形中間接続部,방사상계 접속,цахилгаан орны хамгаалалттай муфт,,"mufa o polu promieniowym, f",junção ou derivação de campo radial,соединительная муфта с радиальным полем соединительная муфта с индивидуальным экранированием жил,,"спојница која обезбеђује радијално поље, ж јд",partskärmad skarv,径向电场接头
461-11-19,non-radial field joint,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-11-19,وصلة ذات مجال غير شعاعي,"Muffe mit nichtradialem Feld, f",non-radial field joint,empalme de campo no radialderivación de campo no radial,yksittäin hohtosuojaamaton jatkos,"jonction à champ non radial, fdérivation à champ non radial, f",giunzione a campo non radiale,一括遮へい形中間接続部,비 방사상계 접속,цахилгаан орны хамгаалалтгүй муфт,,"mufa o polu nierównomiernym, f",junção ou derivação de campo não radial,соединительная муфта с нерадиальным полем соединительная муфта без индивидуального экранирования жил,,"спојница која не обезбеђује радијално поље, ж јд",ej partskärmad skarv,非径向电场接头
461-12-01,shielding conductor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-12-01,موصل مدرع,"Kompensationsleiter, m",shielding conductor,conductor pantalla,reduktiojohdin,"conducteur écran, mDÉCONSEILLÉ: conducteur de protection (déconseillé dans ce sens) m",conduttore con funzione schermante,遮へい導体,차폐 도체,бүрээсэн дамжуулагч,skjermingsleiar,"żyła powrotna wydzielona, f",condutor de compensação,экранирующий провод,zaslanjalni vodnik,"заштитни проводник, м јд",skärmledare,屏蔽导体回流线
461-12-02,pressure tank,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-12-02,خزان ضغط,"Drucktank, m",pressure tankpressure reservoir,depósito de presión,painesäiliö,"réservoir de pression, mpoumon, m",serbatoio a pressione,圧力油槽ＰＴ,압력 탱크압력 저장고,даралтат сав,trykktank,"zbiornik ciśnieniowy, m",depósito de pressão,бак давлениярезервуар давления,tlačna posoda,"резервоар под притиском, м јд",expansionskärl,压力箱
461-12-03,compensator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-12-03,معوض,"Ausgleichsgefäß, n",compensator,compensador,paisuntasäiliö,"compensateur, m",compensatore,終端用油圧調整装置,보상기,компенсатор,ekspansjonstank,"zbiornik wyrównawczy, m",compensador,компенсатор,izravnalna posodakompenzator,"компензатор, м јд",expander,补偿器
461-13-01,trefoil formation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-13-01,تشكيل مثلثى,"Dreiecksanordnung, fgebündelte Anordnung, f",trefoil formation,(disposición en) tresbolillo,kolmioasennus,"disposition en trèfle, ftrèfle, m",trifoglio (disposizione a),俵積み,삼판 형태,гурвалжилсан байрлал,trekantforlegning,"układ trójkątny “koniczynka”, m",disposição em triângulo,расположение треугольником,trikotna razporeditevdeteljica (razporeditev v deteljico),"распоред у троугао, м јд",triangelförläggning,三角形排列
461-13-02,flat formation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-13-02,تشكيل مسطح,"ebene Anordnung, f",flat formation,(disposición en) capa,tasoasennus,"disposition en nappe, fnappe, f",disposizione in piano,平積み,평판 형태,хавтгай байрлал,flat forlegning,"układ płaski, m",disposição em esteira,расположение в одной плоскости,ravninska razporeditev (razporeditev v ravnino),"распоред у равни, м јд",plan förläggning,平面排列
461-13-03,transposition (of insulated cables),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-13-03,تبديل المواضع للكابلات المعزولة,"Auskreuzen (von Kabeln und isolierten Leitungen), n",transposition (of insulated cables),transposición (de cables aislados),vuorottelukaapelien vuorottelu,"transposition (de câbles isolés), f",trasposizione (di cavi isolati),撚架,"자리 바꿈, <절연 케이블>","шилжүүлэн байршуулалт, <тусгаарлагатай кабелийн>",revolvering,"transpozycja, fprzeplatanie, n",transposição (de cabos isolados),транспозиция (изолированных кабелей),prepletanje (izoliranih kablov)transpozicija (izoliranih kablov),"преплитање, <изолованих каблова> с јд",korskoppling,电缆换位换位
461-14-01,solidly bonded single-core cable system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-01,نظام لكابل أحادى القلب ذو رباط محكم,"festverbundenes einadriges Kabelsystem, n",solidly bonded single-core cable system,circuito de cables unipolares con pantalla en cortocircuito,sähköisten suojien suljettu kytkentä yksijohdinkaapelijärjestelmässä,"circuit de câbles unipolaires à écrans directement reliés à la terre , m",sistemi di cavi unipari con schermi in corto circuito,ソリッドボンド方式,완전 본딩 단심 케이블 시스템,"хатуу холболттой, нэг судалтай кабелийн систем",skjerm jorda i begge endar,"system kabli jednożyłowych z ekranami uziemionymi obustronnie, m",sistemas de cabos unipolares com blindagens em curtocircuito,одножильные кабельные системы с глухим соединением,enožilni kabli s čvrsto povezanimi zasloni (oklep - zaščitni zaslon),"систем изједначења потенцијала једножилних каблова, м јд",slutna skärmar,紧固互联的单芯电缆系统
461-14-02,special bonding of shields,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=461-14-02,ربط خاص للساتر,"Spezial-Schirmverbindung, f",special bonding of shields,conexiones especiales de pantallas,sähköisten suojien erikoiskytkentä,"connexions spéciales d'écrans, f pl",connessione speciale degli schermi,シールド特殊ボンド方式片端接地クロスボンド接地,차폐 특수 본딩,кабелийн бүрээсний тусгай холболт,koplingsmetodar for kappe/skjerm,"łączenie i uziemienie specjalne ekranów kabli, n",conexões especiais de blindagens,специальное соединение экранов,posebna povezovanja zaslonov,"специјално изједначење потенцијала плаштева, с јд",speciell skärmkoppling,金属屏蔽层的特殊互联
