term_id,term,term_url,ar,cs,de,en,es,fr,ja,ko,mn,nl,no,pl,pt,sv,zh
195-05-24,extra-low voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-24,جهد منخفض جدا,malé napětíELV,"Kleinspannung, fELV",extra-low voltageELV,"muy baja tensión, fMBT, f","très basse tension, fTBT, f",超低電圧,초저압,болзошгүй хүрэх хүчдэлээс бага хүчдэл,"zeer lage spanning, fZLS, f","ekstra lav spenning, (ELV)","bardzo niskie napięcie, nELV",muito baixa tensãoMBTtensão reduzidaTR,klenspänning,特低电压特低压ELV
195-05-25,low voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-25,جهد منخفض,nízké napětíLV,"Niederspannung, fLV",low voltageLV,"baja tensión, f","basse tension, fBT, f",低電圧,저압,нам хүчдэл,"laagspanning, fLS, f","lavspenning, (LV)","niskie napięcie, nnN",baixa tensãoBT,lågspänning,低电压低压LV
195-05-26,high voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-05-26,جهد عالى,vysoké napětíHV,"Hochspannung, fHV",high voltageHV,"alta tensión, f","haute tension, fHT, f",高電圧,고압,өндөр хүчдэл,"hoogspanning, fHS, f","høyspenning, (HV)","wysokie napięcie, nWN",alta tensãoAT,högspänning,高电压高压HV
195-06-01,basic protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-01,وقاية أساسيةحماية أساسية,základní ochrana,"Basisschutz, m",basic protection,"protección principal, f","protection principale, f",基本保護,기본 보호,үндсэн хамгаалах хэрэгсэл,"basisbescherming, ffunctionele bescherming, f",grunnleggende beskyttelse,"ochrona podstawowa, f",proteção principal,basskydd,基本防护
195-06-02,fault protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-02,وقاية خطأحماية خطأ,ochrana při poruše,"Fehlerschutz, m",fault protection,"protección en caso de fallo, fprotección en caso de defecto, f","protection en cas de défaut, f",故障保護,고장 보호,туслах хамгаалах хэрэгсэл,"bescherming in geval van een fout, ffoutbescherming, f",beskyttelse ved feil,"ochrona przy zakłóceniu, f",proteção em caso de falhaproteção em caso de defeito,felskydd,故障防护
195-06-03,direct contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-03,تلامس مباشرإتصال مباشر,přímý dotyk,"direktes Berühren, n",direct contact,"contacto directo, m","contact direct, m",直接接触,직접 접촉,шууд контакт,"rechtstreekse aanraking, frechtstreeks contact, ndirecte aanraking, f",direkte berøring,"dotyk bezpośredni, m",contacto direto,direkt beröring,直接接触
195-06-04,indirect contact,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-04,تلامس غير مباشرإتصال غير مباشر,nepřímý dotyk,"indirektes Berühren, n",indirect contact,"contacto indirecto, m","contact indirect, m",間接接触,간접 접촉,шууд бус контакт,"onrechtstreekse aanraking, fonrechtstreeks contact, nindirecte aanraking, f",indirekte berøring,"dotyk pośredni, m",contacto indireto,indirekt beröring,间接接触
195-06-05,hazardous-live-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-05,جزء مكهرب خطرجزء حى خطر,nebezpečná živá část,"gefährliches aktives Teil, n",hazardous-live-part,"parte activa peligrosa, f","partie active dangereuse, fpartie sous tension dangereuse, f",危険充電部,위험 활선부,хүчдэлтэй гүйдэл дамжуулах хэсэг,"gevaarlijk actief deel, n",farlig spenningsførende del,"część czynna niebezpieczna, f",parte ativa perigosa,farlig spänningssatt del,危险带电部分
195-06-06,basic insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-06,عزل أساسى,základní izolace,"Basisisolierung, f",basic insulation,"aislamiento principal, m","isolation principale, f",基礎絶縁,기본 절연,үндсэн тусгаарлага,"basisisolatie, f",grunnleggende isolasjon,"izolacja podstawowa, f",isolação principal,grundläggande isolering,基本绝缘
195-06-07,supplementary insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-07,عزل إضافى,přídavná izolace,"zusätzliche Isolierung, f",supplementary insulation,"aislamiento suplementario, m","isolation supplémentaire, f",補助絶縁,부가 절연,нэмэлт тусгаарлага,"bijkomende isolatie, f",tilleggsisolasjon,"izolacja dodatkowa, f",isolação suplementar,tilläggsisolering,附加绝缘
195-06-08,double insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-08,عزل مزدوج,dvojitá izolace,"doppelte Isolierung, f",double insulation,"doble aislamiento, m","double isolation, f",二重絶縁,이중 절연,давхар тусгаарлага,"dubbele isolatie, f",dobbel isolasjon,"izolacja podwójna, f",dupla isolação,dubbel isolering,双重绝缘
195-06-09,reinforced insulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-09,عزل مقوى,zesílená izolace,"verstärkte Isolierung, f",reinforced insulation,"aislamiento reforzado, m","isolation renforcée, f",強化絶縁,강화 절연,хүчитгэсэн тусгаарлага,"versterkte isolatie, f",forsterket isolasjon,"izolacja wzmocniona, f",isolação reforçada,förstärkt isolering,加强绝缘
195-06-10,exposed-conductive-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-10,جزء موصل مكشوف,neživá část,"Körper, m",exposed-conductive-part,"elemento conductor expuesto, mmasa, <en una instalación eléctrica> f","partie conductrice accessible, fmasse, <dans une installation> f",露出導電性部分,노출 도전부,ил дамжуулах хэсэг,"genaakbaar geleidend deel, n",utsatt ledende del,"część przewodząca dostępna, f","parte condutora acessívelmassa, <numa instalação>",utsatt del,外露可导电部分
195-06-11,extraneous-conductive-part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-11,جزء موصل خارجى,cizí vodivá část,"fremdes leitfähiges Teil, n",extraneous-conductive-part,"elemento conductor ajeno, m","élément conducteur étranger, m",系統外導電性部分,외부 도전부,хамааралгүй дамжуулах хэсэг,"vreemd geleidend deel, n",annen ledende del,"część przewodząca obca, f",elemento condutor estranho a instalações elétricaselemento condutor estranho,främmande ledande del,外界可导电部分装置外可导电部分
195-06-12,arm's reach,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-12,إمتداد الذراع,dosah ruky,"Handbereich, m",arm's reach,"zona al alcance de la mano, f","volume d’accessibilité au toucher, m",アームズリーチ,팔 닿는 거리,гараар хүрэх боломжтой бүс,"genaakbaarheidsgabarit, ngenaakbaarheidsvolume, n",rekkevidde,"zasięg ręki, m",volume de acessibilidade ao contactovolume de acessibilidade,armräckvidd,伸臂范围
195-06-13,electrical enclosure,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-13,حاوية كهربية,elektrický kryt,"elektrische Umhüllung, f",electrical enclosure,"envolvente eléctrica, f","enveloppe électrique, f",絶縁エンクロージャ,전기 밀폐함전기 외함,цахилгааны хаалт,"elektrisch omhulsel, nelektrische behuizing, f",elektrisk kapsling,"obudowa elektryczna, f",invólucro elétrico,elektrisk kapsling,电气外壳
195-06-14,"protective enclosure, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-14,"حاوية وقائية, <كهربيا>","ochranný kryt, <elektricky>","elektrische Schutzumhüllung, fSchutzumhüllung, <elektrisch> f","protective enclosure, <electrically>","envolvente de protección, <protección eléctrica> f","enveloppe de protection, <électrique> f","保護エンクロージャ, <電気的>","전기 보호 밀폐함, <전기>전기 보호 외함",цахилгааны хамгаалалтын хайрцаг,"beschermingsomhulsel, n","beskyttelseskapsling, <elektrisk>","obudowa ochronna, <elektryczna> f","invólucro de proteção, <elétrica>","skyddskapsling, <elektrisk>","保护外壳, <电气>"
195-06-15,"protective barrier, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-15,"حاجز وقائى, <كهربيا>","ochranná bariéra, <elektricky>","elektrische Schutzabdeckung, fSchutzabdeckung, <elektrisch> f","protective barrier, <electrically>","barrera de protección, <protección eléctrica> f","barrière de protection, <électrique> f","保護バリア, <電気的>","전기 보호벽, <전기>",цахилгааны хамгаалалтын хашилт,"beschermingsafdekking, f","beskyttelsesbarriere (avskjerming), <elektrisk>","przegroda ochronna, <elektryczna> f","barreira de proteção, <elétrica>","skyddsbarriär, <elektrisk>","保护遮栏, <电气>"
195-06-16,"protective obstacle, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-16,"عائق وقائى, <كهربيا>","ochranná zábrana, <elektricky>","elektrisches Schutzhindernis, nSchutzhindernis, <elektrisch> n","protective obstacle, <electrically>","obstáculo de protección, <protección eléctrica> m","obstacle de protection, <électrique> m","保護オブスタクル, <電気的>","전기 보호 장애물, <전기>",цахилгааны хамгаалалтад зориулсан саад,"beschermingshindernis, f","beskyttelseshinder (hinder), <elektrisk>","przeszkoda ochronna, <elektryczna> f","obstáculo de proteção, <elétrica>","skyddshinder, <elektrisk>","保护阻挡物, <电气>"
195-06-17,"protective screen, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-17,"شبكة حماية, <كهربيا>","ochranné stínění, <elektricky>","elektrischer Schutzschirm, mSchutzschirm, <elektrisch> m","protective screen, <electrically>protective shield, <electrically> US","pantalla de protección, <protección eléctrica> f","écran de protection, <électrique> m","保護遮へい体, <電気的>","전기 보호 차폐기, <전기>",цахилгааны хамгаалалтын экран,"beschermingsscherm, n","beskyttelsesskjerm, <elektrisk>","ekran ochronny, <elektryczny> m","ecrã de proteção, <elétrica>","skyddsskärm, <elektriskt ledande>","保护屏蔽体, <电气>"
195-06-18,"protective screening, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-18,"حجز وقائي, <كهربيا>","ochrana prostřednictvím ochranného stínění, <elektricky>","elektrische Schutzschirmung, fSchutzschirmung, <elektrisch> f","protective screening, <electrically>protective shielding, <electrically> US","protección por pantalla condutora, <protección eléctrica> f","protection par écran, <électrique> f","保護遮へい, <電気的>","전기 보호 차폐, <전기>",цахилгааны хамгаалалтын экран хийх,"beschermingsafscherming, f","beskyttelsesskjerming, <elektrisk>","ekranowanie ochronne, <elektryczne> n","proteção por ecrã, <elétrica>","skyddsskärmning, <elektriskt ledande>","保护屏蔽, <电气>"
195-06-19,"protective separation, <electrically>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-19,"فصل وقائى, <كهربيا>","ochranné oddělení, <elektricky>","elektrisch sichere Trennung, fsichere Trennung, <elektrisch> f","protective separation, <electrically>","separación de protección, <protección eléctrica> f","séparation de protection, <électrique> f","保護分離, <電気的>","전기 보호 분리, <전기>",цахилгааны хамгаалах тусгаарлалт,"beschermingsscheiding, f","adskillelse for beskyttelsesformål, <elektrisk>","separacja ochronna, <elektryczna> f","separação de proteção, <elétrica>","skyddsseparation, <elektrisk>","保护分隔, <电气>"
195-06-20,limited-current source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-20,مصدر تيار محدود,zdroj omezeného proudu,"Stromquelle mit begrenztem Strom, f",limited-current source,fuente de corriente limitada,"source à courant limité, f",制限電流源,제한 전류 전원한류 전원,гүйдлийн хязгаартай үүсгүүр,"bron met stroombeperking, fbron met beperkte stroom, f",strømbegrenset kilde,"źródło o ograniczonym prądzie, n",fonte de corrente limitada,strömbegränsad matning,限流源
195-06-21,non-conducting environment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-21,بيئة غير موصلة,nevodivé prostředí,"nicht leitende Umgebung, f",non-conducting environment,"ambiente no conductor, m","environnement non conducteur, m",非導電性環境,비도전성 환경,цахилгаан дамжуулахгүй орчин,"niet-geleidende omgeving, f",ikke-ledende omgivelser,"środowisko nieprzewodzące, n",ambiente não condutor,isolerad miljö,非导电环境
195-06-22,additional protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-22,حماية إضافيةوقاية إضافية,doplňková ochrana,"zusätzlicher Schutz, m",additional protection,"protección adicional, f","protection complémentaire, f",追加保護,부가 보호,нэмэлт хамгаалалт,"bijkomende bescherming, f",tilleggsbeskyttelse,"ochrona uzupełniająca, f",proteção complementar,tilläggsskydd,附加防护
195-06-23,isolation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-23,عزل,izolování,"Isolation, f",isolation,"seccionamiento, m","isolement, m",断路,격리,тусгаарлалт,"isolering, f",frakobling,"separacja, f",isolamento,frånskiljning,隔离
195-06-24,accessible part,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-24,جزء سهل الوصول إليه,přístupná část,"berührbares Teil, n",accessible part,"parte accesible, f","partie accessible, f",接近可能部分,접촉 가능부접근 가능부,хүрэх боломжтой хэсэг,"genaakbaar deel, n",tilgjengelig del,"część dostępna, f",parte acessível,berörbar del,可触及部分
195-06-25,"protective provision, <protection against electric shock>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-25,تدبير حماية,"ochranné opatření, <ochrana před úrazem elektrickým proudem>","Schutzvorkehrung, <Schutz gegen elektrischen Schlag> f","protective provision, <protection against electric shock>","disposición protectora, f","disposition de protection, <protection contre les chocs électriques> f",保護手段,보호 조항방호 조항,"хамгаалалтын нөхцөл, &Itцахилгаан гүйдэлд нэрвэгдэхээс хамгаалах>","beschermingsinrichting, <bescherming tegen elektrische schokken> f","beskyttelsestiltak, <beskyttelse mot elektrisk sjokk>","zapewnienie ochrony, n","disposição de proteção, <proteção contra os choques elétricos>","skyddsmetod, <skydd mot elchock>","保护规定, <电击防护>"
195-06-26,"protective measure, <protection against electric shock>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-26,تدبير وقائى,"soubor ochranných opatření, <ochrana před úrazem elektrickým proudem>","Schutzmaßnahme, <Schutz gegen elektrischen Schlag> f","protective measure, <protection against electric shock>","medida protectora, f","mesure de protection, <protection contre les chocs électriques> f",保護措置,보호 조치방호 조치보호 수단,"хамгаалалтын арга хэмжээ, &Itцахилгаан гүйдэлд нэрвэгдэхээс хамгаалах>","beschermingsmaatregel, <bescherming tegen elektrische schokken> m","beskyttelsesmetode, <beskyttelse mot elektrisk støt>","środek ochronny, m","medida de proteção, <proteção contra os choques elétricos>","skyddsåtgärd, <skydd mot elchock>","保护措施, <电击防护>"
195-06-27,enhanced protective provision,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-27,تدبير حماية مدعم,rozšířené ochranné opatření,"verstärkte Schutzvorkehrung, f",enhanced protective provision,"disposición protectora reforzada, f","disposition de protection renforcée, f",強化保護手段,개선 보호 조항개선 방호 조항,сайжруулсан хамгаалалтын нөхцөл,"versterkte beschermingsvoorziening, f",forsterket beskyttelsestiltak,"zapewnienie ochrony wzmocnionej, n",disposição de proteção reforçada,"förstärkt skyddsmetod, <skydd mot elchock>",加强保护规定
195-06-28,SELV system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-28,نظام جهد منخفض جدا أمن,síť SELV,"SELV-System, n",SELV system,"sistema MBTS, m","schéma TBTS, m",SELVシステム,SELV 계통안전 초저압 계통,болзошгүй хүрэх хүчдэлээс бага хүчдэлийн аюулгүй ажиллагааны систем,"ZLVS-systeem, n",SELV system,"układ SELV, m",sistema MBTSsistema TRS,SELV-system,安全特低电压系统
195-06-29,PELV system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-29,نظام جهد منخفض جدا محمى,síť PELV,"PELV-System, n",PELV system,"sistema MBTP, m","schéma TBTP, m",PELVシステム,PELV 계통보호 초저압 계통,болзошгүй хүрэх хүчдэлээс бага хүчдэлийн хамгаалалтын систем,"ZLBS-systeem, n",PELV system,"układ PELV, m",sistema MBTPsistema TRP,PELV-system,保护特低电压系统
195-06-30,simple separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-30,فاصل بسيط,jednoduché oddělení,"einfache elektrische Trennung, f",simple separation,"separación simple, f","séparation simple, f",単純分離,단순 분리,энгийн тусгаарлалт,"basisscheiding, f",enkel adskillelse,"separacja podstawowa, f",separação simples,enkel separation,简单分隔
195-06-31,electrical separation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-31,فاصل كهربي,elektrické oddělení,"elektrische Schutztrennung, f",electrical separation,"separación eléctrica, f","séparation électrique, f",電気的分離,전기적 분리,цахилгааны тусгаарлалт,"elektrische beschermingsscheiding, f",elektrisk adskillelse,"separacja elektryczna, f",separação elétrica,galvanisk separation,电分隔
195-06-32,simultaneously accessible parts,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-32,أجزاء يمكن الوصول إليها بالتزامن,části současně přístupné dotyku,"gleichzeitig berührbare leitfähige Teile, n pl",simultaneously accessible parts,"partes accesibles simultáneamente, f","parties simultanément accessibles, f",同時接近可能部分,동시 접촉 가능부동시 접근 가능부,нэг зэрэг хүрэх боломжтой хэсгүүд,"gelijktijdig genaakbare delen, n pl",samtidig tilgjengelige deler,"części jednocześnie dostępne, pl",partes simultaneamente acessíveis,samtidigt berörbara delar,同时可触及部分
195-06-33,protection by limitation of steady-state touch current and electric charge,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-33,الحماية بالحد من تياراللمس والشحنة الكهربية فى حالة الاستقرار,ochrana omezením dotykového proudu v ustáleném stavu a elektrického náboje,"Schutz durch Begrenzung des Beharrungsstromes und der elektrischen Ladung, m",protection by limitation of steady-state touch current and electric charge,"protección por limitación de la corriente de contacto permanente de la carga eléctrica, f","protection par limitation du courant permanent et de la charge électrique, f",定常接触電流及び電荷の制限による保護,정상상태 접촉 전류와 전하의 제한에 의한 보호,тогтсон төлөвийн хүрэх гүйдэл болон цахилгаан цэнэгийг хязгаарлах аргаар хамгаалах,"bescherming door begrenzing van de regimeaanraakstroom en van de elektrische lading, f",beskyttelse ved begrensning av stabil berøringsstrøm og elektrisk ladning,"ochrona przez ograniczenie ustalonego prądu dotykowego i ładunku elektrycznego, f",proteção por limitação da corrente permanente e da carga elétrica,skydd genom begränsning av stadigvarande beröringsström och elektrisk laddning,稳态接触电流和电荷的保护极限
195-06-34,protective impedance device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-34,جهاز معاوقة وقائى,ochranná impedance,"Schutzimpedanzeinrichtung, f",protective impedance device,"impedancia de protección, f","impédance de protection, f",保護インピーダンス装置,보호 임피던스 장치,хамгаалах бүрэн эсэргүүцлийн төхөөрөмж,"beschermingsimpedantie, f",beskyttende impedansenhet,"urządzenie ochronne impedancyjne, n",impedância de proteção,skyddsimpedans,保护阻抗器
195-06-35,class I equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-35,معدة محمية من الفئة I,zařízení třídy ochrany I,"Betriebsmittel der Schutzklasse I, n",class I equipment,"material de clase I, m","matériel de classe I, m",クラスI機器,등급 1 장비,I ангиллын тоног төхөөрөмж,"materieel van de klasse I, n",utstyr klasse I,"urządzenie I klasy ochronności, n",equipamento de classe I,elmateriel av klass I,一级设备
195-06-36,class II equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-36,معدة محمية من الفئة II,zařízení třídy ochrany II,"Betriebsmittel der Schutzklasse II, n",class II equipment,"material de clase II, m","matériel de classe II, m",クラスII機器,등급 2 장비,II ангиллын тоног төхөөрөмж,"materieel van de klasse II, n",utstyr klasse II,"urządzenie II klasy ochronności, n",equipamento de classe II,elmateriel av klass II,二级设备
195-06-37,class III equipment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=195-06-37,معدة محمية من الفئة III,zařízení třídy ochrany III,"Betriebsmittel der Schutzklasse III, n",class III equipment,"material de clase III, m","matériel de classe III, m",クラスIII機器,등급 3 장비,III ангиллын тоног төхөөрөмж,"materieel van de klasse III, n",utstyr klasse III,"urządzenie III klasy ochronności, n",equipamento de classe III,elmateriel av klass III,三级设备
