term_id,term,term_url,ar,de,en,fi,fr,it,ja,ko,pl,pt,ru,sr,sv,zh
442-04-07,push-button switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-07,مفتاح بـزر دفع,"Druckschalter, m",push-button switch,painikekytkin,"interrupteur à bouton poussoir, m",interruttore a pulsante,押しボタンスイッチ,누름 단추 스위치,łącznik przyciskowyprzycisk,(interruptor de) botão de premir(interruptor de) botão de pressão,кнопочный выключатель,"тастер-склопка, ж јд",tryckknapp,按钮开关
442-04-08,cord operated switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-08,مفتاح بحبل تشغيل,"Zugschalter, m",cord operated switch,vetokytkin,"interrupteur à tirage, m",interruttore a tirante,引き紐スイッチ,코드 작동 스위치,łącznik cięgnowy,interruptor de cordão,шнурковый выключатель,"потезна склопка, ж јд",dragströmställare,拉线开关
442-04-09,push-pull switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-09,مفتاح دفع / جذب,"Druck-Zug-Schalter, m",push-pull switch,paino-vetokytkin,"interrupteur poussez-tirez, m",interruttore a pressione/trazione,プッシュプルスイッチ,푸시풀 스위치,łącznik przyciskowy wyciągany,interruptor de premir/puxar,выключатель нажимной-вытяжной,"повлачно-притисна склопка, ж јд",skjutdragströmställare,推拉开关
442-04-10,biased switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-10,مفتاح انحيازي,"Schalter mit Voreinstellung, m",biased switch,esimagnetoitu kytkin,"interrupteur prépositionné, m",interruttore preposizionato,バイアススイッチ,편이 스위치편향 스위치,łącznik powrotny,interruptor de retorno automático,выключатель с самовозвратом,"премошћена склопка, ж јд",återgående elkopplare,自动复位开关
442-04-11,cord switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-11,مفتاح وصلة,"Schnurschalter, m",cord switch,välikytkin,"interrupteur pour câble souple, m",interruttore per cavi flessibili,中間スイッチ,코드 스위치,łącznik do przewodów giętkich,interruptor para cabo flexível,выключатель с удлинителем,"кабловска склопка, ж јд",sladdströmställare,软线开关
442-04-12,direct actuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-12,تحريك مباشر,"direkte Betätigung, f",direct actuation,suora toiminta,"manoeuvre directe, f",manovra diretta,直接操作,직접 조작,uruchamianie bezpośrednienapęd bezpośredni,manobra directa,прямое воздействие,"директно активирање, с јд",direktmanövrering,直接操动
442-04-13,indirect actuation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-13,تحريك غير مباشر,"indirekte Betätigung, f",indirect actuation,epäsuora toiminta,"manoeuvre indirecte, f",manovra indiretta,間接操作,간접 조작,uruchamianie pośrednienapęd pośredni,manobra indirecta,косвенное воздействие,"индиректно активирање, с јд",indirekt manövrering,间接操动
442-04-14,actuating member,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-14,عضو تحريك,"Betätigungsorgan, nBetätigungsglied, n",actuating member,käyttöelin,"organe de manoeuvre, m",organo di manovra,操作部品,조작 부품,człon napędowy,órgão de manobra,орган управления,"елемент за активирање, м јд",manöverdon,操动件
442-04-15,actuating means,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-15,وسائل حـث على الحركة,"Betätigungsmittel, n",actuating means,toimielin,"liaison de manoeuvre, f",organi di manovra,操作部,조작 수단,elementy napędowe,ligação de manobra,средство воздействия,"средство за активирање, с јд",manövermekanism,传动机构
442-04-16,full-disconnection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-16,فصل تـام,"volle Abschaltung, f",full-disconnection,täysi katkaisu,"coupure totale, f",sconnessione completa,完全開路,완전 단로완전 분리,odłączenie całkowite,corte total,полное размыкание,"потпуно раздвајање, с јд",full frånkoppling,完全断开
442-04-17,micro-disconnection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-17,فصـل ميكروني,"Mikroabschaltung, f",micro-disconnection,mikrokatkaisu,"micro-coupure de circuit, f",micro-sconnessione,マイクロ開路,극소 단로,mikroodłączenie,micro-corte de circuito,минимальное размыкание,"микрораздвајање, с јд",mikrofrånkoppling,微断开
442-04-18,electromechanically operated contact mechanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-18,الية تلامس تشغيل كهروميكانيكى,"elektromechanisch betätigter Kontaktmechanismus, m",electromechanically operated contact mechanism,sähkömekaanisesti toimiva kosketinmekanismi,"mécanisme de contact commandé électromécaniquement, m","meccanismo di contatto comandato 
elettromeccanicamente",電気機械的駆動接点機構,전기 기계적 작동 접점 기구,mechanizm stykowy elektromechaniczny,mecanismo de contacto actuado electromecanicamente,электромеханический контактный механизм,"електромеханички контактни механизам, м јд",elektromekanisk kontaktmekanism,机电操作的触头机构
442-04-19,semiconductor switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-19,أداة فصل وتوصيل ذات أشباه موصلات,"Halbleiter-Schaltgerät, n",semiconductor switching device,puolijohdekytkinlaite,"dispositif de coupure à semiconducteur, m",dispositivo di interruzione a semiconduttori,半導体スイッチング器具,반도체 개폐 장치,łącznik półprzewodnikowy,dispositivo semicondutor de corte,полупроводниковое коммутационное устройство,"полупроводнички расклопни апарат, м јд",halvledarelkopplare,半导体开关器件
442-04-20,electronic momentary contact switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-20,مفتاح تلامس لحظى إلكتروني,"elektronischer Taster, m",electronic momentary contact switch,elektroninen lyhytaikaisen kosketuksen kytkin,"interrupteur électronique à contact momentané, m",interruttore elettronico a contatto momentaneo,電子瞬間接触スイッチ,전자 순간 접촉 스위치,łącznik elektroniczny o zestyku chwilowym,interruptor electrónico de contacto momentâneo,электронный выключатель с мгновенным контактом,"електронска склопка са повратним контактом, ж јд",elektronisk impulselkopplare,电子瞬动式开关
442-04-21,mechanical control unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-21,وحدة تحكم ميكانيكية,"mechanische Steuerungseinheit, f",mechanical control unit,mekaaninen ohjausyksikkö,"élément de réglage mécanique, m",elemento di controllo meccanico,機械制御ユニット,기계 제어 장치,zespół sterowniczy mechaniczny,elemento mecânico de regulação,механический блок управления,"механичка управљачка јединица, ж јд",mekaniskt reglerdon,机械控制装置
442-04-22,electronic control unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-22,وحدة تحكم إلكترونية,"elektronische Steuerungseinheit, f",electronic control unit,elektroninen ohjausyksikkö,"élément de réglage électronique, m",elemento di controllo elettronico,電子制御ユニット,전자 제어 장치,zespół sterowniczy elektroniczny,elemento electrónico de regulação,электронный блок управления,"електронска управљачка јединица, ж јд",elektroniskt reglerdon,电子控制装置
442-04-23,electronic extension unit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-23,وحدة إلكترونية للتحكم عن بعد,"elektronische Fernsteuerungseinheit, f",electronic extension unit,elektroninen kauko-ohjausyksikkö,"élément électronique périphérique, m",elemento elettronico periferico,電子延長ユニット,전자 연장 장치,zespół elektroniczny do zdalnego sterowania,unidade electrónica periférica,электронный блок дистанционного управления,"електронски проширена јединица, ж јд",elektroniskt fjärrstyrdon,电子延伸装置
442-04-24,protective impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-24,ممانعة  (معاوقة) وقائية,"Schutzimpedanz, f",protective impedance,suojaimpedanssi,"impédance de protection, f",impendenza di protezione,保護インピーダンス,보호 임피던스,impedancja ochronna,impedância de protecção,сопротивление безопасности,"заштитна импеданса, ж јд",skyddsimpedans,保护阻抗
442-04-25,remote control switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-25,مفتاح تحكم عن بعد,"Fernschalter, mfernbedienter Schalter, m",remote control switchRCS (abbreviation),kauko-ohjattava kytkin,"télérupteur, m",interruttore con comando a distanza,"リモコンスイッチRCS, （略語）",원격 제어 스위치원방 제어 스위치,łącznik zdalnie sterowanyRCS (akronim),telerruptor,выключатель с дистанционным управлением,"склопка са даљинским управљањем, ж јдRCS",impulsrelä,遥控开关
442-04-26,control circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-26,إدارة تحكّم,"Steuerstromkreis, m",control circuit,ohjauspiiri,"circuit de commande, m",circuito di comando,制御回路,제어 회로,obwód sterowniczy,circuito de comando,цепь управления,"управљачко коло, с јд",manöverkrets,控制电路
442-04-27,incorporated hand-operated device (of a remote control switch),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-27,أداة مدمجة تعمل يدويا (لمفتاح تحكٌم عن بعد),"eingebaute Handbetätigungseinheit, <eines Fernschalters> f",incorporated hand-operated device (of a remote control switch),rakenteeseen kiinteästi liitetty käsiohjainkauko-ohjattavan kytkimen rakenteeseen kiinteästi liitetty käsiohjain,"commande manuelle incorporée (d'un télérupteur), f","comando manuale incorporato
(di un interruttore con comando a distanza)",組込操作装置,"통합 수동 장치, <원격 제어스위치>",napęd ręczny wbudowany łącznika zdalnie sterowanegonapęd ręczny wbudowany,comando manual incorporado (de um telerruptor),встроенное устройство ручного управления,"уграђени уређај за ручно деловање, <у склопки са даљинским управљањем> м јд",inbyggt manövreringsdon,"附装的手动操作器件, <遥控开关的>"
442-04-28,control mechanism,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-28,آليــة تحكٌـم,"Steuerungsmechanismus, m",control mechanism,ohjausmekanismi,"mécanisme de commande, m",meccanismo di controllo,制御機構,제어 기구,mechanizm sterowniczy,mecanismo de comando,механизм управления,"управљачки механизам, м јд",manöversystem,控制机构
442-04-29,switching circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-29,دارة وصل وفصل,"Schaltstromkreis, m",switching circuit,kytkinpiiri,"circuit de l'interrupteur, m",circuito di interruzione,スイッチ回路,스위칭 회로,obwód łączeniowy,circuito do interruptor,главная цепь,"комутационо коло, с јд",huvudkrets,开关电路
442-04-30,latching remote control switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-30,مفتاح تحكم عن بعـد بسقاطه,"Fernschalter mit Verriegelung, m",latching remote control switch,lukituksella varustettu kauko-ohjattava kytkin,"télérupteur à verrouillage, m",interruttore con comando a distanza a ritenuta,掛け形リモコンスイッチ,도통 개시 원격 제어 스위치,łącznik zapadkowy zdalnie sterowany,telerruptor com encravamento,выключатель с дистанционным управлением с блокировкой,"склопка са даљинским управљањем и блокадом, ж јд",impulsrelä med lägesspärr,自锁遥控开关
442-04-31,disconnectable remote control switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-31,مفتاح تحكم عن بعد قابل للفـك,"steckbarer Fernschalter, m",disconnectable remote control switch,irrotettava kauko-ohjattava kytkin,"télérupteur débrochable, m",interruttore con comando a distanza separabile,分離リモコンスイッチ,단로 가능 원격 제어 스위치,łącznik odejmowalny zdalnie sterowany,telerruptor extraível,разъемный выключатель с дистанционным управлением,"растављива склопка са даљинским управљањем, ж јд",,可分离遥控开关
442-04-32,delay time (of a time-delay switch),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-32,زمن تأخير (لمفتاح تأخير زمني),"Verzögerungszeit, <eines Verzögerungsschalters> f",delay time (of a time-delay switch),viive,temporisation (d'un interrupteur temporisé) f,tempo di ritardo,遅延時間,"지연 시간, <시간 지연 스위치>",czas zwłoki (łącznika zwłocznego),temporização (de um interruptor temporizado),выдержка времени (для выключателя с выдержкой времени),"време кашњења, <склопке са временским кашњењем> с јд",fördröjningstid,"延迟时间, <延时开关的>"
442-04-33,time-delay switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-33,مفتاح تأخير زمني,"Verzögerungsschalter, mZeitschalter, m",time-delay switchTDS (abbreviation),viivekytkin,"interrupteur temporisé, m",interruttore a tempo ritardato,"遅延スイッチTDS, （略語）",시간 지연 스위치,łącznik zwłocznyTDS (akronim),interruptor temporizado,выключатель с выдержкой времени,"склопка са временским кашњењем, ж јдTDS",tidrelä,延时开关
442-04-34,delay device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-34,أداة تأخير,"Verzögerungseinrichtung, f",delay device,viivelaite,"dispositif de temporisation, m",dispositivo di ritardo,遅延器具,지연 장치,urządzenie zwłoczneczłon zwłoczny,dispositivo de temporização,устройство выдержки времени,"уређај за кашњење, м јд",fördröjningsanordning,延迟器件
442-04-35,resetting time-delay switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-35,مفتاح إعادة ضبط بتأخير زمني / إعادة ضبط,"rückstellender Verzögerungsschalter, m",resetting time-delay switchresetting TDS,palautettava viivekytkin,"minuterie à recyclage, f",interruttore a tempo ritardato riarmabile,復帰遅延スイッチ,재설정 시간 지연 스위치재설정 티디에스,łącznik zwłoczny ze zwłoką ponownie nastawianąTDS nastawny,interruptor temporizado com rearmeautomático de escada com rearme,выключатель с самовозвратом выдержки времени,"склопка са временским кашњењем са повратком у почетни положај, ж јдTDS са повратком у почетни положај, м јд",återställande tidrelä,复位型延时开关复位型TDS
442-04-36,disconnectable time-delay switch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-36,مفتاح بتاخير زمني قابل للفك,"steckbarer Verzögerungsschalter, m",disconnectable time-delay switchdisconnectable TDS,irrotettava viivekytkin,"minuterie débrochable, f",interruttore a tempo ritardato separabile,非復帰遅延スイッチ,단로 가능 시간 지연 스위치,łącznik zwłoczny odejmowalnyTDS odejmowalny,automático de escada extraívelinterruptor temporizado extraível,разъемный выключатель с выдержкой времени,"растављива склопка са временским кашњењем, ж јдрастављачки TDS, м јд",,可分离的延时开关可分离的TDS
442-04-37,integral switching device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-04-37,أداة وصل وفصل تكاملية,"integriertes Schaltgerät, n",integral switching device,integroitu kytkin,"dispositif de coupure incorporé, m",apparecchio di manovra incorporato,内蔵スイッチ器具,결합 개폐 장치,urządzenie łączeniowe integralne,dispositivo de interrupção incorporado,объединенное коммутационное устройство,"интегрални расклопни апарат, м јд",integrerad elkopplare,拼合开关器件
442-05-01,circuit-breaker,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-01,قاطع دارة,"Leistungsschalter, m",circuit-breaker,katkaisija,"disjoncteur, m",interruttore automatico,回路遮断器,차단기,wyłącznik,disjuntor,автоматический выключатель,"прекидач, м јд",effektbrytare,断路器
442-05-02,residual current device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-02,اداة تعمل بالتيار المتبقي,"Fehlerstrom-Schutzeinrichtung, f",residual current deviceRCD,vikavirtasuojaRCD,"dispositif à courant différentiel résiduel, mDDR, m",dispositivo differenziale,漏電装置,잔류 전류 장치아르시디,urządzenie różnicowoprądoweRCD (akronim),dispositivo (de corte) diferencialdispositivo de corrente residual,устройство дифференциального тока,"уређај диференцијалне струје, м јдRCD",jordfelsbrytareRCDsummaströmskydd,剩余电流装置
442-05-03,residual current operated circuit-breaker without integral overcurrent protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-03,قاطع دارة يعمل بالتيار المتبقي غير مدمج به وقاية ضد زيادة التيار,"Fehlerstrom-Leistungsschalter ohne integrierten Überstromschutz, m",residual current operated circuit-breaker without integral overcurrent protectionRCCB,ylivirtasuojaton vikavirtakatkaisijaRCCB,"interrupteur différentiel sans protection incorporée contre les surintensités, mID, m","interruttore differenziale senza sganciatori di sovracorrente 
incorporati",過電流保護なし漏電遮断器,통합 과전류 보호가 없는 잔류 전류 작동 차단기,wyłącznik różnicowoprądowy bez wbudowanego zabezpieczenia nadprądowegoRCCB (akronim),interruptor diferencial sem protecção incorporada contra sobreintensidades,"автоматический выключатель, управляемый дифференциальным током, без встроенной защиты от сверхтока","прекидач који реагује на диференцијалну струју без уграђене прекострујне заштите, м јдRCCB",RCD utan överströmsskyddRCCB,不带过电流保护的剩余电流动作断路器
442-05-04,residual current operated circuit-breaker with integral overcurrent protection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-04,قاطع دارة يعمل بالتيار المتبقي  مدمج به وقاية ضد زيادة التيار,"Fehlerstrom-Leistungsschalter mit integriertem Überstromschutz, m",residual current operated circuit-breaker with integral overcurrent protectionRCBO,vikavirtakatkaisija integroiduin ylivirtasuojinRCBO,"disjoncteur différentiel résiduel avec protection incorporée contre les surintensités, mDD, m","interruttore differenziale con sganciatori di sovracorrente 
incorporati",過電流保護付漏電遮断器,통합 과전류 보호가 있는 잔류 전류 작동 차단기,wyłącznik różnicowoprądowy z wbudowanym zabezpieczeniem nadprądowymRCBO (akronim),disjuntor diferencial com protecção incorporada contra sobreintensidades,"автоматический выключатель, управляемый дифференциальным током, со встроенной защитой от сверхтока","прекидач који реагује на диференцијалну струју са уграђеном прекострујном заштитом, м јдRCBO",RCBORCD med överströmsskydd,带过电流保护的剩余电流动作断路器
442-05-05,time-delay RCD,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-05,أداة تأخير زمني تعمل بالتيار  المتبقي,"verzögerte Fehlerstrom-Schutzeinrichtung, f",time-delay RCD,aikahidastettu vikavirtasuoja,"dispositif différentiel résiduel temporisé, m",dispositivo differenziale ritardato; interruttore differenziale ritardato,時延形漏電装置,시간 지연 잔류 전류 장치,urządzenie różnicowoprądowe zwłoczne,dispositivo diferencial temporizado,устройство дифференциального тока с выдержкой времени,"уређај диференцијалне струје са временским кашњењем, м јд",fördröjd RCD,延时型剩余电流装置
442-05-08,RCD functionally independent of line voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-08,أداة تعمل بالتيار المتبقي تؤدي وظيفتها مستقلة عن جهد الخط,"funktionell von der Netzspannung unabhängige Fehlerstrom-Schutzeinrichtung, f",RCD functionally independent of line voltage,verkkojännitteestä riippumaton vikavirtasuoja,"dispositif différentiel fonctionnellement indépendant de la tension d'alimentation, m","interruttore differenziale con funzionamento indipendente dalla 
tensione di rete",非制御電圧依存形漏電装置,선전압에 기능적 독립인 잔류 전류 장치,urządzenie różnicowoprądowe o działaniu niezależnym od napięcia sieci,dispositivo diferencial funcionalmente independente da tensão de alimentação,"устройство дифференциального тока, функционально не зависимое от линейного напряжения","уређај диференцијалне струје функционално независан од линијског напона, м јд",nätspänningsoberoende RCD,动作功能与电源电压无关的剩余电流装置
442-05-09,RCD functionally dependent on line voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-09,أداة تعمل بالتيار المتبقي تؤدي وظيفتها بالاعتماد على جهد الخط,"funktionell von der Netzspannung abhängige Fehlerstrom-Schutzeinrichtung, f",RCD functionally dependent on line voltage,verkkojännitteestä riippuva vikavirtasuoja,"dispositif différentiel dépendant fonctionnellement de la tension d'alimentation, m","interruttore differenziale con funzionamento dipendente dalla 
tensione di rete",制御電圧依存形漏電装置,선전압에 기능적 종속인 잔류 전류 장치,urządzenie różnicowoprądowe o działaniu zależnym od napięcia sieci,dispositivo diferencial funcionalmente dependente da tensão de alimentação,"устройство дифференциального тока, функционально зависимое от линейного напряжения","уређај диференцијалне струје функционално зависан од линијског напона, м јд",nätspänningsberoende RCD,动作功能与电源电压有关的剩余电流装置
442-05-10,reset RCD,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-10,أداة إعادة ضبط تعمل بالتيار المتبقي,"Fehlerstrom-Schutzeinrichtung mit Rückstellung, f",reset RCD,palautettava vikavirtasuoja,"dispositif différentiel à réarmement, m",interruttore differenziale riarmabile,復帰形漏電装置,재설정 잔류 전류 장치,urządzenie różnicowoprądowe wymagające ponownego nastawienia,dispositivo diferencial com rearme,устройство дифференциального тока с самовозвратом,"уређај диференцијалне струје са ресетом, м јд",,复位型剩余电流装置
442-05-12,"short-circuit protective device, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-12,أداة وقاية من دارة القصر (لأداة تعمل بالتيار المتبقي),"Kurzschluss-Schutzeinrichtung (für eine Fehlerstrom-Schutzeinrichtung), f","short-circuit protective device, <for a residual current device>SCPD",oikosulkusuojaSCPD,"dispositif de protection contre les courts-circuits, <pour dispositif de coupure différentiel> m",dispositivo di protezione dai cortocircuiti,"短絡保護装置, <漏電装置用の>","단락 보호 장치, <잔류 전류 장치>",zabezpieczenie zwarciowe (urządzenia różnicowoprądowego)SCPD (akronim),dispositivo de protecção contra curtocircuitos (para dispositivo diferencial de corte),устройство защиты от короткого замыкания (для устройства дифференциального тока),"уређај за заштиту од кратког споја, <за уређај диференцијалне струје> м јдSCPD",kortslutningsskydd,"短路保护器, <剩余电流装置的>"
442-05-19,residual current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-19,تيار متبقي,"Fehlerstrom, m",residual current,vikavirta,"courant différentiel résiduel, m",corrente differenziale,漏電電流,잔류 전류,prąd różnicowy,corrente residualcorrente diferencial,дифференциальный ток,диференцијална струја (симбол: ID) ж јд,summaström,剩余电流
442-05-20,residual operating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-20,تيار متبقي كاف للتشغيل,"Ansprech-Fehlerstrom, m",residual operating current,laukaisuvirta,"courant différentiel de fonctionnement, m",corrente differenziale di intervento,感度電流,잔류 작동 전류,prąd różnicowy zadziałania,corrente residual de funcionamento,дифференциальный отключающий ток,"диференцијална струја деловања, ж јд",utlösningsström,剩余动作电流
442-05-21,residual non-operating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-21,تيار متبقي غير كاف للتشغيل,"Nichtansprech-Fehlerstrom, m",residual non-operating current,sietovirta,"courant différentiel de non-fonctionnement, m",corrente differenziale di non intervento,感度不動作電流,잔류 비작동 전류,prąd różnicowy niezadziałania,corrente residual de não funcionamento,дифференциальный неотключающий ток,"недовољна диференцијална струја деловања, ж јд",hållström,剩余不动作电流
442-05-22,conditional residual short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-22,تيار قصر دارة متبقي مشروط,"bedingter Kurzschluss-Fehlerstrom, m",conditional residual short-circuit current,ehdollinen oikosulku-vikavirta,"courant différentiel conditionnel de court-circuit, m",corrente di cortocircuito differenziale condizionata,条件付漏電短絡電流,조건부 잔류 단락 전류,prąd różnicowy zwarciowy umowny,corrente residual condicional de curtocircuito,условный дифференциальный ток короткого замыкания,"условна диференцијална струја кратког споја, ж јд",villkorlig summaström,限制剩余短路电流
442-05-23,limiting non-actuating time,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-23,أقصي زمن لعدم اللقط,"Grenz-Nichtauslösedauer, f",limiting non-actuating time,sietovirran raja-aika,"temps limite de non-réponse, m",durata limite di non intervento,慣性不動作電流,제한 비조작 시간,graniczny czas niezadziałania,tempo limite de não actuação,предельное время неотключения,"гранично време неактивирања, с јд",gränshålltid,极限不驱动时间
442-05-24,"detection, <of a residual current>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-24,اكتشاف (التيار المتبقي),"Nachweis (eines Fehlerstroms), mErkennung (eines Fehlerstroms), f","detection, <of a residual current>",tunnistaminen,"détection d'un courant différentiel, f",rivelazione (di una corrente differenziale),"検出, <漏電電流の>","감지, <잔류 전류>",wykrywanie prądu różnicowegowykrywanie,detecção (de uma corrente residual),обнаружение,"детекција, ж јддетекција диференцијалне струје, ж јд",avkänning,"检测, <剩余电流的>"
442-05-25,"evaluation, <of a residual current>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-25,تقييم (التيار المتبقي),"Bewertung (eines Fehlerstroms), f","evaluation, <of a residual current>",arviointi,"mesure d'un courant différentiel, f",valutazione (di una corrente differenziale),"比較, <漏電電流の>","평가, <잔류 전류>",porównanie prądu różnicowegoporównanie,avaliação (de uma corrente residual),сравнение,"процена, ж јдпроцена диференцијалне струје, ж јд",utvärdering,"判别, <剩余电流的>"
442-05-26,"interruption, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-26,قطع (لأداة تعمل بالتيار المتبقي),"Unterbrechung (bei einer Fehlerstrom-Schutzeinrichtung), f","interruption, <for a residual current device>",automaattinen katkaisu,"coupure, <pour un dispositif de coupure différentiel> f",interruzione,"動作, <漏電装置に対しての>","차단, <잔류 전류 장치>불통, <잔류 전류 장치>",wyłączanie (przez urządzenie różnicowoprądowe),corte (para um dispositivo diferencial de corte),прерывание,"прекид, <за уређај диференцијалне струје> м јд",brytning,"分断, <剩余电流装置的>"
442-05-27,residual making and breaking capacity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-27,سعة وصل وفصل التيار المتبقي,"Fehlerstromschaltvermögen, n",residual making and breaking capacity,vikavirran kytkentä- ja katkaisukyky,"pouvoir de fermeture et de coupure différentiel, m",potere di chiusura e di interruzione differenziale,漏電投入及び遮断容量,잔류 투입 차단 용량,zdolność załączania i wyłączania prądu różnicowego,capacidade do circuito diferencial no fecho e no corte,дифференциальная включающая и отключающая способность,"моћ укључења и прекидања уређаја диференцијалне струје, ж јд",slut- och brytförmåga av summaström,剩余接通和分断能力
442-05-28,conditional short-circuit current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-28,تيار دائرة قصر مشروط (لأداة تعمل بالتيار المتبقي),"bedingter Kurzschlussstrom (einer Fehlerstrom-Schutzeinrichtung), m",conditional short-circuit current,ehdollinen oikosulkuvirta,"courant conditionnel de court-circuit, <pour un dispositif de coupure différentiel> m",corrente di cortocircuito condizionata,"条件付短絡電流, <漏電装置に対しての>","조건부 단락 전류, <잔류 전류 장치>",prąd zwarciowy umowny (urządzenia różnicowoprądowego),corrente condicional de curtocircuito (para um dispositivo diferencial de corte),условный ток короткого замыкания,"условна струја кратког споја, <за уређај диференцијалне струје> ж јд",villkorlig kortslutningsström,限制短路电流
442-05-30,"auxiliary contact, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-30,تلامس مساعد,"Hilfskontakt, m","auxiliary contact, <for a residual current device>",apukosketin,"contact auxiliaire, <pour un dispositif de coupure différentiel> m",contatto ausiliario,補助接点,보조 접점,zestyk pomocniczy,contacto auxiliar,вспомогательный контакт,"помоћни контакт, м јд",hjälpkontakt,"辅助触头, <剩余电流装置的>"
442-05-35,"influencing quantity, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-35,الكمية المؤثرة (لأداة تعمل بالتيار المتبقي),"Einflussgröße (für eine Fehlerstrom-Schutzeinrichtung), f","influencing quantity, <for a residual current device>",vikavirtasuojan toimintaan vaikuttava suure,"grandeur d'influence, <pour un dispositif de coupure différentiel> f",grandezza di influenza,"影響を与える量, <漏電装置に対して>","유도량, <잔류 전류 장치>",wielkość wpływająca (urządzenia różnicowoprądowego),grandeza de influência (para um dispositivo diferencial de corte),влияющая величина,"утицајна величина, <за уређај диференцијалне струје> ж јд",påverkande storhet,"影晌量, <剩余电流装置的>"
442-05-36,"reference value of an influencing quantity, <for a residual current device>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=442-05-36,قيمة مرجعية للكمية المؤثرة (لأداة تعمل بالتيار المتبقي),"Referenzwert einer Einflussgröße (für eine Fehlerstrom-Schutzeinrichtung), m","reference value of an influencing quantity, <for a residual current device>",vikavirtasuojan vaikutussuureen viitearvo,"valeur de référence d'une grandeur d'influence, <pour un dispositif de coupure différentiel> f",valore di riferimento di una grandezza d'influenza,"影響を与える量の指示値, <漏電装置に対して>",잔류 전류 장치용 유도량 기준값,wartość odniesienia wielkości wpływającej (urządzenia różnicowoprądowego),valor de referência de uma grandeza de influência (para um dispositivo diferencial de corte),эталонное значение влияющей величины,"референтна вредност утицајне величине, <за уређај диференцијалне струје> ж јд",,"影响量的基准值, <剩余电流装置的>"
