term_id,term,term_url,ar,cs,de,en,es,fi,fr,it,ja,ko,pl,pt,sv,zh
713-07-21,frequency inversion,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-21,عكس الترددات,kmitočtová inverze,"Frequenzinversion, f",frequency inversion,inversión de frecuencia,taajuusinversio,"inversion de fréquence, f",inversione di frequenza,周波数反転,주파수 반전,inwersja częstotliwości,inversão de frequência,frekvensinvertering,频率倒置
713-07-22,frequency changer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-22,مغير التردد,měnič kmitočtukmitočtový převaděčkmitočtový konvertor,"Frequenzumsetzer, m",frequency changerfrequency converter,conversor de frecuencia,taajuussiirrin,"changeur de fréquence, mconvertisseur de fréquence, m",convertitore di frequenzavariatore di frequenza,周波数変換器,주파수 변환기,przemiennik częstotliwości,conversor de frequência,frekvensomvandlare,变频器
713-07-23,frequency mixer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-23,مازج (التردد),směšovač (kmitočtů),"Frequenzmischer, m",frequency mixer,mezclador de frecuencia,sekoitin,"mélangeur de fréquences, m",miscelatore di frequenza (mixer),周波数ミクサミクサ,주파수혼합기,mieszacz,misturador (de frequências),blandare,混频器
713-07-24,up-converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-24,محول رافع للتردد,vzestupný převaděč,"Aufwärts-Frequenzumsetzer, m",up-converter,conversor ascendente,ylös-siirrin,convertisseur élévateur (de fréquence) m,convertitore di frequenza in salita,アップコンバータ,주파수상향 변환기,przemiennik częstotliwości w górę,conversor elevador (de frequência),uppkonverterare,上变频器
713-07-25,down-converter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-25,محول خافض للتردد,sestupný převaděč,"Abwärts-Frequenzumsetzer, m",down-converter,conversor descendente,alas-siirrin,convertisseur abaisseur (de fréquence) m,convertitore di frequenza in discesa,ダウンコンバータ,주파수 하향 변환기,przemiennik częstotliwości w dół,conversor abaixador (de frequência),nedkonverterare,下变频器
713-07-26,neutralization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-26,تعادل,neutralizace,"Neutralisierung, f",neutralization,neutralización,neutralointi,"neutrodynage, m",neutralizzazione,中和,중화,neutralizacja,neutrodinagem,neutralisering,中和
713-07-27,neutrodyne,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-07-27,مضخم معادل عالي التردد,neutralizátor,"Neutralisierer, m",neutrodyne,neutralizador,neutralointipiiri,"neutrodyne, m",neutrodina,中和増幅,뉴트로다인중화 증폭기,neutralizator,neutrodino,neutraliseringskrets,中和元件
713-08-01,(radio) transmitter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-01,مرسل ( راديوي),(rádiový) vysílač,"Funksender, mSender, m",(radio) transmitter,(radio) transmisor,lähetin,"émetteur (radioélectrique), m",radiotrasmettitore,無線送信機送信機,무선 송신기,nadajnik radiowy nadajnik,emissor (radioeléctrico),sändare,无线电发射机
713-08-02,transceiver,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-02,مرسل ومستقبل,vysílač – přijímač,"Sende-Empfangsgerät, n",transceivertransmitter-receiver,transceptortransmisor-receptor,lähetin-vastaanotin,"émetteur-récepteur (radioélectrique), m",ricetrasmettitore,トランシーバ送受信機,송수신 장치,zespół nadajnik-odbiornik,emissor-receptor (radioeléctrico)transceptortransmissor-receptor,sändtagare,收发机收发两用机
713-08-03,radiotelephone,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-03,هاتف راديوي,radiotelefon,"Funktelefon, n",radiotelephone,radioteléfono,radiopuhelin,"radiotéléphone, m",radiotelefono,無線電話,무선전화기,radiotelefon,radiotelefone,radiotelefon,无线电话
713-08-04,(radio) transponder,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-04,مرسل - مستجيب (راديوي),(rádiový) odpovídač,"Transponder, m",(radio) transponder,(radio) transpondedor,vastainradiovastain,répondeur (radioélectrique) m,risponditore,無線トランスポンダトランスポンダ,무선 송수신기무선 트랜스폰더,transponder,respondedor (radioeléctrico),radiotransponder(radio)transponder,无线电转发器
713-08-05,(radio) repeater,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-05,مكرر(راديوى),"(rádiový) opakovačtransponder, <v radiokomunikaci>","Umsetzer, mTransponder, <im Weltraumfunk> m",(radio) repeatertransponder (in radiocommunication),(radio) repetidortranspondedor (radiocomunicaciones),toistin,répéteur (en radiocommunication) m,ripetitore,"無線中継器中継器トランスポンダ, <無線通信における>",무선 중계기송수신기 무선통신,przemiennik,repetidor (em radiocomunicação),transponder,无线电中继器
713-08-06,relay station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-06,محطة مرحل,reléová stanice,"Relaisstelle, f",relay station,estación relé,toistinasema,station relais (radioélectrique) f,stazione relé,中継局,중계국,stacja retransmisyjna,estação relé (radioeléctrica),relästation,中继站
713-08-07,relay station (in a radio-relay system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-07,محطة مرحل (في نظام مرحل راديوي),"reléová stanice, <v radioreléovém systému>","Relaisstelle, <in einer Richtfunkstrecke> f",relay station (in a radio-relay system),radioenlace (de ondas hertzianas),radiolinkkijärjestelmän toistinasematoistinasema,station intermédiaire (de faisceau hertzien) fstation relais  (de faisceau hertzien) f,stazione relé (in un sistema radio relé),"無線中継局, <無線中継方式における>","중계국, <무선 중계 시스템>",stacja retransmisyjna linii radiowych,estação intermédia (de feixe hertziano)estação relé (de feixe hertziano),relästation,"中继站, <无线电中继系统中>"
713-08-08,terminal station (in a radio-relay system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-08,محطة مطرافية (في نظام مرحل راديوي),"koncová stanice, <v radioreléovém systému>","Richtfunk-Endstelle, fEndstelle, f",terminal station (in a radio-relay system),estación terminal (en un radioenlace),pääteasemaradiolinkkijärjestelmän pääteasema,station terminale (de faisceau hertzien) f,stazione terminale (in un sistema radio relé),"端局, <無線中継方式における>","단국, <무선 중계 시스템>",stacja końcowa,estação terminal (de feixe hertziano),ändstation,"终端站, <无线电中继系统中>"
713-08-09,(transparent) repeater,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-09,مكرر (شفاف),(transparentní) opakovač(transparentní) transponder,"transparenter Umsetzer, m",(transparent) repeater(transparent) transponder,repetidor (transparente),transparentti toistin,"répéteur (transparent), m",ripetitore (trasparente) risponditore (trasparente),トランスペアレント中継器トランスペアレントトランスポンダ中継器トランスポンダ,투명 중계기투명 송수신기,transponder przezroczysty transponder,repetidor (transparente),transparent transponder,透明中继器透明转发器
713-08-10,regenerating (radio) repeater,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-10,مكرر تجديد راديوي,regenerační transpoder,"regenerierender Umsetzer, m",regenerating (radio) repeaterregenerating transponder,repetidor regenerador (de radio),regeneroiva toistin,répéteur régénérateur (en radiocommunication) m,(radio) ripetitore rigeneratore (radio) ripetitore rigeneratore risponditore rigeneratore,再生無線中継器再生トランスポンダ再生中継器,재생 무선 중계기재생 송수신기,transponder regenerujący,repetidor regenerador (em radiocomunicação),regenererande transponder,再生无线电中继器再生转发器
713-08-11,rebroadcast transmitter,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-11,مرسل لاعادة البث الإذاعي,retranslační vysílačpřevaděč,"Rundfunkumsetzer, m",rebroadcast transmittertransposer,reemisor,releointilähetin,réémetteur (de radiodiffusion ou de télévision) m,ripetitore di radiodiffusione,リブロードキャストトランスミッタトランスポーザ,재방송 송신기중계기,przemiennik (radiowy lub telewizyjny),retransmissor (de radiodifusão ou de televisão),reläsändare,转播发射机差转机
713-08-12,"operation class,  (of an amplifying stage)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-12,صنف تشغيل (لمرحلة التضخيم),"provozní třída, <zesilovacího stupně>","Betriebsart, <einer Verstärkerstufe> f","operation class,  (of an amplifying stage)",clase de operación (de una etapa amplificadora),toimintaluokkavahvistinasteen toimintaluokka,classe de fonctionnement (d'un étage amplificateur) f,classe di funzionamento (di uno stadio di amplificazione),"動作クラス, <増幅段の>","동작 등급, <증폭단>",klasa pracy wzmacniacza,classe de funcionamento (de um andar amplificador),förstärkarklass,"工作类别, <放大级的>"
713-08-13,"class A,  (of an amplifying stage)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-13,صنف A (لمرحلة التضخيم),"třída A, <zesilovacího stupně>","A-Betrieb, <einer Verstärkerstufe> m","class A,  (of an amplifying stage)",clase A (de una etapa amplificadora),luokka A,classe A (d'un étage amplificateur) f,classe A (di uno stadio di amplificazione),"A級, <増幅段>","에이 등급, <증폭 단계>",klasa A (wzmacniacza),classe A (de um andar amplificador),klass A,"A类, <放大级的>"
713-08-14,"class AB,  (of an amplifying stage)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-14,صنف AB (لمرحلة التضخيم),"třída AB, <zesilovacího stupně>","AB-Betrieb, <einer Verstärkerstufe> m","class AB,  (of an amplifying stage)",clase AB (de una etapa amplificadora),luokka AB,classe AB (d'un étage amplificateur) f,classe A (di uno stadio di amplificazione),"AB級, <増幅段>","에이비 등급, <증폭 단계>",klasa AB (wzmacniacza),classe AB (de um andar amplificador),klass AB,"AB类, <放大级的>"
713-08-15,"class B,  (of an amplifying stage)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-15,صنف B (لمرحلة التضخيم),"třída B, <zesilovacího stupně>","B-Betrieb, <einer Verstärkerstufe> m","class B,  (of an amplifying stage)",clase B (de una etapa amplificadora),luokka B,classe B (d'un étage amplificateur) f,classe B (di uno stadio di amplificazione),"B級, <増幅段>","비 등급, <증폭 단계>",klasa B (wzmacniacza),classe B (de um andar amplificador),klass B,"B类, <放大级的>"
713-08-16,"class C,  (of an amplifying stage)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-16,صنف C (لمرحلة التضخيم),"třída C, <zesilovacího stupně>","C-Betrieb, <einer Verstärkerstufe> m","class C,  (of an amplifying stage)",clase C (de una etapa amplificadora),luokka C,classe C (d'un étage amplificateur) f,classe C (di uno stadio di amplificazione),"C級, <増幅段>","시 등급, <증폭 단계>",klasa C (wzmacniacza),classe C (de um andar amplificador),klass C,"C类, <放大级的>"
713-08-17,"class D,  (of an amplifier)",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-17,صنف D (لمضخم),"třída D, <zesilovače>","D-Betrieb, <eines Verstärkers> m","class D,  (of an amplifier)",clase D (de una etapa amplificadora),luokka D,classe D (d'un amplificateur) f,classe D (di un amplificatore),"D級, <増幅段>","디 등급, <증폭기>",klasa D (wzmacniacza),classe D (de um amplificador),klass D,"D类, <放大器的>"
713-08-18,high-power modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-18,تضمين عالي القدرة,výkonová modulacevysokoúrovňová modulace(modulace koncového stupně),"Endstufenmodulation, f",high-power modulationhigh-level modulation,modulación a alto nivel,suurtehomodulaatio,"modulation à haut niveau, fmodulation sur l'étage final, f",modulazione ad alto livello,高電力段変調高レベル段変調,고출력 변조고수준 변조,modulacja na dużym poziomie mocy,modulação de alta potência,högeffektmodulering,高功率调制高电平调制
713-08-19,low-power modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-08-19,تضمين منخفض القدرة,nízkovýkonová modulacenízkoúrovňová modulace,"Vorstufenmodulation, f",low-power modulationlow-level modulation,modulación a bajo nivel,pientehomodulaatio,"modulation à bas niveau, f",modulazione a basso livello,低電力段変調低レベル段変調,저전력 변조저수준 변조,modulacja na małym poziomie mocy,modulação de baixa potência,lågeffektmodulering,低功率调制低电平调制
713-09-01,"emission, <process in radiocommunication>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-01,"إنبعاث, <عملية فى الإتصالات الراديوية>","vyzařování, <proces v radiokomunikacích>","Emission, <Vorgang im Funkverkehr> fAussendung, <Vorgang im Funkverkehr> f","emission, <process in radiocommunication>",emisión,radiolähetysradiolähete,"émission, <processus en radiocommunication> f",emissione (in radiocomunicazzioni),"発射, ＜無線通信におけるプロセス＞","방출, <무선통신>","emisja, <w radiokomunikacji> f","emissão, <em radiocomunicação>",radiosändning,"发射, <无线电通信过程>"
713-09-02,radio-frequency radiation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-02,إشعاع تردد راديوي,vysokofrekvenční záření,"radiofrequente Strahlung, f",radio-frequency radiation,radiación de radiofrecuencia,radiotaajuinen säteily,"rayonnement radioélectrique, m",irradiazione radioelettrica,無線周波発射,무선 주파수 방사,promieniowanie w.cz.,radiação radioeléctrica,radiofrekvent strålning,射频辐射
713-09-03,out-of-band emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-03,بث خارج  النطاق,mimopásmové vysílání,"Außerband-Aussendung, f",out-of-band emission,emisión fuera de banda,kanavan ulkopuolinen lähete,"émission hors bande, f",emissione fuori banda,帯域外発射,대역 외 방출,emisja poza pasmem,emissão fora de banda,utombandsstrålning,带外发射
713-09-04,out-of-(allocated) band emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-04,بث خارج  النطاق (المحدد),vysílání mimo (přidělené) pásmo,"Aussendung außerhalb des zugewiesenen Frequenzbandes, f",out-of-(allocated) band emission,emisión fuera de banda atribuida,allokoidun kaistan ulkopuolinen lähete,"émission hors bande attribuée, f",emissione fuori banda attribuita,割当帯域外発射帯域外発射,할당 대역 외 방출,emisja poza pasmem przydzielonym emisja poza pasmem,emissão fora de banda atribuída,utombandsstrålning,划分频带外发射
713-09-05,spurious emission (of a transmitter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-05,بث هامشي (لجهاز الإرسال),"rušivé emise, <vysílače>","Nebenaussendung, <eines Funksenders> f",spurious emission (of a transmitter),emisión de espúreos (de un transmisor),harhalähetelähettimen harhalähete,rayonnement non essentiel (d'un émetteur) m,irradiazione non essenziale (di un trasmettitore),"スプリアス発射, <送信機の>","거짓 방출, <송신기>",promieniowanie szkodliwe (nadajnika),emissão espúria (de um emissor),falsk strålning,"杂散发射, <发射机的>"
713-09-06,unwanted emissions,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-06,بث غير مطلوب,nežádoucí vyzařování,"unerwünschte Aussendungen, f, pl",unwanted emissions,emisiones no deseadas,ei-haluttu lähete,"rayonnements non désirés, m pl",emissioni indesiderate,不要発射,불요 방출,promieniowanie niepożądane,emissões não desejadas,oönskad strålning,无用发射
713-09-07,harmonic emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-07,بث توافقي,vyzařování harmonických,"Oberwellenaussendung, fharmonische Aussendung, f",harmonic emission,emisión de armónicos,harmooninen lähete,"rayonnement harmonique, m",irradiazione armonica,高調波発射,고조파 방출,promieniowanie harmonicznych,emissão harmónica,harmonisk strålning,谐波发射
713-09-08,intermodulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-08,تضمين بيني,intermodulace,"Intermodulation, f",intermodulation,intermodulación,keskinäismodulaatio,"intermodulation, f",intemoduIazione,相互変調,상호 변조,"intermodulacja, f",intermodulação,intermodulation,互调
713-09-09,frequency conversion product,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-09,ناتج تحويل التردد,produkt kmitočtové konverze,"Frequenzumsetzungsprodukt, nMischprodukt, f",frequency conversion product,producto de conversión de frecuencia,taajuussiirron tulos,"produit de conversion de fréquence, m",prodotto di conversione in frequenza,周波数変換積,주파수 변환 성분,produkty przemiany częstotliwości,produto de conversão de frequência,frekvensomvandlingsprodukt,频率变换产物
713-09-10,parasitic oscillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-10,تذبذب طفيلي,parazitní kmity,"parasitäre Schwingung, fparasitäre Oszillation, f",parasitic oscillation,oscilación parásita,loisvärähtely,"oscillation parasite, f",oscillazione parassita,寄生発振,기생 발진기생 진동,"oscylacje pasożytnicze, f pldrganie pasożytnicze, n",oscilação parasita,parasitsvängning,寄生振荡
713-09-11,power spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-11,طيف القدرة,výkonové spektrum,"Leistungsspektrum, n",power spectrum,espectro de potencia,tehospektri,"spectre de puissance, m",spettro di frequenza,電力スペクトル,전력 스펙트럼,widmo mocy,espectro de potência,effektspektrum,功率谱
713-09-12,power spectral density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-12,كثافة طيفية للقدرة,spektrální hustota výkonuspektrum hustoty výkonuPSD,"spektrale Leistungsdichte, f",power spectral densitypower spectrum densityPSD  (abbreviation),densidad espectral de potenciaDEP (abreviatura),tehospsektritiheys,"densité spectrale de puissance, fDSP  (abréviation) fpuissance spectrique, f",densità dello spettro di frequenzaPSD (acronimo),"電力スペクトル密度PSD, （略語）",전력 스펙트럼 밀도피에스디,gęstość widmowa mocy,densidade espectral de potência,spektral effekttäthet,功率谱密度PSD
713-09-13,out-of-band spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-13,طيف خارج النطاق,mimopásmové spektrum,"Außerbandspektrum, n",out-of-band spectrum,espectro fuera de banda,kanavan ulkopuolinen spektri,"spectre hors bande, m",spettro fuori-banda,帯域外スペクトル,대역 외 스펙트럼,widmo pozapasmowe,espectro fora de banda,utombandsspektrum,带外频谱
713-09-14,permissible out-of-band spectrum,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-14,طيف خارج النطاق مسموح به,přípustné mimopásmové spektrum,"zulässiges Außerbandspektrum, n",permissible out-of-band spectrum,espectro admisible fuera de banda,sallittu kanavan ulkopuolinen spektri,"spectre admissible hors bande, m",spettro ammissibile fuori-banda,帯域外許容スペクトル,허용 대역 외 스펙트럼,widmo dozwolone pozapasmowe,espectro admissível fora de banda,tillåtet utombandsspektrum,允许带外频谱
713-09-15,out-of-band power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-15,قدرة خارج النطاق,mimopásmový výkon,"Außerbandleistung, f",out-of-band power,potencia fuera de banda,kanavan ulkopuolinen teho,"puissance hors bande, f",potenza fuori-banda,帯域外電力,대역 외 전력,moc poza pasmem,potência fora de banda,utombandseffekt,带外功率
713-09-16,permissible out-of-band power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-16,قدرة خارج النطاق المسموح بها,přípustný mimopásmový výkon,"zulässige Außerbandleistung, f",permissible out-of-band power,potencia admisible fuera de banda,sallittu kanavan ulkopuolinen teho,"puissance admissible hors bande, f",potenza ammissibile fuori-banda,帯域外許容電力,허용 대역 외 전력,moc dopuszczalna poza pasmem,potência admissível fora de banda,tillåten utombandseffekt,允许带外功率
713-09-17,peak envelope power (of a transmitter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-17,قدرة ذروة غلافية (لمرسل),"vrcholový výkon obálky, <vysílače>","Spitzenleistung, <eines Funksenders> f",peak envelope power (of a transmitter),potencia de pico (de un transmisor),huipputeho,puissance (en) crête (d'un émetteur) f,potenza di cresta (di un trasmettitore),ピーク包絡線電力,"첨두 포락선 전력, <송신기>",moc w szczycie obwiedni (nadajnika),potência em pico da envolvente (de um emissor),toppeffekt,"峰值包络功率, <发射机的>"
713-09-18,mean power (of a transmitter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-18,متوسط القدرة (لمرسل),"střední výkon, <vysílače>","mittlere Leistung, <eines Funksenders> f",mean power (of a transmitter),potencia media,keskiteho,puissance moyenne (d'un émetteur) f,potenza media (di un trasmettitore),"平均電力, <送信機の>","평균 전력, <송신기>",moc średnia (nadajnika),potência média (de um emissor),medeleffekt,"平均功率, <发射机的>"
713-09-19,rated output power (of a transmitter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-19,قدرة خرج اسمية،مقننة (لمرسل),"jmenovitý výstupní výkon, <vysílače>","Bemessungs-Ausgangsleistung, <eines Funksenders> f",rated output power (of a transmitter),potencia de salida asignada (de un transmisor),mitoitusteho,puissance de sortie assignée (d'un émetteur) fpuissance de sortie nominale  (terme à proscrire dans ce sens) f,potenza di uscita assegnata (di un trasmettitore),"定格出力電力, <送信機の>","정격 출력 전력, <송신기>",moc wyjściowa nominalna (nadajnika),potência de saída estipulada (de um emissor),märkeffekt,"额定输出功率, <发射机的>"
713-09-20,carrier power (of a transmitter),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-20,قدرة الموجة الحاملة (لمرسل),"výkon nosné, <vysílače>","Trägerleistung, <eines Funksenders> f",carrier power (of a transmitter),potencia de portadora de un transmisor,kantoaaltoteho,puissance (en) porteuse (d'un émetteur) f,potenza della portante (di un trasmettitore),"搬送出力, <送信機の>","반송파 전력, <송신기>",moc nośna (nadajnika),potência de portadora (de um emissor),bärvågseffekt,"载波功率, <发射机的>"
713-09-21,"absolute gain, <of an antenna>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-21,"كسب مطلق, <للهوائي>","absolutní zisk, <antény>isotropický zisk, <antény>","absoluter Gewinn, <einer Antenne> misotroper Gewinn, <einer Antenne> m","absolute gain, <of an antenna>isotropic gain, <of an antenna>",ganancia isótropa (de una antena),antennin isotrooppinen vahvistus,"gain isotrope, <d'une antenne> mDÉCONSEILLÉ: gain absolut, <d'une antenne> m",guadagno isotropico (di un’antenna),"絶対利得, <アンテナ>","절대 이득, <안테나>등방성 이득","zysk bezwzględny, <anteny w danym kierunku> mzysk izotropowy, <anteny w danym kierunku> m",ganho isotrópico (de uma antena),antennvinst relativt isotrop antenn,"绝对增益, <天线的>各向同性增益, <天线的>"
713-09-22,partial gain (of an antenna),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-22,كسب جزئي (لهوائي),"parciální zisk, <antény>","Teilgewinn, <einer Antenne> m",partial gain (of an antenna),ganancia isótropa parcial (de una antena),antennin osittaisvahvistus,gain isotrope partiel (d'une antenne) m,guadagno isotropico parziale (di un’antenna),"部分利得, <アンテナの>","부분 이득, <안테나>",wzmocnienie częściowe (anteny),ganho isotrópico parcial (de uma antena),partiell antennvinst,"部分增益, <天线的>"
713-09-23,gain relative to a half-wave dipole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-23,كسب منسوب لثنائي أقطاب نصف موجة,zisk vzhledem k půlvlnnému dipólu,"auf einen Halbwellendipol bezogener Gewinn, m",gain relative to a half-wave dipole,ganancia respecto a un dipolo de media onda,antennin vahvistus verrattuna puoliaaltodipoliin,"gain par rapport à un doublet demi-onde, m",guadagno relativo ad un dipolo in semionda,半波長ダイポールアンテナに対する相対利得,반파장 쌍극자 비례 이득반파장 쌍극자 이득비,wzmocnienie w stosunku do dipola półfalowego,ganho em relação a um dipolo meia-onda,antennvinst relativt halvvågsdipol,相对于半波偶极子的增益
713-09-24,gain relative to a short vertical antenna,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-24,كسب منسوب لهوائي رأسي قصير,zisk vzhledem ke krátké vertikální anténě,"auf eine kurze vertikale Antenne bezogener Gewinn, m",gain relative to a short vertical antenna,ganancia respecto a una antena vertical corta,antennin vahvistus verrattuna lyhyeen pystyantenniin,"gain par rapport à une antenne verticale courte, m",guadagno relativo ad una antenna verticale corta,垂直アンテナに対する相対利得,단소 수직 안테나 비례 이득단소 수직 안테나 이득비,wzmocnienie w stosunku do krótkiej anteny pionowej,ganho em relação a uma antena vertical curta,antennvinst relativt kort vertikalantenn,相对于短垂直天线的增益
713-09-25,"equivalent isotropically radiated power, <in a given direction>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-25,"قدرة مشعة مكافئة متناحية, <فى اتجاه معين>قدرة مشعة موحدة الخواص المكافئة","ekvivalentní izotropicky vyzařovaný výkon, <v daném směru>EIRP, <v daném směru>","äquivalente isotrope Strahlungsleistung, fEIRP","equivalent isotropically radiated power, <in a given direction>EIRP, <in a given direction>",potencia isótropa radiada equivalente,ekvivalenttinen isotrooppinen säteilyteho,"puissance isotrope rayonnée équivalente, <dans une direction donnée> fPIRE, <dans une direction donnée> f",ElRP (acronimo)potenza isotropica irradiata equivalente,"等価性等方放射電力, <一定方向>","등가 등방 방사 전력, <지정된 방향>이아이아르피","moc ekwiwalentna promieniowana izotropowo, <w danym kierunku> f",potência isotrópica radiada equivalente,ekvivalent isotropt utstrålad effekt,"等效全向辐射功率, <给定方向>EIRP"
713-09-26,effective radiated power,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-26,قدرة مشعة فعالة,efektivní vyzařovaný výkonERP,"effektive Strahlungsleistung, fERP",effective radiated powerERP,potencia radiada aparentePRA (abreviatura),efektiivinen säteilyteho,"puissance apparente rayonnée, fPAR, f",ERP (acronimo)potenza apparrente irradiata,実効放射電力,유효방사전력이아르피,"efektywna moc promieniowana, f",potência aparente radiadaPAR (abreviatura),effektiv utstrålad effekt,有效辐射功率ERP
713-09-27,"effective monopole radiated power, <in a given direction>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-27,"قدرة مشعة فعالة أحادية القطب, <فى اتجاه معين>","efektivní vyzařovaný výkon vztažený ke krátkému monopólu, <v daném směru>EMRP, <v daném směru>","effektive monopole Strahlungsleistung, fEMRP","effective monopole radiated power, <in a given direction>EMRP, <in a given direction>",potencia radiada aparente de una antena vertical corta,efektiivinen säteilyteho verrattuna lyhyeen pystyantenniin,"puissance apparente rayonnée sur une antenne verticale courte, <dans une direction> f  
PARV, <dans une direction> f",potenza apparente irradiata su antenna EMRP (acronimo),"実効モノポール比放射電力, <一定方向>","유효 단극 방사 전력, <지정된 방향>이엠아르피","skuteczna moc promieniowania krótkiej anteny pionowej, <w danym kierunku)> f",potência aparente radiada numa antena vertical curta,effektiv utstrålad effekt relativt kort vertikalantenn,"有效单极辐射功率, <给定方向>EMRP"
713-09-28,class of emission,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-28,صنف البث,třída vysílání,"Sendeart, f",class of emission,clase de emisión,lähetelaji,"classe d'émission, f",classe di emissione,発射クラス,방출 등급,klasa emisji,classe de emissão,sändningsklass,发射类别
713-09-29,continuous wave (transmission),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-29,إرسال بموجة مستمرة,(přenos) nepřerušovanou vlnouCW,"Dauerstrich-Aussendung, fCW-Aussendung, f",continuous wave (transmission)CW  (abbreviation),OC (abreviatura)onda continua (transmisión),kantoaaltolähetys,"(émission à) ondes entretenues, f pl",CW (acronimo)emissione ad onda persistente,"持続波送信CW, （略語）持続波",연속파 전송시더블유,emisja fali ciągłej  fala ciągła,(emissão de) ondas contínuas,omodulerad bärvåg,连续波传输CW
713-09-30,overmodulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-30,تعديل زائد,přemodulování,"Übermodulation, f",overmodulation,sobremodulación,ylimodulointi,"surmodulation, f",sovramodulazione,過変調,과변조,"przemodulowanie, n",sobremodulação,övermodulering,过调制
713-09-31,under-modulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-09-31,تضمين أقل من المقرر,podmodulování,"Untermodulation, f",under-modulation,inframodulación,alimodulointi,"sous-modulation, f",sottomodulazione,不足変調,부족 변조,niedomodulowanie,submodulação,undermodulering,欠调制
713-10-01,radio reception,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=713-10-01,استقبال راديوي,rádiový příjemvysokofrekvenční příjem,"Funkempfang, m",radio reception,recepción radioeléctrica,radiovastaanotto,"réception radioélectrique, f",ricezione radio,無線受信,무선 수신,odbiór radiowy,recepção radioeléctrica,radiomottagning,无线电接收
