term_id,term,term_url,ar,de,en,fr,it,ja,ko,pl,pt,sv,zh
891-04-22,electrocorticography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-22,تقنية الكشف بالرسم  الكهربائي للقشرة الدماغية,"Elektrokortikographie, f",electrocorticography,"électrocorticographie, f",elettrocorticografia,皮質脳波法,피질뇌파법피질뇌전도 검사,elektrokortikografia,electrocorticografia,kortikografi,皮质脑电图学
891-04-23,electroencephalogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-23,رسم كهربائي للدماغ,"Elektroenzephalogramm, nEEG, Abkürzung",electroencephalogramEEG (abbreviation),"électro-encéphalogramme, mEEG (abréviation) m",elettroencefalogramma,"脳波EEG, （略語）",뇌전도,elektroencefalogram EEG (akronim),electroencefalogramaEEG (abreviatura),EEGencefalogram,脑电图
891-04-24,electroencephalograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-24,راسم  كهربائي للدماغ,"Elektroenzephalograph, m",electroencephalograph,"électro-encéphalographe, m",elettroencefalografo,脳波計,뇌파계,elektroencefalograf,electroencefalógrafo,elektro-encefalograf,脑电图仪
891-04-25,electroencephalography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-25,تقنية الكشف بالرسم  الكهربائي للدماغ,"Elektroenzephalographie, f",electroencephalography,"électro-encéphalographie, f",elettroencefalografia,脳波記録法,뇌파검사법뇌파기록법,elektroencefalografia,electroencefalografia,encefalografi,脑电图学
891-04-26,EEG waves,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-26,موجات الرسم  الكهربائي للدماغ,"EEG-Wellen, f, pl",EEG waves,"ondes EEG, f pl",onde ECG,EEG波,뇌전도 파이이지 파,fale EEG,ondas EEG,EEG-vågor,脑电波
891-04-27,magnetoencephalogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-27,رسم  مغناطيسي للدماغ,"Magnetoenzephalogramm, n",magnetoencephalogram,"magnétoencéphalogramme, m",magnetoencefalogramma,脳磁図,뇌자도,magnetoencefalogram,magnetoencefalograma,magnetencefalogram,脑磁图
891-04-28,magnetoencephalograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-28,راسم مغناطيسي للدماغ,"Magnetoenzephalograph, m",magnetoencephalograph,"magnétoencéphalographe, m",magnetoencefalografo,脳磁計,뇌자계,magnetoencefalograf,magnetoencefalógrafo,magnetencefalograf,脑磁图仪
891-04-29,magnetoencephalography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-29,تقنية الكشف بالرسم  الكهربائي للدماغ,"Magnetoenzephalographie, f",magnetoencephalography,"magnétoencéphalographie, f",megnetoencefalografia,脳磁図記録法,뇌자도법뇌자기기록법자기뇌파검사법,magnetoencefalografia,magnetoencefalografia,magnetencefalografi,脑磁图学
891-04-30,electromyogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-30,رسم كهربائي للعضلة,"Elektromyogramm, nEMG, Abkürzung",electromyogramEMG (abbreviation),"électromyogramme, mEMG (abréviation) m",elettromiogramma,"筋電図EMG, （略語）",근전도,elektromiogram EMG (akronim),electromiogramaEMG (abreviatura),myogramEMG,肌电图
891-04-31,electromyograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-31,راسم كهربائي للعضلة,"Elektromyograph, m",electromyograph,"électromyographe, m",elettromiografo,筋電計,근전계,elektromiograf,electromiógrafo,myograf,肌电图仪
891-04-32,electromyography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-32,تقنية الكشف بالرسم  الكهربائي للعضلة,"Elektromyographie, f",electromyography,"électromyographie, f",elettromiografia,筋電図法,근전도검사,elektromiografia,electromiografia,myografi,肌电图学
891-04-33,visual evoked potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-33,جهد الإستثارة البصرية,"evoziertes Sehpotential, n",visual evoked potential,"potentiel évoqué visuel, m",potenziale evocato visulae,視覚誘発電位,시각 유발 전위,potencjał wzbudzony wzrokowy,potencial evocado visual,visuell reaktionpotential,视觉诱发电位
891-04-34,visual evoked sub-cortical potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-34,جهد الاستثارة المرئية  تحت القشرة الدماغية,"evoziertes subkortikales Sehpotential, n",visual evoked sub-cortical potential,"potentiel évoqué visuel subcortical, m",potenziale evocato visuale subcorticale,視覚誘発皮質下電位,시각유발 피질하 전위,potencjał wzbudzony wzrokowy podkorowy,potencial evocado visual subcortical,subkortikal reaktionspotential,视觉诱发皮质下电位
891-04-35,electroretino-encephalography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-35,تقنية الكشف بالرسم  الكهربائي عن وظائف الرؤيا,"Elektroretino-Enzephalographie, f",electroretino-encephalography,"électrorétino-encéphalographie, f",elettroretino encefalografia,視覚誘発電位検査,시각유발 전위검사전기망막 뇌파검사,elektroencefalografia siatkówkowa,electro-retino-encefalografia,retinal encefalografi,视网膜脑电图学
891-04-36,electroretinogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-36,رسم كهربائي للشبكية,"Elektroretinogramm, nERG, Abkürzung",electroretinogramERG (abbreviation),"électrorétinogramme, mERG (abréviation) m",elettroretinogramma,"網膜電位図ERG, （略語）",망막전도이아르지,elektroretinogram ERG (akronim),electro-retinogramaERG (abreviatura),retinogramERG,视网膜电图
891-04-37,pattern electroretinogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-37,نموذج رسم كهربائي للشبكية,"Elektroretinogramm durch Muster, n",pattern electroretinogram,"électrorétinogramme d'image, m",elettroretinogramma d'immagine,パターン網膜電図,패턴 망막전위도,wzorzec elektroretinogramu,electro-retinograma de imagem,mönsterretinogram,视网膜电图模式
891-04-38,electroretinograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-38,راسم كهربائي للشبكية,"Elektroretinograph, m",electroretinograph,"électrorétinographe, m",elettroretinografo,網膜電計,망막전위계,elektroretinograf,electro-retinógrafo,retinograf,视网膜电图仪
891-04-39,electroretinography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-39,تقنية الكشف بالرسم  الكهربائي للشبكية,"Elektroretinographie, f",electroretinography,"électrorétinographie, f",elettroretinografia,網膜電図記録法,망막전기기록망막전위도검사,elektroretinografia,electro-retinografia,retinografi,视网膜电图学
891-04-40,electro-oculography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-40,تقنية الكشف بالرسم  الكهربائي لحركة العين,"Elektrookulographie, f",electro-oculography,"électro-oculographie, f",elettrooculografia,眼球電図法,안구전도법눈전위도검사법,elektrookulografia,electro-oculografia,okulografi,眼电图学
891-04-41,nystagmus,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-41,رأرأة العين,"Nystagmus, m",nystagmus,"nystagmus, m",nistagmo,眼振,안구진탕안진눈떨림,oczopląs nystagmus,nistagmo,nystagmus,眼球震颤
891-04-42,electronystagmogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-42,رسم كهربائى لرأرأة العين,"Elektronystagmogramm, n",electronystagmogram,"électronystagmogramme, m",elettronistagmogramma,眼振電位図,안진전위도전기눈떨림검사도전기안진도,elektronystagmogram,electronistagmograma,nystagmogram,眼震电图
891-04-43,electronystagmograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-43,جهاز رسم كهربائى لرأرأة العين,"Elektronystagmograph, m",electronystagmograph,"électronystagmographe, m",elettronistagmografo,電気眼振計,전기안진계전기눈떨림검사기,elektronystagmograf,electronistagmógrafo,elektro-nystagmograf,眼震电图仪
891-04-44,electronystagmography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-44,تقنية الكشف بالرسم الكهربائى لرأرأة العين,"Elektronystagmographie, f",electronystagmography,"électronystagmographie, f",elettronistagmografia,眼振電図法,전기안진검사법전기눈떨림검사법,elektronystagmografia,electronistagmografia,nystagmografi,眼震电图学
891-04-45,electrocochleogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-45,رسم كهربائي لقوقعة الأذن,"Elektrocochleagramm, n",electrocochleogram,"électrocochléogramme, m",elettrocopleogramma,蝸電図,와전도전기와우청력도달팽이전기도,elektrokochleogram,electrococleograma,kokleogram,耳蜗电图
891-04-46,electrocochleograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-46,راسم كهربائي لقوقعة الأذن,"Elektrocochleagraph, m",electrocochleograph,"électrocochléographe, m",elettrococleografo,蝸牛電位計,전기와우청력계와우전위계,elektrokochleograf,electrococleógrafo,kokleograf,耳蜗电图仪
891-04-47,electrocochleography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-47,تقنية كشف قوقعة الأذن بالرسم الكهربائى,"Elektrocochleagraphie, f",electrocochleography,"électrocochléographie, f",elettrococleografia,蝸電図法,와전도법와전도전기와우청력검사,elektrokochleografia,electrococleografia,kokleografi,耳蜗电图学
891-04-48,cochlear microphonic,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-48,جهد كهربائى لقوقعة الأذن,"cochleamikrophonischer Effekt, m",cochlear microphonic,"effet microphonique cochléaire, m",effetto microfonico cocleare,蝸牛マイクロホン電位,와우 마이크로폰 전위달팽이 마이크로폰 전위,potencjał mikrofoniczny ślimakowy,efeito microfónico coclear,koklear mikrofoni,耳蜗微音器电位
891-04-49,auditory evoked potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-49,جهد سمعى مستثار,"evoziertes Hörpotential, n",auditory evoked potential,"potentiel évoqué auditif, m",potenziale evocato uditivo,聴覚誘発電位,청각유발 전위,potencjał wzbudzony słuchowy,potencial evocado auditivo,auditiv reaktionspotential,听觉诱发电位
891-04-50,auditory brainstem response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-50,إستجابة سمعية لجذع المخ,"Gehörreaktion des Gehirnstamms, f",auditory brainstem response,"réponse auditive du tronc cérébral, f",risposta uditiva del tronco laterale,聴覚脳幹応答,청각 뇌간 반응,reakcja słuchowa w pniu mózgu,resposta auditiva do tronco cerebral,auditivt hjärnstamssvar,听觉脑干电位
891-04-51,evoked-response audiometry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-51,قياس سمعى للإستجابة المستثارة,"evozierte Reaktions-Audiometrie, f",evoked-response audiometry,"audiométrie par réponse-évoquée, f",audiometria per risposta evocata,誘発反応聴力検査,유발반응 청력검사,audiometria,audiometria por resposta evocada,hjärnstamsaudiometri,诱发反应测听法
891-04-52,electrogastrography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-52,تقنية الكشف بالرسم الكهربائي للمعدة,"Elektrogastrographie, f",electrogastrography,"électrogastrographie, f",elettrogastrografia,胃電位図法,위전위도법위전도기록법위극전도기록,elektrogastrografia,electrogastrografia,gastrografi,胃电图学
891-04-53,electro-olfactography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-53,تقنية الكشف بالرسم الكهربائى لحاسة الشم,"Elektroolfaktographie, f",electro-olfactography,"électro-olfactographie, f",elettroolfattografia,嗅覚電図記録法,미각전도기록법,elektroolfaktografia,electro-olfactografia,olfaktografi,嗅电图学
891-04-54,galvanic skin response,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-54,مقاومة الجلد للكهرباء,"galvanische Hautreaktion, f",galvanic skin response,"réponse galvanique de la peau, f",risposta galvanica della pelle/cute,電気皮膚反応,전기 피부 반응피층 전기 반응,reakcja galwaniczna skóry,resposta galvânica da pele,hudresistansändring,皮肤电反应
891-04-55,lie detector,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-55,كاشف الكذب,"Lügendetektor, m",lie detectorpolygraph,"détecteur de mensonge, m",rivelatore di menzogna (lie detector),ポリグラフ,거짓말 탐지기,detektor kłamstwa wariograf poligraf,detector de mentiraspolígrafo,lögndetektor,测谎仪
891-04-56,neurogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-56,رسم كهربائى للأعصاب,"Neurogramm, n",neurogram,"neurogramme, m",neurogramma,ニューログラム,신경상,neurogram,neurograma,neurogram,神经电图
891-04-57,neurograph,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-57,راسم كهربائي للأعصاب,"Neurograph, m",neurograph,"neurographe, m",neurografo,神経検査法,신경검사법,neurograf,neurógrafo,neurograf,神经电图仪
891-04-58,neurography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-58,تقنية الكشف بالرسم الكهربائى للأعصاب,"Neurographie, f",neurography,"neurographie, f",neurografia,ニューログラム法,신경조영술신경기록법,neurografia,neurografia,neurografi,神经电图学
891-04-59,nuclear magnetic resonance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-59,رنين نووى مغناطيسى,"Kernspinresonanz, f",nuclear magnetic resonanceNMR (abbreviation),"résonance magnétique nucléaire, fRMN (abréviation) f",risonanza magnetica nucleare,"核磁気共鳴NMR, （略語）",핵자기공명,rezonans magnetyczny jądrowy NMR (akronim),ressonância magnética nuclearRMN (abreviatura),kärnmagnetisk resonans,核磁共振
891-04-60,magnetic resonance imaging,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-60,تصوير الرنين المغناطيسى,"Abbildung durch Kernspinresonanz, f",magnetic resonance imagingMRI (abbreviation),"imagerie par résonance magnétique, fIRM (abréviation) f",raffigurazione per risonanza magnetica,"磁気共鳴影像法MRI, （略語）",자기공명영상법,rezonans magnetyczny obrazowy MRI (akronim),imagética por ressonância magnéticaIRM (abreviatura),magnetresonansavbildning,磁共振成像
891-04-61,plethysmography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-61,تقنية الكشف برسم الإمتلاء الدموى,"Plethysmographie, f",plethysmography,"pléthysmographie, f",pletismografia,プレスチモグラフィ,체적변동기록법,pletyzmografia,pletismografia,pletysmografi,体积描记法
891-04-62,impedance plethysmography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-62,تقنية الكشف على الإمتلاء الدموى بالمعاوقة,"Impedanz-Plethysmographie, f",impedance plethysmography,"pléthysmographie à impédance, f",pletismografia ad impedenza,インピーダンスプレスチモグラフ法,임피던스 체적변동기록법,pletyzmografia impedancyjna,pletismografia de impedância,impedanspletysmografi,阻抗体积描记法
891-04-63,impedance pneumography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-63,تقنية الكشف على الرئة بالمعاوقة,"Impedanz-Pneumographie, f",impedance pneumography,"pneumographie à impédance, f",pneumografia ad impedenza,インピーダンスニューモグラフィ,임피던스 공기조영술임피던스 호흡기록법,pneumografia impedancyjna,pneumografia de impedância,impedanspneumografi,呼吸电阻抗成像
891-04-64,electrical impedance tomography,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-64,تقنية الكشف على أجزاء الجسم بالمعاوقة,"elektrische Impedanztomographie, f",electrical impedance tomography,"tomographie à impédance électrique, f",tomografia ad impedenza elettrica,電気的インピーダンス断層撮影法,전기 임피던스 단층촬영법,tomografia impedancyjna,tomografia de impedância eléctrica,impedanstomografi,电阻抗断层成像学
891-04-65,electrophoresis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-65,انفصال الشحنات كهربائيا,"Elektrophorese, f",electrophoresis,"électrophorèse, f",elettroforesi,電気泳動,전기영동,elektroforeza,electroforese,fores,电泳
891-04-66,isoelectric potential,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-66,متساوى الجهد الكهربائى,"isoelektrisches Potential, n",isoelectric potential,"potentiel isoélectrique, m",potenziale isoelettrico,等電位,등전위,potencjał izoelektryczny,potencial isoeléctrico,isoelektrisk potential,等电点电位
891-04-67,electrophoretic mobility,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-67,قابلية التحرك الكهربائى,"elektrophoretische Beweglichkeit, f",electrophoretic mobility,"mobilité électrophorétique, f",mobilità elettroforetica,電気泳動移動度,전기영동 이동도,ruchliwość elektroforetyczna,mobilidade electroforética,foretisk mobilitet,电泳迁移率
891-04-68,electrophoregram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-68,رسم الإنفصال الكهربائى,"Elektrophorogramm, n",electrophoregram,"électrophorégramme, m",elettroforegramma,電気泳動図,전기영동도,elektroforegram,electroforegrama,foresdiagram,电泳图
891-04-69,electroproteinogram,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-69,رسم بيانى كهربائى للبروتين,"Elektroproteinogramm, n",electroproteinogram,"électroprotéinogramme, m",elettroproteinogramma,血液蛋白の電気泳動像,전기영동도,elektroproteinogram,electroproteinograma,proteindiagram,蛋白电泳图
891-04-70,immuno-electrophoresis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-04-70,مناعة الأنفصال الكهربائي,"Immunelektrophorese, fImmunelektrodiffusion, fElektrosynerese, f",immuno-electrophoresisimmuno-electrodiffusionelectrosyneresis,"immuno-électrophorèse, fimmuno-électrodiffusion, félectrosynérèse, f",immunoelettroforesi,免疫電気泳動,면역전기영동법,immunoelektroforeza immunoelektrodyfuzja elektrosynereza,imuno-electroforeseimuno-electrodifusãoelectro-sinerese,immunelektrofores,免疫电泳
891-05-01,electrotherapy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-01,علاج بالكهرباء,"Elektrotherapie, f",electrotherapy,"électrothérapie, f",elettroterapia,電気療法,전기요법전기치료,elektroterapia,electroterapia,terapi,电疗
891-05-02,stimulator (in electrotherapy),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-02,منبه ( فى العلاج بالكهرباء),"Stimulator, <in der Elektrotherapie> m",stimulator (in electrotherapy),stimulateur (en électrothérapie) m,stimolatore,刺激器,"자극기, 전기치료",stymulator (w elektroterapii),estimulador (em electroterapia),stimulator,"刺激器, <电疗>"
891-05-03,cardiac stimulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-03,منبه قلبى,"Herzschrittmacher, mHerzstimulator, m",cardiac stimulatorpacemaker  (in electrotherapy),"stimulateur cardiaque, m",stimolatore cardiaco,ペースメーカ,심장 자극기,stymulator serca (w elektroterapii) kardiostymulator,estimulador cardíaco,hjärtstimulatorpacemaker,"心脏刺激器起搏器, <电疗><相关条目：IEV:891-02-11>"
891-05-04,cochlear implant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-04,زرع قوقعة الأذن,"Cochleaimplantat, n",cochlear implant,"implant cochléaire, m",impianto cocleare,人工蝸牛移植,인공와우인공와우 이식,wszczep ślimakowy implant ślimakowy,implante coclear,kokleaimplantat,人工耳蜗
891-05-05,neural stimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-05,تنبيه عصبى,"Neuralstimulation, f",neural stimulation,"électrostimulation neurologique, f",elettrostimolazione neurale,神経刺激,신경 자극,stymulacja nerwów neurostymulacja,electro-estimulação neurológica,nervretning,神经刺激
891-05-06,muscular stimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-06,تنبيه عضلى,"Muskelstimulation, f",muscular stimulation,"électrostimulation musculaire, f",elettrostimolazione muscolare,筋刺激,근자극근육자극,stymulacja mięśni,electro-estimulação muscular,muskelretning,肌肉刺激
891-05-07,neuromuscular stimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-07,تنبيه العصب العضلى,"neuromuskuläre Stimulation, f",neuromuscular stimulation,"électrostimulation neuromusculaire, f",elettrostimolazione neuromuscolare,神経筋刺激,신경근 자극,stymulacja nerwowo-mięśniowa,electro-estimulação neuromuscular,neuromuskulär retning,神经肌肉刺激
891-05-08,electro-osteostimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-08,تنبيه العظام بالكهرباء,"Elektro-Osteostimulation, f",electro-osteostimulation,"électro-ostéostimulation, f",elettroosteotimolazione,電気骨刺激,전기 골자극,stymulacja kości elektryczna osteostymulacja elektryczna,electro-osteostimulação,elstimulerad bentillväxt,生骨电刺激
891-05-09,electrosystole,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-09,إنقباض القلب بالكهرباء,"Elektrosystole, f",electrosystole,"électrosystole, f",elettrosistole,電気刺激による心収縮,전기수축,elektrosystole skurcz serca,electro-sístole,systole,电激发心缩
891-05-10,cardiac electrostimulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-10,تنبيه القلب بالكهرباء,"elektrische Herzstimulation, f",cardiac electrostimulation,"électrostimulation cardiaque, félectrosystolie, f",elettrostimolazione cardiaca,心臓電気刺激,심장 전기자극,stymulacja serca elektryczna kardiostymulacja,electro-estimulação cardíacaelectro-sistolia,kardiell elstimulering,心脏电刺激
891-05-11,electro-ejaculation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-11,قذف بالكهرباء,"Elektroejakulation, f",electro-ejaculation,"électro-éjaculation, f",elettroeiaculazione,電気射精,전기자극사정,ejakulacja elektryczna,electro-ejaculação,elstimulerad ejakulation,电刺激采精
891-05-12,electronarcosis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-12,تخدير إلكترونى,"Elektronarkose, f",electronarcosis,"électronarcose, f",elettronarcosi,電気麻酔法,전기마취법,narkoza elektryczna,electronarcose,narkos,电麻醉
891-05-13,electroconvulsion therapy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-13,علاج التشنج بالكهرباء,"Elektroschocktherapie, fElektrokonvulsionstherapie, f",electroconvulsion therapyECT  (abbreviation)electroshock therapy  (US),"électrochoc, mélectroconvulsion, fsismothérapie, f",elettroconvulsione,電気ショック療法,전기충격 요법,terapia wstrząsowa elektryczna terapia elektroszokowa EKT (akronim),terapia por electrochoqueterapia por electroconvulsão,elektrochockbehandling,电惊厥疗法电休克疗法
891-05-14,electrically induced absence,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-14,شرود الذهن المستحث كهربائياً,"elektrisch herbeigeführte Absenz, f",electrically induced absence,"électro-absence, f",elettroassenza,電気的欠神,전기적 유도 무의식,utrata świadomości wywołana elektrycznie,electro-ausência,elframkallad medvetslöshet,电诱导失神
891-05-15,electrical anaesthesia,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-15,تخدير كهربائى,"elektrische Betäubung, f",electrical anaesthesia,"anesthésie électrique, félectro-anesthésie, f",anestesia elettrica,電気麻酔,전기 마취,znieczulenie elektryczne anestezja elektryczna,anestesia eléctricaelectro-anestesia,elektroanestesi,电麻醉
891-05-16,electrocautery,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-16,كاوية كهربائية,"Elektrokauter, m",electrocautery,"électrocautère, m",elettrocauterio,電気焼灼器,전기 소작기전기지짐기,elektrokauter elektrożegadło,electrocautério,kauter,电灼仪
891-05-17,electrocauterization,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-17,كى بالكهرباء,"Elektrokauterisation, f",electrocauterization,"électrocautérisation, f",elettrocauterizzazione,電気焼灼,전기지짐술전기소작법,elektrokauteryzacja,electrocauterização,kauterisering,电灼
891-05-18,electrical bistoury,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-18,مبضع كهربائى,"elektrisches Skalpell, n",electrical bistouryelectrical scalpel,"bistouri électrique, mscalpel électrique, m",bisturi elettrico,電気メス,전기적 외과수술칼전기적 메스,skalpel elektryczny nóż elektryczny,bisturi eléctricoescalpelo eléctrico,diatermielektrod,电刀
891-05-19,electrocoagulation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-19,تخدير بالكهرباء,"Elektrokonvulsionstherapie, fDiathermiekoagulation, f",electrocoagulationdiathermocoagulation,"électrocoagulation, fdiathermocoagulation, f",elettrocoaugulazione,電気凝固,전기 응고,elektrokoagulacja diatermokoagulacja,electrocoagulaçãodiatermocoagulação,diatermikoagulering,电凝
891-05-20,electrosection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-20,استئصال بالكهرباء,"Elektrosektion, f",electrosection,"électrosection, f",elettrosezione,電気切開,전기절개,cięcie elektryczne,electro-secção,tomi,电切
891-05-21,electropyrexy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-21,رفع درجة الحرارة بالكهرباء,"Elektropyrexie, f",electropyrexy,"électropyrexie, f",elettropiressia,電気発熱療法,전기발열요법,elektropyreksja,electropirexia,högfrekvenspyrexi,电发热
891-05-22,diathermy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-22,علاج برفع درجة حرارة الأنسجة,"Diathermie, f",diathermy,"diathermie, f",diatermia,電気透熱,투열 요법,diatermia,diatermia,diatermi,电热疗法
891-05-23,electronotherapy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-23,علاج بشعاع إلكترونى,"Elektronotherapie, f",electronotherapy,"électronothérapie, fbêtathérapie, f",elettronoterapia,電子線療法,전자선요법,elektronoterapia,electronoterapia,elektronterapi,电子束治疗
891-05-24,electropuncture,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-24,وخز إبري بالكهرباء,"Elektroakupunktur, f",electropunctureelectro-acupuncture,"électropuncture, félectro-acupuncture, f",elettropuntura,電気針麻酔,전기침술,elektroakupunktura,electropuncturaelectro-acupunctura,punktur,电针电针术
891-05-25,electrodialysis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-25,فصل الموانع بالإنتشار كهربائياً,"Elektrodialyse, f",electrodialysis,"électrodialyse, f",elettrodialisi,電気透析,전기투석,elektrodializa,electrodiálise,elektrodialys,电透析
891-05-26,electric pump (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-26,مضخة كهربائية ( فى الكهروحيوية),"elektrische Pumpe, <in der Elektrobiologie> f",electric pump (in electrobiology),électropompe (en électrobiologie) f,elettropompa,電気ポンプ,"전기펌푸, 전기생물학",pompa elektryczna (w elektrobiologii) pompa sodowo-potasowa,electrobomba (em electrobiologia),infusionspump,"电泵, <生物电学>"
891-05-27,defibrillator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-27,مزيل الرجفان,"Defibrillator, m",defibrillator,"défibrillateur, m",defibrillatore,除細動器,제세동기,defibrylator,desfibrilhador,defibrillator,除颤仪
891-05-28,defibrillation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-28,إزالة الرجفان,"Defibrillation, fKardioversion, f",defibrillationcardioversion,"défibrillation, fcardioversion, fcontrechoc électrique, m",defibrillazione,電気的除細動,제세동,defibrylacja kardiowersja,desfibrilhaçãocardioversão,defibrillering,除颤复律
891-05-29,plasma microtorch (in electrobiology),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-29,مشعل دقيق للبلازما ( فى الكهروحيوية),"Plasmamikrotom, <in der Elektrobiologie> m",plasma microtorch (in electrobiology),microtorche à plasma (en électrobiologie) f,microtorcia a plasma,プラズママイクロトーチ,"플라스마 마이크로토치, 전기생물학",mikropalnik plazmowy (w elektrobiologii),microtocha de plasma (em electrobiologia),mikroplasmabrännare,"等离子喷枪, <生物电学>"
891-05-30,iontophoresis,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=891-05-30,إنفصال أيونى,"Ionophorese, fKataphorese, f",iontophoresision therapycataphoresis,"ionophorèse, fionothérapie, fcataphorèse, f",ionoforesi,イオン浸透療法,이온도입법이온삼투볍,jon(t)oforeza terapia jonowa anaforeza kataforeza,ionoforeseionoterapiacataforese,jonterapi,离子电渗疗法阳离子电泳
